fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|1360000000|3836000000|2985000000|2476000000|690000000|427000000|188000000|509000000||17000000|23000000|6000000|3836000000|-1000000||39000000|706000000|178000000|6000000|528000000|306000000|690000000|729000000|528000000|TEL
2024-09-30|USD|1383000000|4068000000|3245000000|2685000000|651000000|433000000|195000000|1181000000||11000000|26000000|15000000|4068000000|-5000000||40000000|657000000|381000000|15000000|276000000|394000000|651000000|691000000|276000000|TEL
2024-06-30|USD|1386000000|3979000000|3081000000|2593000000|755000000|431000000|189000000|488000000||2000000|20000000|18000000|3979000000|-3000000||41000000|754000000|181000000|18000000|573000000|544000000|755000000|796000000|573000000|TEL
2024-03-31|USD|1363000000|3948000000|3123000000|2604000000|692000000|444000000|184000000|519000000||-19000000|19000000|19000000|3967000000|-5000000||43000000|687000000|146000000|19000000|541000000|446000000|706000000|749000000|541000000|TEL
2023-12-31|USD|1324000000|3813000000|2982000000|2507000000|698000000|424000000|173000000|475000000||-18000000|22000000|18000000|3831000000|-3000000||42000000|698000000|-1105000000|18000000|1804000000|1972000000|716000000|758000000|1803000000|TEL
2023-09-30|USD|1285000000|4016000000|3260000000|2750000000|635000000|412000000|174000000|1103000000||-19000000|21000000|19000000|4035000000|-3000000||46000000|633000000|81000000|19000000|553000000|474000000|652000000|698000000|552000000|TEL
2023-06-30|USD|1299000000|3978000000|3218000000|2699000000|630000000|431000000|176000000|519000000||-20000000|18000000|20000000|3998000000|-4000000||46000000|624000000|96000000|20000000|528000000|461000000|644000000|690000000|528000000|TEL
2023-03-31|USD|1284000000|4140000000|3422000000|2876000000|537000000|435000000|185000000|546000000||-20000000|12000000|20000000|4160000000|-4000000||49000000|533000000|100000000|20000000|425000000|548000000|553000000|602000000|433000000|TEL
2022-12-31|USD|1187000000|3820000000|3196000000|2654000000|502000000|392000000|173000000|542000000||-21000000|12000000|21000000|3841000000|-5000000||46000000|484000000|87000000|21000000|398000000|764000000|505000000|551000000|397000000|TEL
2022-09-30|USD|1349000000|4341000000|3537000000|3010000000|660000000|412000000|179000000|1137000000||-18000000|12000000|18000000|4359000000|4000000||47000000|652000000|-56000000|18000000|708000000|639000000|670000000|717000000|708000000|TEL
2022-06-30|USD|1328000000|4079000000|3236000000|2769000000|719000000|393000000|179000000|467000000||-18000000|3000000|18000000|4097000000|4000000||48000000|710000000|116000000|18000000|592000000|265000000|728000000|776000000|594000000|TEL
2022-03-31|USD|1337000000|3989000000|3157000000|2670000000|705000000|416000000|185000000|487000000||-18000000|4000000|18000000|4007000000|5000000||49000000|696000000|136000000|18000000|560000000|602000000|714000000|763000000|560000000|TEL
