fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-11-02|USD|1693000000|14063000000|12370000000|9622000000|-1055000000|2748000000||2748000000||43000000|63000000|20000000|14063000000||265000000|266000000|1736000000|439000000||1297000000|1282000000|-1055000000|1959000000|1297000000|TJX
2024-08-03|USD|1422000000|13468000000|12046000000|9380000000|-1244000000|2666000000||2666000000||46000000|66000000|20000000|13468000000||264000000|265000000|1468000000|369000000||1099000000|1117000000|-1244000000|1687000000|1099000000|TJX
2024-05-04|USD|1340000000|12479000000|11139000000|8739000000|-1060000000|2400000000||2400000000||50000000|69000000|19000000|12479000000||263000000|264000000|1390000000|320000000||1070000000|1052000000|-1060000000|1604000000|1070000000|TJX
2024-02-03|USD|726000000|16306000000|15580000000|11528000000|-3326000000|3094000000||4052000000||54000000|73000000|54000000|16388000000||251000000|252000000|1843000000|440000000||1403000000|1524000000|-3326000000|2094000000|1403000000|TJX
2023-10-28|USD|1548000000|13265000000|11717000000|9139000000|-1030000000|2578000000||2578000000||41000000|60000000|19000000|13265000000||243000000||1589000000|398000000||1191000000|1089000000|-1030000000||1191000000|TJX
2023-07-29|USD|1289000000|12758000000|11469000000|8910000000|-1270000000|2559000000||2559000000||38000000|38000000|19000000|12758000000||234000000|235000000|1327000000|338000000||989000000|1030000000|-1270000000|1524000000|989000000|TJX
2023-04-29|USD|1171000000|11783000000|10612000000|8374000000|-1067000000|2238000000||2238000000||37000000|37000000|22000000|11783000000||230000000|232000000|1208000000|317000000||891000000|905000000|-1067000000|1403000000|891000000|TJX
2023-01-28|USD|545559000|14629232000|14083673000|10731000000|-2806433000|2473000000||3351992000||23000000|23000000|20000000|14720232000||228000000|230919000|1339000000|301000000|91000000|1038381000|1261000000|-2806433000|1590554000|1038000000|TJX
2022-10-29|USD|1358784000|12166286000|10807502000|8624000000|-826162000|2185000000||2184946000||427000|427000|20000000|12166286000||217000000|218000000|1359000000|296000000|0|1062806000|1002000000|-826162000|1576000000|1063000000|TJX
2022-07-30|USD|1096597000|11843008000|10746411000|8571000000|-1078264000|2175000000||2174861000||-11007000|10000000|11007000|11843008000||216000000|218100000|1086000000|276000000|0|809340000|784000000|-1078264000|1314697000|810000000|TJX
