fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|14251000000|21516000000|7265000000|8785000000|4586000000|5352000000||6879000000||-841000000||8000000|21872000000|94000000||1007000000|3839000000|858000000||2981000000|3013000000|4586000000|4854000000|2981000000|TMUS
2024-09-30|USD|14755000000|20162000000|5407000000|7514000000|4796000000|5186000000||5706000000||-836000000||9000000|20162000000|7000000||221000000|3967000000|908000000||3059000000|3087000000|4796000000|4197000000|3059000000|TMUS
2024-06-30|USD|14425000000|19772000000|5347000000|9927000000|4630000000|5142000000||5602000000||-854000000||8000000|19772000000|-8000000||205000000|3768000000|843000000||2925000000|2934000000|4630000000|3981000000|2925000000|TMUS
2024-03-31|USD|13883000000|19303000000|5420000000|10351000000|3998000000|5138000000||5420000000||-9000000||9000000|19594000000|20000000||211000000|3138000000|764000000|9000000|2374000000|2412000000|3998000000|3358000000|2374000000|TMUS
2023-12-31|USD|12599000000|20154000000|7555000000|8400000000|3480000000|5280000000||7238000000||-89000000||89000000|20478000000|12000000||894000000|2643000000|629000000|89000000|2014000000|1999000000|3480000000|3626000000|2014000000|TMUS
2023-09-30|USD|13793000000|19186000000|5393000000|7135000000|3596000000|5334000000||5621000000||-66000000||66000000|19252000000|41000000||209000000|2847000000|705000000|66000000|2142000000|2150000000|3596000000|3122000000|2142000000|TMUS
2023-06-30|USD|13802000000|19182000000|5380000000|7004000000|3793000000|5272000000||5593000000||-14000000||14000000|19196000000|6000000||215000000|2938000000|717000000|14000000|2221000000|2268000000|3793000000|3167000000|2221000000|TMUS
2023-03-31|USD|13659000000|19396000000|5737000000|7649000000|3397000000|5425000000||5737000000||-14000000||14000000|19632000000|9000000||254000000|2571000000|631000000|14000000|1940000000|1982000000|3397000000|2839000000|1940000000|TMUS
2022-12-31|USD|12178000000|19971000000|7793000000|12869000000|2747000000|5577000000||7608000000||-36000000||36000000|20273000000|2000000||1366000000|1927000000|450000000|36000000|1477000000|1694000000|2747000000|3329000000|1477000000|TMUS
2022-09-30|USD|13688000000|19443000000|5755000000|8694000000|1281000000|5118000000||5994000000||-34000000||34000000|19477000000|-3000000||188000000|451000000|-57000000|34000000|508000000|540000000|1281000000|673000000|508000000|TMUS
2022-06-30|USD|12869000000|19672000000|6803000000|9168000000|709000000|5856000000||7114000000||-29000000||29000000|19701000000|-21000000||194000000|-163000000|-55000000|29000000|-108000000|-74000000|709000000|60000000|-108000000|TMUS
2022-03-31|USD|14292000000|19880000000|5588000000|9673000000|1806000000|5056000000||5588000000||-30000000||30000000|20120000000|-11000000||185000000|931000000|218000000|30000000|713000000|749000000|1806000000|1146000000|713000000|TMUS
2021-12-31|USD|12641000000|19666000000|7025000000|10452000000|1063000000|5398000000||6809000000||-926000000|13000000|926000000|20785000000|-13000000||1061000000|229000000|-193000000|926000000|422000000|535000000|1063000000|2216000000|422000000|TMUS
2021-09-30|USD|13119000000|18685000000|5566000000|8683000000|1584000000|5212000000||5671000000||-884000000|2000000|884000000|19569000000|-60000000||316000000|688000000|-3000000|939000000|691000000|723000000|1584000000|1888000000|691000000|TMUS
2021-06-30|USD|13847000000|19013000000|5166000000|8944000000|2106000000|4823000000||5238000000||-909000000|2000000|909000000|19922000000|-1000000||295000000|1255000000|277000000|937000000|978000000|1013000000|2106000000|2459000000|978000000|TMUS
2021-03-31|USD|13367000000|18654000000|5287000000|8526000000|2139000000|4805000000||5287000000||-922000000|3000000|922000000|19658000000|-125000000||366000000|1179000000|246000000|1023000000|933000000|969000000|2139000000|2467000000|933000000|TMUS
2020-12-31|USD|20341000000|20341000000|480000000|9652000000|1712000000|4758000000|200000000|480000000||-920000000|8000000|920000000|20341000000|-101000000|3900000000|579000000|821000000|71000000|1020000000|750000000|790000000|1712000000|2320000000|750000000|TMUS
2020-09-30|USD|12687000000|18227000000|5540000000|7681000000|2565000000|4876000000||5683000000||-937000000|3000000|937000000|19164000000|-99000000|3800000000|566000000|1660000000|407000000|1045000000|1253000000|1290000000|2565000000|3163000000|1253000000|TMUS
2020-06-30|USD|9941000000|16530000000|6589000000|6765000000|820000000|5604000000||6822000000||-978000000|6000000|978000000|17508000000|-195000000|3700000000|567000000|112000000|2000000|1141000000|-210000000|112000000|820000000|1657000000|110000000|TMUS
2020-03-31|USD|6638000000|10584000000|3946000000|4168000000|1539000000|3688000000||3946000000||-416000000|12000000|416000000|11113000000|-10000000|1700000000|145000000|1257000000|306000000|416000000|951000000|159000000|1539000000|1818000000|951000000|TMUS
2019-12-31|USD|11878000000|11878000000|4099000000|5212000000|1234000000|3656000000||4006000000||-1145000000|7000000|1145000000|11878000000|4000000|1700000000|229000000|965000000|214000000|1145000000|1234000000|953000000|1234000000|2339000000|751000000|TMUS
2019-09-30|USD|7233000000|10877000000|3644000000|4437000000|1471000000|3498000000||3718000000||-184000000|5000000|184000000|11061000000|3000000|1700000000|146000000|1195000000|325000000|184000000|870000000|613000000|1379000000|1525000000|870000000|TMUS
2019-06-30|USD|7235000000|10778000000|3543000000|4310000000|1541000000|3543000000||3614000000||-182000000|4000000|182000000|10960000000|-22000000|1600000000|135000000|1240000000|301000000|201000000|939000000|647000000|1422000000|1557000000|939000000|TMUS
2019-03-31|USD|7311000000|10827000000|3516000000|4562000000|1476000000|3442000000||3515000000||-179000000|280000000|179000000|11080000000|7000000|1500000000|113000000|1203000000|295000000|179000000|908000000|719000000|1382000000|1495000000|908000000|TMUS
2018-12-31|USD|11445000000|11445000000|3901000000|5170000000|1137000000|3498000000||3740000000||-194000000||194000000|11445000000|-3000000||1640000000|838000000|198000000|194000000|1137000000|308000000|1032000000|2776000000|640000000|TMUS
2018-09-30|USD|7331000000|10645000000|3314000000|4448000000|1440000000|3314000000||3394000000||-194000000||194000000|10839000000|3000000||1637000000|1130000000|335000000|194000000|795000000|795000000|1324000000|3085000000|795000000|TMUS
2018-06-30|USD|3084000000|10571000000|7487000000|4302000000|1450000000|3185000000||3260000000||-196000000||196000000|-90000000|-64000000||1634000000|1068000000|286000000|286000000|782000000|785000000|1264000000|3026000000|782000000|TMUS
2018-03-31|USD|2803000000|10455000000|7652000000|4434000000|1282000000|3164000000||3218000000||-251000000||251000000|10455000000|10000000||1575000000|881000000|210000000|251000000|671000000|668000000|1132000000|2873000000|671000000|TMUS
2017-12-31|USD|10759000000|10759000000|9166000000|5297000000|1112000000|3291000000||-168000000||-254000000||254000000|10759000000|16000000||1485000000|714000000|-1993000000|442000000|1112000000|2711000000|968000000|2447000000|2707000000|TMUS
2017-09-30|USD|2710000000|10019000000|7309000000|4211000000|1323000000|3098000000||3192000000||-253000000||253000000|10019000000|1000000||1416000000|906000000|356000000|253000000|550000000|551000000|1159000000|2713000000|550000000|TMUS
2017-06-30|USD|2934000000|10213000000|7279000000|4364000000|1416000000|2915000000||2996000000||-265000000||265000000|-88000000|-92000000||1519000000|934000000|353000000|265000000|581000000|582000000|1199000000|2848000000|581000000|TMUS
2017-03-31|USD|2564000000|9613000000|7049000000|4094000000|1037000000|2955000000||3011000000||-339000000||339000000|9613000000|2000000||1564000000|607000000|-91000000|339000000|698000000|699000000|946000000|2573000000|698000000|TMUS
2016-12-31|USD|10181000000|10234000000|-6000000|5141000000|1001000000|2959000000||-6000000||-335000000||335000000||0||1548000000|606000000|216000000|335000000|942000000|390000000|941000000|2547000000|390000000|TMUS
2016-09-30|USD|2358000000|9305000000|6888000000|3975000000|1048000000|2898000000||2832000000||-376000000||376000000||-1000000||1568000000|598000000|232000000|376000000|366000000|368000000|974000000|2434000000|366000000|TMUS
2016-06-30|USD|2343000000|9287000000|6879000000|4048000000|833000000|2772000000||2950000000||-368000000||368000000||-3000000||1575000000|372000000|147000000|368000000|225000000|228000000|740000000|2467000000|225000000|TMUS
2016-03-31|USD|2019000000|8664000000|6580000000|3795000000|1168000000|2749000000||2270000000||-339000000||339000000||-2000000||1552000000|751000000|272000000|339000000|479000000|476000000|1090000000|2121000000|479000000|TMUS
2015-12-31|USD|8226000000|8247000000|21000000|3737000000|838000000|2755000000||-118000000||-305000000||305000000||-3000000||1369000000|481000000|184000000|305000000|838000000|297000000|786000000|2171000000|297000000|TMUS
2015-09-30|USD|1476000000|7849000000|6373000000|3363000000|513000000|2624000000||3009000000||-262000000||262000000||-1000000||1157000000|238000000|100000000|262000000|138000000|136000000|500000000|1970000000|138000000|TMUS
2015-06-30|USD|1615000000|8179000000|6564000000|4058000000|597000000|2438000000||2483000000||-257000000||257000000||1000000||1075000000|363000000|2000000|257000000|361000000|361000000|620000000|1798000000|361000000|TMUS
2015-03-31|USD|1204000000|7778000000|6574000000|4074000000|117000000|2372000000||2500000000||-261000000||261000000||-8000000||1087000000|-104000000|-41000000|261000000|-63000000|-63000000|157000000|1436000000|-63000000|TMUS
2014-12-31|USD|7986000000|8154000000|168000000|4544000000|433000000|2333000000||98000000||-266000000||266000000||21000000||1090000000|200000000|99000000|266000000|433000000|101000000|466000000|1746000000|101000000|TMUS
2014-09-30|USD|1174000000|7350000000|6176000000|3796000000|49000000|2283000000||2627000000||-260000000||260000000||-14000000||1138000000|-211000000|-117000000|260000000|-94000000|-93000000|49000000|1354000000|-94000000|TMUS
2014-06-30|USD|1344000000|7185000000|5841000000|3668000000|962000000|2151000000||2444000000||-271000000||271000000||-12000000||1129000000|677000000|286000000|271000000|391000000|391000000|948000000|2184000000|391000000|TMUS
2014-03-31|USD|1017000000|6875000000|5858000000|3750000000|-28000000|2096000000||2384000000||-276000000||276000000||-6000000||1055000000|-253000000|-102000000|276000000|-151000000|-154000000|23000000|1108000000|-151000000|TMUS
2013-12-31|USD|6770000000|6827000000|57000000|3900000000|139000000|2096000000||57000000||-234000000||234000000||-16000000||997000000|-139000000|-119000000|234000000|139000000|-19000000|95000000|1241000000|-20000000|TMUS
2013-09-30|USD|1284000000|6688000000|5404000000|3459000000|297000000|1933000000||2096000000||-151000000||151000000||-7000000||987000000|6000000|42000000|151000000|-36000000|-36000000|157000000|1339000000|-36000000|TMUS
2013-06-30|USD|1069000000|6228000000|5159000000|3263000000|181000000|1847000000||2005000000|40000000|-109000000||109000000||118000000||888000000|5000000|21000000|109000000|-16000000|-54000000|114000000|1276000000|-16000000|TMUS
2013-03-31|USD|29196000|4677000000|1181011000|810947000|379000000|1506000000||273243000|373000|-76346000|-25346000|51000000|-508000|-6000000||173167000|179000000|72000000|76346000|19396000|106000000|230000000|281960000|107000000|TMUS
2012-12-31|USD|1284348000|4909000000|2000000|796948000|247000000|6288503000||2000000|395000|-69270000|-69270000|0|-4426000|-27000000||172166000|70000000|78000000|69270000|121516000|42000000|70000000|302965000|-8000000|TMUS
2012-09-30|USD|276631000|4893000000|914422000|638972000|-7593000000|163409000||179016000|460000|-66655000|-66655000|0|-1452000|15000000||163089000|-7723000000|12000000|66655000|192667000|-7711000000|-7723000000|457239000|-7735000000|TMUS
2012-06-30|USD|240415000|4883000000|969232000|646340000|452000000|167494000||239027000|374000|-69486000|-69486000|0|-2047000|23000000||153350000|342000000|135000000|69486000|148835000|175000000|342000000|467720000|207000000|TMUS
2012-03-31|USD|25476000|5034000000|1179911000|847791000|497000000|176593000||249384000|375000|-70083000||70083000|-1120000|103000||152819000|207658000|7658000|70083000|21004000|20750000|277741000|252581000|200000000|TMUS
2011-12-31|USD|1238164000|17214101000|1024076000|728682000|215115000|6241214000||585945000|471000|-68022000|-261073000|-193051000|-888000|-10534000||136307000|-246616000|-337887000|68022000|215115000|-4905508000|-439667000|352781000|91271000|TMUS
2011-09-30|USD|106037000|1134594000|1028557000|725506000|176831000|162459000||233253000|531000|-69511000||69511000|-1283000|93000||139309000|107944000|38618000|69511000|69326000|63961000|177455000|317954000|69326000|TMUS
2011-06-30|USD|132186000|1131384000|999198000|708564000|210255000|154556000||232625000|511000|-66980000||66980000|-11089000|186000||134524000|134436000|50101000|76516000|84335000|74696000|201416000|345291000|84335000|TMUS
2011-03-31|USD|272614000|1194377000|921763000|750679000|145337000|169771000||227706000|515000|-56561000||56561000|105000|255000||128695000|89546000|33168000|56561000|56378000|59851000|146107000|274547000|56378000|TMUS
2010-12-31|USD|1065525000|1065526000|762021000|606010000|207321000|155720000||326075000|601000|-64415000||64415000|-128036000|-411000||118826000|15061000|1509000|192451000|207321000|22411000|79476000|287936000|13552000|TMUS
2010-09-30|USD|303405000|1020789000|717384000|569953000|207934000|147431000||210414000|497000|-65726000||65726000|-15590000|-462000||113804000|126653000|49366000|81316000|77287000|76775000|192379000|322235000|77287000|TMUS
2010-06-30|USD|310414000|1012536000|702122000|543522000|198412000|158600000||226803000|392000|-65503000||65503000|-2700000|-479000||109301000|132822000|52907000|65503000|79915000|80833000|198325000|308106000|79915000|TMUS
2010-03-31|USD|372113000|970503000|598390000|598390000|105231000|159909000||266882000||||67482000||-455000||107801000|37758000|15097000|||23321000|105240000|213511000|22661000|TMUS
2009-12-31|USD|389764000|929981000|540217000|540217000|129821000|150539000||259943000||||70927000||-401000||105759000|58684000|25559000|||42240000|129611000|236328000|33125000|TMUS
2009-09-30|USD|398213000|895593000|497380000|497380000|158207000|138460000||240006000||||70391000||-397000||98977000|87900000|14350000|||74548000|158291000|258037000|73550000|TMUS
2009-06-30|USD|363479000|859612000|496133000|496133000|115773000|142321000||247706000||||70535000||-394000||91375000|44786000|18590000|||37658000|115321000|207623000|26196000|TMUS
