fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|575600000|853200000|603800000|300200000|116400000|274700000|155600000|459200000||-14100000||14100000|853200000|-6000000||26500000|73100000|32500000|14100000|40600000|186700000|116400000|142900000|40600000|TRMB
2024-06-30|USD|545900000|2584900000|647700000|324900000|61600000|291200000|161500000|484300000||-18100000||36200000|2584900000|100000||26500000|1762000000|445600000|18100000|1316400000|1278600000|61600000|88100000|1316400000|TRMB
2024-03-31|USD|593600000|911600000|673900000|359700000|109200000|280900000|170200000|484400000||-45200000||45200000|956800000|-100000||26700000|73000000|15800000|45200000|57200000|-23300000|109200000|135900000|57200000|TRMB
2023-12-31|USD|577300000|1035000000|970600000|355100000|96900000|264400000|167700000|480400000||-47800000||47800000|931000000|8300000|8800000|28800000|59500000|-3500000||63000000|225000000|96900000|125700000|63000000|TRMB
2023-09-30|USD|590200000|916000000|673500000|367100000|121300000|263400000|162500000|468900000||-46800000||46800000|962800000|-5800000|9600000|31200000|79400000|4500000|46800000|74900000|-45000000|121300000|152500000|74900000|TRMB
2023-06-30|USD|604500000|948000000|725200000|389100000|93600000|296600000|174800000|510900000||-46700000||46700000|994700000|1500000|10100000|31900000|57500000|12900000|46700000|44600000|68800000|93600000|125500000|44600000|TRMB
2023-03-31|USD|560800000|922600000|619100000|354600000|137000000|246100000|159300000|423800000||-19700000||19700000|942300000|27900000|9800000|11700000|160600000|31800000|19700000|128800000|145300000|137000000|148700000|128800000|TRMB
2022-12-31|USD|503100000|800300000|705100000|353400000|96700000|249900000|134700000|406400000||-24200000||24200000|852400000|13900000|10100000|12100000|91100000|5500000||85600000|185400000|96700000|108800000|85600000|TRMB
2022-09-30|USD|515400000|875300000|644600000|369500000|122400000|246700000|127000000|393000000||-15600000||15600000|890900000|-1700000|10100000|11100000|117900000|32100000||85800000|-9800000|122400000|133500000|85800000|TRMB
2022-06-30|USD|537500000|1031900000|666200000|403700000|134900000|245800000|140100000|402600000||-15300000||15300000|1047200000|-9800000|10000000|11300000|221600000|53600000||168000000|92800000|134900000|146200000|168000000|TRMB
