fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|759900000|1359800000|599900000|599900000|-132100000|578500000|240900000|892000000||-21000000||41000000|1369300000|-21000000|40200000|189300000|-152900000|-27700000|41000000|-125200000|-229500000|-132100000|77400000|-125200000|TTWO
2024-09-30|USD|727900000|1353100000|625200000|672500000|-297200000|714300000|246700000|1025100000||-25900000||40800000|1349800000|-25900000|38100000|192000000|-324300000|41200000|40800000|-365500000|-293900000|-297200000|-91500000|-365500000|TTWO
2024-06-30|USD|771100000|1338200000|567100000|597400000|-184900000|641900000|219800000|956000000||-24200000||34300000|1341700000|-24200000|35900000|182100000|-212200000|49800000|34300000|-262000000|-267400000|-184900000|4200000|-262000000|TTWO
2024-03-31|USD|469100000|1399400000|930300000|727566666|-2713100000|620500000|237500000|3182200000||-35100000||35100000|1376700000|-24600000|33900000|494000000|-2744600000|158400000|35100000|-2903000000|-2925400000|-2713100000|-2215500000|-2903000000|TTWO
2023-12-31|USD|678100000|1366300000|688200000|688200000|-129500000|532600000|232400000|807600000||-31100000||31100000|1358300000|-22500000|33700000|248100000|-152300000|-60700000|31100000|-91600000|-25200000|-129500000|126900000|-91600000|TTWO
2023-09-30|USD|415400000|1299200000|883800000|883800000|-543700000|514100000|234300000|959100000||-31300000||31300000|1303500000|-31100000|36400000|427300000|-577000000|-33400000|30600000|-543600000|-606300000|-543700000|-118400000|-543600000|TTWO
2023-06-30|USD|679200000|1284700000|605500000|605500000|-204300000|599100000|244000000|883500000||-34500000||34500000|1295500000|-25400000|31500000|249500000|-228900000|-22900000|27500000|-206000000|-179100000|-204300000|55100000|-206000000|TTWO
2023-03-31|USD|223200000|1446200000|1223000000|1223000000|-702400000|652000000|237300000|925600000||-29700000||29700000|1416000000|-33800000|27400000|766600000|-730600000|-120300000|29700000|-610300000|-589400000|-702400000|65700000|-610300000|TTWO
2022-12-31|USD|715900000|1407800000|691900000|691900000|-172900000|615600000|238200000|888800000||-29500000||29500000|1393700000|-28300000|24000000|301900000|-200100000|-46700000|29500000|-153400000|-51300000|-172900000|131300000|-153400000|TTWO
2022-09-30|USD|679600000|1393500000|713900000|713900000|-252500000|659000000|243200000|932100000||-28900000||28900000|1388900000|-50500000|21400000|320700000|-301100000|-44100000|28900000|-257000000|-372800000|-252500000|48500000|-257000000|TTWO
