fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|502100000|725500000|223400000|223400000|311500000|114000000||191700000||-900000|31200000|32100000|725300000|||58100000|285400000|65300000|32100000|220000000|267700000|317500000|375600000|220100000|VRSK
2024-06-30|USD|501200000|720600000|219400000|296600000|318700000|101500000||164200000||-900000|28200000|29100000|720400000|||59000000|393300000|85200000|25500000|307800000|307500000|422400000|481400000|308100000|VRSK
2024-03-31|USD|473500000|701300000|227800000|303700000|307400000|92900000||153800000||-400000|28500000|28900000|704000000|||57400000|275400000|55800000|500000|219400000|204800000|304300000|361700000|219600000|VRSK
2023-12-31|USD|434100000|660300000|226200000|226200000|250500000|114400000|207100000|218100000||-28600000|-500000|28100000|677200000|||67600000|234400000|60400000|28100000|182300000|216600000|262500000|330100000|174000000|VRSK
2023-09-30|USD|430900000|648100000|217200000|217200000|281100000|111600000||165600000||-29800000|-400000|29400000|677600000|||48100000|249700000|62300000|29400000|187400000|157400000|279100000|327200000|187400000|VRSK
2023-06-30|USD|426300000|643200000|216900000|216900000|306000000|86800000||137100000||-32100000|-500000|31600000|675000000|-6200000||46500000|260800000|63900000|31600000|204300000|213100000|292400000|338900000|196900000|VRSK
2023-03-31|USD|409300000|625500000|216200000|216200000|294100000|79000000||127100000||-26500000|-100000|26400000|651600000|-1100000||44600000|128500000|72200000|26400000|194400000|817000000|154900000|199500000|56300000|VRSK
2022-12-31|USD|137600000|188900000|205200000|205200000|282500000|80800000||355500000||-41400000|-200000|41200000|229900000|||43100000|84800000|23700000|41200000|215300000|246000000|126000000|169100000|61100000|VRSK
2022-09-30|USD|464400000|711100000|195200000|246700000|253600000|96500000||179300000||-34700000|-300000|34400000|745300000|3100000||41500000|242200000|52800000|34500000|165800000|-43200000|276600000|318100000|189400000|VRSK
2022-06-30|USD|468500000|714600000|195500000|246100000|247600000|96300000||177900000||-32200000|-300000|31900000|746300000|4700000||39500000|238900000|41200000|31800000|173600000|-20700000|270800000|310300000|197700000|VRSK
2022-03-31|USD|463900000|744400000|228700000|280500000|622800000|107900000||261700000||-31600000|-300000|31300000|775500000|-400000||40100000|608300000|102600000|31300000|486900000|435300000|639600000|679700000|505700000|VRSK
2021-12-31|USD|470800000|736000000|61100000|265200000|104700000|-33100000||316400000||-30500000|-300000|30200000|766000000|600000||16400000|134600000|-7300000|30200000|82500000|175300000|164800000|181200000|141900000|VRSK
2021-09-30|USD|463800000|729100000|265300000|265300000|288900000|115100000||171600000||-30300000|-400000|29900000|759000000|100000||52100000|255900000|54200000|29900000|204900000|122500000|285800000|337900000|201700000|VRSK
2021-06-30|USD|451200000|716100000|264900000|264900000|267400000|111400000||170500000||-31800000|-300000|31500000|747500000|-500000||53300000|237800000|83800000|31500000|151600000|171200000|269300000|322600000|154000000|VRSK
2021-03-31|USD|428700000|691100000|262400000|262400000|250400000|119800000||172000000||-35400000||35400000|726100000|1700000||48500000|217300000|48700000|35400000|168000000|178300000|252700000|301200000|168600000|VRSK
2020-12-31|USD|418600000|679100000|58300000|260500000|168800000|3400000||235200000||-34000000|1400000|35400000|712800000|-1600000||17900000|195800000|19600000|35300000|117300000|341400000|231200000|249100000|176200000|VRSK
2020-09-30|USD|426900000|666900000|240000000|240000000|275400000|96400000||147200000||-35800000|-500000|35300000|702700000|-100000||49400000|240000000|54200000|35300000|185800000|302100000|275300000|324700000|185800000|VRSK
2020-06-30|USD|408800000|644600000|235800000|235800000|259700000|96400000||146200000||-34700000|-500000|34200000|679300000|-700000||45900000|224800000|45800000|34200000|179000000|180500000|259000000|304900000|179000000|VRSK
2020-03-31|USD|417500000|675200000|257700000|257700000|252300000|112100000||136800000||-33500000|35600000|33500000|689300000|||46100000|216700000|45000000|33500000|171700000|-100000|250200000|296300000|171700000|VRSK
2019-12-31|USD|-15000000|639700000|259800000|259800000|206600000|124800000||13200000||-1800000|31300000|33100000|676700000|||47700000|172100000|39900000|1800000|-28200000|323700000|205200000|252900000|132200000|VRSK
2019-09-30|USD|378600000|621500000|242900000|242900000|69500000|255000000||308800000||-31300000|36800000|31300000|652800000|-5500000||45800000|38900000|6000000|31300000|32900000|-53300000|70200000|116000000|32900000|VRSK
2019-06-30|USD|379400000|622100000|242700000|242700000|218300000|112300000||160100000||-30500000|31000000|30500000|652600000|-500000||45700000|187300000|36900000|30500000|150400000|90500000|217800000|263500000|150400000|VRSK
2019-03-31|USD|361700000|593100000|231400000|231400000|202400000|111400000||159200000||-31900000|32300000|31900000|625000000|-400000||46600000|170100000|35700000|31900000|134400000|194000000|202000000|248600000|134400000|VRSK
2018-12-31|USD|255600000|479600000|224000000|224000000|216200000|97700000|47600000|189400000||-36800000||32600000|613700000|-4000000||43700000|179600000|33400000|32600000|146200000|63900000|212200000|255900000|146200000|VRSK
2018-09-30|USD|379500000|598700000|219200000|219200000|211100000|95700000||135200000||-32400000||32400000|598700000|14100000||39500000|192800000|26800000|32400000|166000000|130600000|225200000|264700000|166000000|VRSK
2018-06-30|USD|378900000|601300000|222400000|222400000|212300000|93000000||135100000||-31900000||31900000|601300000|4600000||41600000|185000000|31500000|31900000|153500000|-11400000|216900000|258500000|153500000|VRSK
2018-03-31|USD|360000000|581200000|221200000|221200000|194500000|91800000||134500000||-32800000||32800000|581200000|600000||40500000|162300000|29300000|32800000|133000000|236700000|195100000|235600000|133000000|VRSK
2017-12-31|USD|207700000|446600000|208700000|208700000|210000000|87200000|37400000|155600000||-36300000||32100000|-100000|1300000||36200000|179200000|-25400000|32100000|204600000|235600000|211300000|247500000|204600000|VRSK
2017-09-30|USD|350600000|549100000|198500000|198500000|208400000|80900000||117900000||-30300000||30300000|549100000|2600000||33800000|180700000|60000000|30300000|120700000|203800000|211000000|244800000|120700000|VRSK
2017-06-30|USD|329500000|523200000|193700000|193700000|195000000|78800000||112000000||-28500000||28500000|523200000|3400000||31800000|169900000|48900000|28500000|121000000|211500000|198400000|230200000|121000000|VRSK
2017-03-31|USD|319700000|502600000|182900000|182900000|187700000|75900000||111800000||-29500000||28400000|0|1900000||33800000|161200000|52400000|28400000|108800000|142700000|189600000|223400000|108800000|VRSK
