fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|347000000|395400000|48400000|48400000|263800000|58300000|24900000|246500000|11500000|-11800000|7000000|18800000||||8800000|248100000|56600000||191500000|191400000|263800000|275700000|191500000|VRSN
2024-09-30|USD|343800000|390600000|46800000|46800000|269300000|51300000|23200000|74500000|8700000|-10200000|8700000|18900000||||9000000|260900000|59600000||201300000|201700000|279800000|288800000|201300000|VRSN
2024-06-30|USD|340000000|387100000|47100000|47100000|266200000|50000000|23800000|73800000|9700000|-9100000|9700000|18800000||||9300000|258900000|60100000||198800000|198800000|277700000|287000000|198800000|VRSN
2024-03-31|USD|335200000|384300000|49100000|49100000|258900000|51500000|24800000|86100000|19000000|-6800000|12000000|18800000||||9800000|254000000|59900000||194100000|193900000|272800000|282600000|194100000|VRSN
2023-12-31|USD|331900000|380400000|48500000|48500000|256300000|52700000|22900000|86000000|40100000|-18800000|12300000|18800000||1800000||10400000|251600000|-13100000|18800000|264700000|265100000|256300000|280800000|264700000|VRSN
2023-09-30|USD|327700000|376300000|48600000|48600000|254300000|51700000|21700000|73400000|11600000|-18800000|11600000|18800000||1500000||10800000|248600000|60100000|18800000|188500000|188900000|267400000|278200000|188500000|VRSN
2023-06-30|USD|321700000|372000000|50300000|50300000|248700000|50800000|22200000|73000000|11500000|-18900000|11500000|18900000||12700000||11300000|242500000|56800000|18900000|185700000|185000000|261400000|272700000|185700000|VRSN
2023-03-31|USD|314500000|364400000|49900000|49900000|241300000|49000000|24200000|84800000|10700000|-18800000|10700000|18800000||11300000||11600000|233800000|55100000|18800000|178700000|178700000|252600000|264200000|178700000|VRSN
2022-12-31|USD|318700000|369200000|50500000|50500000|245500000|51700000|21500000|84900000|8500000|-18800000|8500000|18800000||-2900000||11700000|232300000|52800000|18800000|179500000|179500000|245500000|262800000|179500000|VRSN
2022-09-30|USD|306900000|356900000|50000000|50000000|236800000|49100000|21000000|80000000|4600000|-18800000||18800000||300000||11400000|222900000|53400000|18800000|169500000|169700000|241700000|253100000|169500000|VRSN
