fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|-2426130000|2250830000|4676960000|1409300000|-4030399000|48707000||1569864000||-503233000|-908865000|-405632000|1761878000|||480406000|120085000|114000|-418383000|123753000|-44886000|-285547000|194859000|119971000|WELL
2024-09-30|USD|333668000|2055663000|1721995000|1212701000|-191672000|77901000||505101000||69046000|208096000|139050000|1511105000|-20239000||403779000|445143000|-4706000|139469000|456800000|501276000|584193000|987972000|449849000|WELL
2024-03-31|USD|299302000|1859741000|1560439000|1096913000|-177341000|53318000||462512000||-109114000|52664000|161778000|1360268000|-14131000||365863000|133337000|6191000|161784000|131634000|109469000|295115000|660978000|127146000|WELL
2023-12-31|USD|271129000|1749775000|1478646000|1036078000|-205229000|44327000||440051000||-1809000|168354000|170163000|4753804000|-36307000||380730000|79143000|-4768000|170163000|88440000|70113000|249306000|630036000|83911000|WELL
2023-09-30|USD|269873000|1662013000|1392140000|995273000|-161155000|46106000||392808000||-156532000||156532000|-1000|-38220000||339314000|132054000|4584000|156533000|134722000|73702000|288586000|627900000|127470000|WELL
2023-06-30|USD|317032000|1665478000|1348446000|958672000|-81355000|44287000||387318000||-152337000||152337000|-1000|-11069000||341945000|106543000|3503000|152338000|106342000|131691000|258880000|600825000|103040000|WELL
2023-03-31|USD|206087000|1560729000|1354642000|957753000|-212770000|44371000||396112000||-156165000||156165000|-5000|-22745000||339112000|28718000|3045000|156170000|28635000|33821000|184883000|523995000|25673000|WELL
2022-12-31|USD|172473000|1518531000|1346058000|938838000|-249232000|41319000||396751000||-151733000||151733000|-87000|-24954000||342286000|-7816000|-4088000|151820000|1798000|-48168000|143917000|486203000|-3728000|WELL
2022-09-30|USD|168308000|1473844000|1305536000|912180000|-240039000|34811000||392866000||-139682000||139682000|-2000|-15481000||353699000|-3510000|3257000|139684000|-2653000|63161000|136172000|489871000|-6767000|WELL
2022-06-30|USD|271439000|1472536000|1201097000|854083000|-110576000|36554000||346849000||-127750000||127750000|-603000|-35166000||310295000|92849000|3065000|128353000|95672000|83061000|220599000|530894000|89784000|WELL
2022-03-31|USD|201045000|1395704000|1194659000|853669000|-166818000|37706000||341794000||-128793000||128793000|12000|-26069000||304088000|66938000|5013000|128781000|65751000|44769000|195731000|499819000|61925000|WELL
