fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-12-31|USD|80069000000|83426000000|3357000000|63811000000|76793000000|2617000000||3276000000||-297000000||297000000||||6585000000|9468000000|1858000000||7955000000|4950000000|9765000000|16695000000|7610000000|XOM
2024-09-30|USD|87687000000|90016000000|2329000000|67400000000|85052000000|2296000000||2635000000||-207000000||207000000||||6258000000|12665000000|4055000000||8971000000|9838000000|12872000000|19491000000|8610000000|XOM
2024-06-30|USD|90458000000|93060000000|2602000000|69790000000|87737000000|2568000000||2721000000||-271000000||271000000||||5787000000|13334000000|4094000000||9571000000|9222000000|13605000000|19723000000|9240000000|XOM
2024-03-31|USD|80565000000|83083000000|2518000000|61504000000|77922000000|2495000000||2643000000||-221000000||221000000||||4812000000|12023000000|3803000000|221000000|8566000000|7040000000|12244000000|17402000000|8220000000|XOM
2023-12-31|USD|77502000000|84344000000|6842000000|64124000000|70372000000|2591000000|879000000|7130000000||-272000000||272000000||||7740000000|10243000000|2613000000|272000000|8012000000|8729000000|10515000000|18637000000|7630000000|XOM
2023-09-30|USD|88105000000|90760000000|2655000000|61772000000|85278000000|2489000000||2827000000||-169000000|1288000000|169000000||||4415000000|13423000000|4353000000|169000000|9346000000|8639000000|13592000000|18832000000|9070000000|XOM
2023-06-30|USD|80301000000|82914000000|2613000000|56458000000|77719000000|2449000000||2582000000||-249000000|1133000000|249000000|80795000000|||4242000000|11383000000|3503000000|249000000|8153000000|8318000000|11632000000|13928000000|7880000000|XOM
2023-03-31|USD|84007000000|86564000000|2557000000|55439000000|81476000000|2390000000||2531000000||-159000000|2222000000|159000000|83644000000|||4244000000|16390000000|4960000000|159000000|11843000000|11605000000|16549000000|23425000000|11430000000|XOM
2022-12-31|USD|91753000000|95429000000|3676000000|58060000000|88039000000|2832000000|824000000|3714000000||-207000000|398000000|207000000|-305729000000|||5064000000|18537000000|5787000000|207000000|13055000000|17283000000|18744000000|24394000000|12750000000|XOM
2022-09-30|USD|109592000000|112070000000|2478000000|71514000000|107050000000|2324000000||2542000000||-209000000|4423000000|209000000|106512000000|926000000||5642000000|24884000000|5224000000|209000000|20198000000|16874000000|25093000000|38617000000|19660000000|XOM
2022-06-30|USD|113031000000|115681000000|2650000000|76299000000|110215000000|2530000000||2816000000||-194000000|3494000000|194000000|111265000000|728000000||4451000000|24209000000|6359000000|194000000|18574000000|15747000000|24403000000|36716000000|17850000000|XOM
2022-03-31|USD|87983000000|90500000000|2517000000|62629000000|85401000000|2409000000||2582000000||-188000000|2350000000|188000000|87734000000|228000000||8883000000|8286000000|2806000000|188000000|5750000000|6330000000|8474000000|15089000000|5480000000|XOM
2021-12-31|USD|80860000000|84965000000|4105000000|54009000000|76695000000|2514000000|843000000|4165000000||-221000000|1857000000|221000000|81287000000|1582000000||5661000000|11520000000|2650000000|221000000|9079000000|11802000000|11741000000|15589000000|8870000000|XOM
2021-09-30|USD|71349000000|73786000000|2437000000|48464000000|68868000000|2287000000||2481000000||-214000000|1456000000|214000000|71892000000|224000000||4990000000|9414000000|2664000000|214000000|6942000000|5640000000|9628000000|13140000000|6750000000|XOM
2021-06-30|USD|65225000000|67742000000|2517000000|45800000000|62694000000|2345000000||2531000000||-254000000|1182000000|254000000|65943000000|363000000||4952000000|6216000000|1526000000|254000000|4781000000|5194000000|6470000000|10077000000|4690000000|XOM
2021-03-31|USD|56302000000|59147000000|2845000000|40663000000|53671000000|2428000000||2631000000||-258000000|1215000000|258000000|57552000000|122000000||5004000000|3526000000|796000000|258000000|2796000000|3345000000|3784000000|7381000000|2730000000|XOM
2020-12-31|USD|42650000000|46540000000|3890000000|30230000000|37543000000|2736000000|1016000000|5107000000||-313000000|24000000|313000000|45714000000|465000000||30291000000|-26080000000|-6010000000|313000000|-20603000000|-16586000000|-25767000000|4079000000|-20070000000|XOM
2020-09-30|USD|43636000000|46199000000|2563000000|-153000000|41004000000|2444000000||2632000000||-279000000|238000000|279000000|45425000000|257000000||4983000000|-343000000|337000000|279000000|-709000000|748000000|-64000000|3351000000|-680000000|XOM
2020-06-30|USD|32549000000|32605000000|56000000|-2624000000|29926000000|2409000000||2623000000||-317000000|214000000|317000000|32277000000|225000000||4916000000|-1551000000|-471000000|317000000|-1169000000|1642000000|-1234000000|4101000000|-1080000000|XOM
2020-03-31|USD|49746000000|56158000000|6412000000|2777000000|46088000000|2579000000||3658000000||-249000000|526000000|249000000|55134000000|249000000||5819000000|-98000000|512000000|249000000|-770000000|-5456000000|151000000|5035000000|-610000000|XOM
