date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,153.21,155.13,147.2109,152.78,152.78,5945287.0,0.0,1.0,ABNB,161.04612903225808
2022-05-03,154.09,154.49,141.58,145.0,145.0,16774660.0,0.0,1.0,ABNB,160.93709677419355
2022-05-04,152.55,158.74,145.8718,156.18,156.18,20484060.0,0.0,1.0,ABNB,161.04370967741934
2022-05-05,152.19,153.88,140.8581,143.09,143.09,11367225.0,0.0,1.0,ABNB,160.8425806451613
2022-05-06,142.7,143.11,133.04,135.84,135.84,9573058.0,0.0,1.0,ABNB,160.48661290322582
2022-05-09,131.76,131.885,118.83,119.37,119.37,14430889.0,0.0,1.0,ABNB,159.79483870967744
2022-05-10,122.95,123.46,113.53,116.13,116.13,13638465.0,0.0,1.0,ABNB,158.93354838709675
2022-05-11,114.53,123.77,112.3669,116.15,116.15,13661360.0,0.0,1.0,ABNB,158.0335483870968
2022-05-12,113.66,120.49,111.22,115.94,115.94,9264303.0,0.0,1.0,ABNB,157.2175806451613
2022-05-13,119.96,123.29,118.82,121.45,121.45,8595379.0,0.0,1.0,ABNB,156.44
2022-05-16,121.0,121.07,113.25,114.44,114.44,7588370.0,0.0,1.0,ABNB,155.38145161290325
2022-05-17,119.97,120.18,114.51,117.5,117.5,6962904.0,0.0,1.0,ABNB,154.26629032258066
2022-05-18,116.11,117.04,107.62,108.03,108.03,9718744.0,0.0,1.0,ABNB,153.04741935483872
2022-05-19,108.18,116.3499,107.4501,114.17,114.17,8926616.0,0.0,1.0,ABNB,152.06790322580645
2022-05-20,115.46,116.25,108.5,112.55,112.55,6961860.0,0.0,1.0,ABNB,151.21806451612903
2022-05-23,113.545,115.15,110.9301,113.28,113.28,6000751.0,0.0,1.0,ABNB,150.62516129032258
2022-05-24,111.28,111.42,103.7406,106.24,106.24,6415752.0,0.0,1.0,ABNB,149.78612903225806
2022-05-25,105.89,111.94,104.97,110.4,110.4,6203324.0,0.0,1.0,ABNB,149.0653225806452
2022-05-26,109.74,115.55,108.11,114.3,114.3,6883200.0,0.0,1.0,ABNB,148.46548387096774
2022-05-27,116.0,120.7,115.77,120.5,120.5,7391500.0,0.0,1.0,ABNB,147.9733870967742
2022-05-31,120.5,122.2994,117.16,120.87,120.87,9117555.0,0.0,1.0,ABNB,147.3820967741935
