date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,300.46,306.05,297.25,304.6,291.5301425725,2528925.0,0.0,1.0,ACN,310.1099179962735
2022-05-03,306.68,307.625,302.71,304.82,291.740702754266,2121684.0,0.0,1.0,ACN,309.28277082926087
2022-05-04,303.15,315.88,300.81,314.86,301.349903776682,1891255.0,0.0,1.0,ACN,308.8248550290761
2022-05-05,310.71,312.195,294.61,298.7,285.883301334227,2231930.0,0.0,1.0,ACN,308.08746523434326
2022-05-06,295.65,297.06,289.71,295.74,283.050309797738,2476987.0,0.0,1.0,ACN,307.35886655773254
2022-05-09,290.66,292.49,285.86,287.49,275.15430298151,2584159.0,0.0,1.0,ACN,306.48582880018466
2022-05-10,290.0,292.4,283.75,287.59,275.25001215504,2634603.0,0.0,1.0,ACN,305.4533437266081
2022-05-11,285.73,288.49,280.46,280.94,268.885352115292,2398636.0,0.0,1.0,ACN,304.52044203356974
2022-05-12,278.0,281.66,274.79,281.21,269.143766883823,2284602.0,0.0,1.0,ACN,303.79502488601145
2022-05-13,283.04,288.67,280.99,286.77,274.465196932094,2373571.0,0.0,1.0,ACN,303.20238014137857
2022-05-16,284.68,288.97,282.05,286.17,273.890941890913,1598017.0,0.0,1.0,ACN,302.5499903773054
2022-05-17,294.68,294.68,288.2,291.07,278.580691393885,1598041.0,0.0,1.0,ACN,301.9069060494162
2022-05-18,286.87,287.245,272.415,274.16,262.396270149956,2666113.0,0.0,1.0,ACN,301.16916057014066
2022-05-19,270.15,278.0,269.7,273.61,261.86986969554,2679603.0,0.0,1.0,ACN,300.44955138154893
2022-05-20,275.58,278.4,268.17,276.65,264.779428570854,3007904.0,0.0,1.0,ACN,299.7779479396258
2022-05-23,281.28,283.93,276.16,283.39,271.230226866778,2128880.0,0.0,1.0,ACN,299.33274895735747
2022-05-24,279.82,281.03,273.05,279.31,267.325292586753,2088661.0,0.0,1.0,ACN,298.7782399225101
2022-05-25,278.33,281.34,275.24,279.64,267.641132859402,1812625.0,0.0,1.0,ACN,298.1312454471323
2022-05-26,282.44,292.88,281.11,291.55,279.040095426829,2742760.0,0.0,1.0,ACN,297.76799351171474
2022-05-27,293.44,304.17,293.44,304.15,291.099451291614,2759014.0,0.0,1.0,ACN,297.6711238005447
2022-05-31,302.4,303.32,296.7,298.46,285.653599317755,4143704.0,0.0,1.0,ACN,297.3789878182306
2022-06-01,304.13,306.71,297.38,298.65,285.835446747462,1784565.0,0.0,1.0,ACN,297.08024237067104
2022-06-02,299.96,306.76,297.88,306.62,293.463467877806,1318522.0,0.0,1.0,ACN,296.9782529397012
2022-06-03,302.3,306.82,301.92,304.95,291.865124679855,1714525.0,0.0,1.0,ACN,296.99115852668376
2022-06-06,310.0,312.32,303.775,304.73,291.654564498089,1401045.0,0.0,1.0,ACN,297.0529977562797
2022-06-07,300.43,306.885,300.41,306.53,293.377329621629,2311101.0,0.0,1.0,ACN,297.022572860802
2022-06-08,305.0,307.41,301.7321,302.64,289.654242771311,1428637.0,0.0,1.0,ACN,296.930559066399
2022-06-09,300.65,302.62,294.75,295.43,282.753611359795,2497945.0,0.0,1.0,ACN,296.6955390784089
2022-06-10,290.89,291.22,285.98,286.01,273.737807213265,2169887.0,0.0,1.0,ACN,296.3751282241691
2022-06-13,276.66,281.31,274.86,276.5,264.635864810559,2414234.0,0.0,1.0,ACN,295.7763178553535
2022-06-14,274.65,277.25,272.61,275.12,263.315078215844,2052592.0,0.0,1.0,ACN,295.02260964067216
2022-06-15,276.98,285.85,276.1,281.19,269.124625049117,2536026.0,0.0,1.0,ACN,294.44586970028786
2022-06-16,275.35,275.4,269.09,270.9,259.276151092876,2741772.0,0.0,1.0,ACN,293.64179296551515
2022-06-17,272.61,278.59,270.93,275.38,263.563922067022,4446097.0,0.0,1.0,ACN,292.8984087165063
2022-06-21,278.15,284.3129,277.67,282.73,270.59854632148,2550168.0,0.0,1.0,ACN,292.22277455181677
2022-06-22,279.09,290.36,279.09,286.4,274.111072990032,2940621.0,0.0,1.0,ACN,291.71107008095487
2022-06-23,276.0,286.28,275.0,285.83,273.565530700911,3482141.0,0.0,1.0,ACN,291.1168431232004
2022-06-24,285.41,299.61,284.97,299.37,286.524552796878,4648047.0,0.0,1.0,ACN,290.69438616425396
