date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,85.655,90.37,85.3201,89.84,89.84,98304091.0,0.0,1.0,AMD,108.93080645161291
2022-05-03,89.85,92.21,89.01,91.13,91.13,126381846.0,0.0,1.0,AMD,108.42064516129032
2022-05-04,98.18,99.69,91.7,99.42,99.42,224892814.0,0.0,1.0,AMD,108.08741935483872
2022-05-05,97.65,97.84,92.17,93.87,93.87,153129770.0,0.0,1.0,AMD,107.60790322580645
2022-05-06,94.34,98.18,92.65,95.34,95.34,144286560.0,0.0,1.0,AMD,107.15096774193549
2022-05-09,92.865,93.74,85.38,86.36,86.36,144523668.0,0.0,1.0,AMD,106.47564516129032
2022-05-10,89.18,90.7721,85.41,88.73,88.73,137235451.0,0.0,1.0,AMD,105.76403225806452
2022-05-11,87.84,93.46,86.53,87.92,87.92,136137858.0,0.0,1.0,AMD,105.15354838709676
2022-05-12,86.6,88.55,83.27,87.06,87.06,129214223.0,0.0,1.0,AMD,104.73225806451612
2022-05-13,88.3,96.57,88.22,95.12,95.12,138068073.0,0.0,1.0,AMD,104.42338709677419
2022-05-16,93.86,98.169,93.0801,94.24,94.24,131065665.0,0.0,1.0,AMD,103.98419354838708
2022-05-17,97.88,103.2,97.54,102.47,102.47,164227181.0,0.0,1.0,AMD,103.73870967741935
2022-05-18,100.0,104.22,95.71,96.28,96.28,142603246.0,0.0,1.0,AMD,103.4791935483871
2022-05-19,96.69,100.69,95.09,96.67,96.67,141506169.0,0.0,1.0,AMD,103.20241935483871
2022-05-20,98.385,98.64,88.26,93.5,93.5,164126807.0,0.0,1.0,AMD,102.84516129032258
2022-05-23,91.66,95.19,90.92,95.07,95.07,128773040.0,0.0,1.0,AMD,102.60822580645161
2022-05-24,92.54,93.42,89.62,91.16,91.16,123341410.0,0.0,1.0,AMD,102.19774193548388
2022-05-25,90.425,93.89,89.52,92.65,92.65,111771116.0,0.0,1.0,AMD,101.73951612903225
2022-05-26,91.34,100.33,90.74,98.75,98.75,128792745.0,0.0,1.0,AMD,101.34290322580645
2022-05-27,100.14,102.4,99.38,102.26,102.26,104348440.0,0.0,1.0,AMD,101.15629032258066
2022-05-31,102.43,104.55,100.04,101.86,101.86,125102894.0,0.0,1.0,AMD,100.89145161290323
2022-06-01,102.13,103.57,99.55,101.22,101.22,99351389.0,0.0,1.0,AMD,100.71790322580645
2022-06-02,100.78,109.5,100.78,108.59,108.59,120953796.0,0.0,1.0,AMD,100.72080645161292
2022-06-03,105.8,109.39,104.65,106.3,106.3,110844697.0,0.0,1.0,AMD,100.77483870967743
2022-06-06,108.27,109.57,104.225,105.65,105.65,96726891.0,0.0,1.0,AMD,100.77677419354839
2022-06-07,104.24,106.24,102.61,105.28,105.28,79022851.0,0.0,1.0,AMD,100.68370967741934
