date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,71.405,72.16,69.87,71.59,34.7524855663418,2553279.0,0.0,1.0,APH,36.157899919766805
2022-05-03,71.81,72.505,71.46,71.97,34.9369518956505,1927893.0,0.0,1.0,APH,36.093156751132874
2022-05-04,72.15,74.0,71.47,73.94,35.8932641818035,2218117.0,0.0,1.0,APH,36.05461453731867
2022-05-05,73.08,73.23,70.37,71.16,34.5437473515977,1678810.0,0.0,1.0,APH,35.996726745164636
2022-05-06,70.52,70.815,69.14,70.42,34.1845234471544,2402322.0,0.0,1.0,APH,35.93921421099187
2022-05-09,69.42,70.47,68.83,69.09,33.538891294574,2449209.0,0.0,1.0,APH,35.865978064486505
2022-05-10,70.34,70.54,68.15,69.04,33.5146194091386,2278206.0,0.0,1.0,APH,35.78188623699846
2022-05-11,68.84,70.14,68.24,68.37,33.1893761443049,2363948.0,0.0,1.0,APH,35.71121230824593
2022-05-12,67.99,68.96,67.4,68.63,33.3155899485687,2278106.0,0.0,1.0,APH,35.66147211697057
2022-05-13,69.28,70.96,69.15,70.47,34.2087953325898,1909756.0,0.0,1.0,APH,35.62512328066602
2022-05-16,69.76,70.19,68.99,69.54,33.7573382634922,1566836.0,0.0,1.0,APH,35.56985731421613
2022-05-17,71.03,71.27,70.18,71.11,34.5194754661623,1799314.0,0.0,1.0,APH,35.52571251773802
2022-05-18,70.2,70.74,67.79,67.97,32.995201060822,2006743.0,0.0,1.0,APH,35.46846203264673
2022-05-19,67.35,68.39,66.99,67.59,32.8107347315133,3201598.0,0.0,1.0,APH,35.402379456403615
2022-05-20,68.38,68.53,66.71,68.43,33.2185024068273,2697054.0,0.0,1.0,APH,35.352947521923916
2022-05-23,68.94,69.62,68.32,69.4,33.6893769842732,2125101.0,0.0,1.0,APH,35.32102790039381
2022-05-24,69.02,69.4,67.76,68.99,33.4903475237033,1894922.0,0.0,1.0,APH,35.274653016944214
2022-05-25,68.57,69.32,68.0,68.75,33.3738424736136,2657936.0,0.0,1.0,APH,35.212811179343504
2022-05-26,69.05,70.33,68.61,69.92,33.9418045928009,2215498.0,0.0,1.0,APH,35.16668966819347
2022-05-27,70.74,71.78,70.74,71.33,34.6262717620779,3237815.0,0.0,1.0,APH,35.146367156091465
2022-05-31,70.89,71.44,69.98,70.86,34.3981160389856,3779557.0,0.0,1.0,APH,35.1063560503845
2022-06-01,71.0,71.23,68.91,69.28,33.6311244592283,2966137.0,0.0,1.0,APH,35.052490383042745
2022-06-02,69.47,72.02,69.14,71.98,34.9418062727375,1855521.0,0.0,1.0,APH,35.02077992843228
2022-06-03,71.0,71.305,70.56,70.88,34.4078247931597,2027019.0,0.0,1.0,APH,35.00708591293342
2022-06-06,71.6,72.44,71.07,71.25,34.5874367453813,1598365.0,0.0,1.0,APH,34.998475413442186
2022-06-07,70.6,71.65,70.32,71.59,34.7524855663418,1646008.0,0.0,1.0,APH,34.97401941593667
2022-06-08,71.03,71.41,70.28,70.5,34.223358463851,1325422.0,0.0,1.0,APH,34.94602693669519
2022-06-09,70.16,70.67,69.02,69.14,33.5631631800093,1473645.0,0.0,1.0,APH,34.91254015486677
2022-06-10,67.92,68.36,66.79,67.55,32.791317223165,2428479.0,0.0,1.0,APH,34.883159544548576
2022-06-13,66.09,66.72,64.96,65.22,31.6602473618775,2789799.0,0.0,1.0,APH,34.82038621077133
2022-06-14,65.57,66.02,65.0,65.53,31.8107330515767,2518211.0,0.0,1.0,APH,34.745983678875554
2022-06-15,66.15,67.12,65.14,66.12,32.0971412997139,2097852.0,0.0,1.0,APH,34.67081235329916
