date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,148.02,149.4517,143.3821,148.61,148.61,12399196.0,0.0,1.0,BA,188.81467741935484
2022-05-03,149.09,154.4494,147.91,153.58,153.58,10149453.0,0.0,1.0,BA,187.94467741935486
2022-05-04,152.91,157.14,150.7723,156.97,156.97,9481537.0,0.0,1.0,BA,187.1475806451613
2022-05-05,155.69,157.99,149.05,150.47,150.47,7950792.0,0.0,1.0,BA,186.24467741935484
2022-05-06,149.96,150.9,145.85,148.9,148.9,7697850.0,0.0,1.0,BA,185.22822580645163
2022-05-09,146.0,146.95,132.65,133.31,133.31,12593832.0,0.0,1.0,BA,183.93854838709677
2022-05-10,136.76,137.835,130.3301,132.95,132.95,11781424.0,0.0,1.0,BA,182.60129032258064
2022-05-11,132.95,138.96,129.11,129.39,129.39,11388355.0,0.0,1.0,BA,181.16
2022-05-12,126.89,128.53,120.28,123.14,123.14,15891332.0,0.0,1.0,BA,179.72193548387096
2022-05-13,124.98,130.8,122.38,127.2,127.2,20891522.0,0.0,1.0,BA,178.3858064516129
2022-05-16,127.05,131.1242,122.35,124.05,124.05,10631557.0,0.0,1.0,BA,176.87483870967742
2022-05-17,126.905,132.83,125.79,132.05,132.05,12154220.0,0.0,1.0,BA,175.47354838709674
2022-05-18,130.34,132.1,124.36,125.52,125.52,9567609.0,0.0,1.0,BA,174.0532258064516
2022-05-19,124.4,128.4,123.7,127.14,127.14,8075776.0,0.0,1.0,BA,172.7324193548387
2022-05-20,128.77,128.85,117.08,120.7,120.7,18822241.0,0.0,1.0,BA,171.47370967741935
2022-05-23,121.7,124.48,120.34,124.07,124.07,9341490.0,0.0,1.0,BA,170.3067741935484
2022-05-24,122.44,122.7,117.29,119.4,119.4,9092426.0,0.0,1.0,BA,169.03209677419355
2022-05-25,119.17,122.595,118.76,122.06,122.06,7707912.0,0.0,1.0,BA,167.75112903225806
2022-05-26,123.1,128.8416,122.74,127.73,127.73,8333861.0,0.0,1.0,BA,166.49935483870965
2022-05-27,128.77,132.23,128.32,132.23,132.23,7261516.0,0.0,1.0,BA,165.48838709677418
2022-05-31,131.03,132.99,128.86,131.4,131.4,7953651.0,0.0,1.0,BA,164.41725806451612
2022-06-01,133.0,134.33,127.01,130.65,130.65,9991563.0,0.0,1.0,BA,163.47854838709677
2022-06-02,132.14,140.55,131.87,140.5,140.5,12777039.0,0.0,1.0,BA,162.82790322580644
2022-06-03,138.52,140.7,137.585,139.25,139.25,10091798.0,0.0,1.0,BA,162.34532258064516
2022-06-06,139.99,141.14,136.83,139.24,139.24,6354823.0,0.0,1.0,BA,161.78790322580645
2022-06-07,137.49,141.24,135.91,140.82,140.82,5436085.0,0.0,1.0,BA,161.1791935483871
2022-06-08,139.13,142.2063,138.4401,139.63,139.63,5833696.0,0.0,1.0,BA,160.5540322580645
2022-06-09,139.35,139.66,133.7,133.73,133.73,6018982.0,0.0,1.0,BA,159.86854838709678
2022-06-10,130.27,132.1949,126.85,127.0,127.0,7776856.0,0.0,1.0,BA,159.0859677419355
2022-06-13,123.0,123.25,114.14,115.86,115.86,16778494.0,0.0,1.0,BA,158.0532258064516
2022-06-14,116.65,122.19,113.02,122.16,122.16,17549811.0,0.0,1.0,BA,156.97532258064516
2022-06-15,124.35,134.99,123.83,133.72,133.72,25997847.0,0.0,1.0,BA,156.06451612903226
2022-06-16,131.7,135.34,131.26,133.36,133.36,19543638.0,0.0,1.0,BA,155.10532258064515
2022-06-17,132.25,138.98,131.5,136.8,136.8,16042484.0,0.0,1.0,BA,154.3133870967742
2022-06-21,139.17,140.9395,135.84,136.75,136.75,10519904.0,0.0,1.0,BA,153.4377419354839
2022-06-22,134.03,138.79,133.28,137.16,137.16,7717692.0,0.0,1.0,BA,152.64935483870968
2022-06-23,136.42,137.42,130.0917,133.97,133.97,10746906.0,0.0,1.0,BA,151.7609677419355
2022-06-24,135.01,141.87,134.95,141.53,141.53,13626216.0,0.0,1.0,BA,150.99612903225807
2022-06-27,140.28,140.5725,136.22,138.72,138.72,8457424.0,0.0,1.0,BA,150.19870967741934
2022-06-28,140.89,147.18,138.54,138.7,138.7,12142256.0,0.0,1.0,BA,149.31000000000003
2022-06-29,138.61,138.92,134.84,138.45,138.45,7489226.0,0.0,1.0,BA,148.39935483870966
2022-06-30,134.3,137.49,131.6,136.72,136.72,8455129.0,0.0,1.0,BA,147.5158064516129
2022-07-01,135.88,141.79,135.4,139.84,139.84,7627130.0,0.0,1.0,BA,146.69451612903228
2022-07-05,136.25,138.07,131.29,137.7,137.7,10073971.0,0.0,1.0,BA,145.83193548387098
2022-07-06,137.54,138.71,134.46,136.31,136.31,6608039.0,0.0,1.0,BA,145.0845161290323
2022-07-07,137.93,142.275,137.8985,139.97,139.97,7674390.0,0.0,1.0,BA,144.45951612903227
2022-07-08,139.7,140.7391,137.3747,139.07,139.07,5655499.0,0.0,1.0,BA,143.83209677419356
2022-07-11,137.77,139.24,134.89,136.99,136.99,6180548.0,0.0,1.0,BA,143.21580645161288
2022-07-12,136.86,149.32,136.81,147.15,147.15,18598189.0,0.0,1.0,BA,142.76612903225808
2022-07-13,142.785,146.41,142.18,143.95,143.95,9038684.0,0.0,1.0,BA,142.24467741935484
2022-07-14,141.11,147.49,140.61,147.15,147.15,9456114.0,0.0,1.0,BA,141.66854838709676
