date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,206.3,209.12,202.52,207.32,207.32,1526346.0,0.0,1.0,BIIB,210.9909677419355
2022-05-03,209.12,214.775,205.0,205.7,205.7,1545830.0,0.0,1.0,BIIB,210.68032258064517
2022-05-04,208.47,211.615,203.41,210.1,210.1,1079054.0,0.0,1.0,BIIB,210.51790322580644
2022-05-05,207.63,209.39,199.59,201.18,201.18,1384834.0,0.0,1.0,BIIB,210.18967741935484
2022-05-06,198.94,199.26,190.65,193.61,193.61,1888755.0,0.0,1.0,BIIB,209.74306451612904
2022-05-09,191.05,193.91,187.16,187.54,187.54,1589749.0,0.0,1.0,BIIB,209.18096774193546
2022-05-10,191.2,197.51,190.92,195.0,195.0,1603597.0,0.0,1.0,BIIB,208.66790322580644
2022-05-11,192.29,198.14,190.51,191.07,191.07,1483576.0,0.0,1.0,BIIB,208.20064516129034
2022-05-12,190.56,194.98,188.51,194.32,194.32,1313884.0,0.0,1.0,BIIB,207.87370967741936
2022-05-13,196.93,200.2683,196.235,199.11,199.11,1230538.0,0.0,1.0,BIIB,207.6316129032258
2022-05-16,197.89,200.915,196.47,198.38,198.38,831474.0,0.0,1.0,BIIB,207.32532258064515
2022-05-17,200.13,203.06,197.475,202.9,202.9,781913.0,0.0,1.0,BIIB,207.13741935483873
2022-05-18,201.05,201.77,195.0,195.71,195.71,1197126.0,0.0,1.0,BIIB,206.89725806451614
2022-05-19,195.32,195.55,191.46,193.09,193.09,1171104.0,0.0,1.0,BIIB,206.62790322580645
2022-05-20,195.33,199.78,194.495,199.65,199.65,972550.0,0.0,1.0,BIIB,206.46403225806452
2022-05-23,201.09,204.0,198.69,199.4,199.4,931859.0,0.0,1.0,BIIB,206.30790322580646
2022-05-24,198.67,202.73,196.52,202.54,202.54,914081.0,0.0,1.0,BIIB,206.29854838709676
2022-05-25,202.54,203.32,198.1,202.36,202.36,932605.0,0.0,1.0,BIIB,206.2175806451613
2022-05-26,202.98,205.73,202.34,204.22,204.22,531968.0,0.0,1.0,BIIB,206.10806451612902
2022-05-27,205.26,207.3624,203.13,206.2,206.2,1013334.0,0.0,1.0,BIIB,206.04129032258064
2022-05-31,204.96,204.96,199.15,200.0,200.0,1767442.0,0.0,1.0,BIIB,205.91564516129034
2022-06-01,202.0,202.22,198.47,200.0,200.0,1055338.0,0.0,1.0,BIIB,205.73451612903224
2022-06-02,199.33,200.23,193.86,198.51,198.51,1094330.0,0.0,1.0,BIIB,205.55806451612904
