date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,324.11,324.37,311.74,318.19,318.19,6799512.0,0.0,1.0,BRK-B,333.0691935483871
2022-05-03,319.42,323.58,317.67,318.99,318.99,3875789.0,0.0,1.0,BRK-B,333.0593548387097
2022-05-04,319.1,327.28,318.0,326.8,326.8,4225689.0,0.0,1.0,BRK-B,333.2459677419355
2022-05-05,325.85,325.85,315.16,318.68,318.68,5265994.0,0.0,1.0,BRK-B,333.30548387096775
2022-05-06,317.99,320.372,314.19,318.88,318.88,4200043.0,0.0,1.0,BRK-B,333.3437096774194
2022-05-09,315.35,316.92,311.56,312.96,312.96,4884887.0,0.0,1.0,BRK-B,333.20693548387095
2022-05-10,315.96,318.11,310.24,312.53,312.53,4801061.0,0.0,1.0,BRK-B,333.0480645161291
2022-05-11,313.17,317.55,311.01,311.54,311.54,4258661.0,0.0,1.0,BRK-B,332.9140322580645
2022-05-12,307.95,309.07,302.55,308.06,308.06,5683356.0,0.0,1.0,BRK-B,332.7353225806452
2022-05-13,311.25,312.47,307.9001,310.36,310.36,3771567.0,0.0,1.0,BRK-B,332.67209677419356
2022-05-16,310.28,311.95,307.13,309.29,309.29,3700581.0,0.0,1.0,BRK-B,332.5606451612904
2022-05-17,315.21,315.44,312.1,314.6,314.6,4159134.0,0.0,1.0,BRK-B,332.5437096774193
2022-05-18,312.94,314.17,305.57,306.64,306.64,4427683.0,0.0,1.0,BRK-B,332.43225806451613
2022-05-19,303.93,306.3144,301.21,304.15,304.15,4743746.0,0.0,1.0,BRK-B,332.2604838709678
2022-05-20,307.05,307.46,298.11,304.05,304.05,5522056.0,0.0,1.0,BRK-B,332.09741935483873
2022-05-23,307.38,312.44,306.62,310.2,310.2,4146033.0,0.0,1.0,BRK-B,332.1008064516129
2022-05-24,309.39,310.31,303.75,309.17,309.17,3661630.0,0.0,1.0,BRK-B,332.1151612903226
2022-05-25,308.59,310.99,305.92,308.64,308.64,3706343.0,0.0,1.0,BRK-B,331.94419354838703
2022-05-26,311.27,314.39,310.98,312.5,312.5,4474454.0,0.0,1.0,BRK-B,331.79983870967743
2022-05-27,314.73,319.24,314.15,319.11,319.11,4282883.0,0.0,1.0,BRK-B,331.83645161290326
2022-05-31,318.98,318.98,314.8,315.98,315.98,5704635.0,0.0,1.0,BRK-B,331.71290322580643
2022-06-01,316.0,316.7901,309.61,312.21,312.21,3796508.0,0.0,1.0,BRK-B,331.46241935483874
2022-06-02,312.65,315.09,308.61,314.95,314.95,3120233.0,0.0,1.0,BRK-B,331.2948387096774
2022-06-03,312.5,313.8,310.3977,310.94,310.94,2588108.0,0.0,1.0,BRK-B,331.10483870967744
2022-06-06,313.38,315.78,311.48,312.15,312.15,2981314.0,0.0,1.0,BRK-B,331.0020967741935
2022-06-07,310.58,313.79,309.3932,313.65,313.65,2551711.0,0.0,1.0,BRK-B,330.8125806451613
2022-06-08,312.16,312.8,307.93,308.74,308.74,2878967.0,0.0,1.0,BRK-B,330.5454838709678
2022-06-09,308.1,308.38,300.57,300.8,300.8,3221154.0,0.0,1.0,BRK-B,330.1293548387097
2022-06-10,296.08,298.0,291.61,291.71,291.71,5884900.0,0.0,1.0,BRK-B,329.51209677419354
2022-06-13,285.43,287.4347,280.1,281.56,281.56,7115907.0,0.0,1.0,BRK-B,328.6896774193549
2022-06-14,282.09,283.96,276.1014,277.64,277.64,5850444.0,0.0,1.0,BRK-B,327.7466129032258
2022-06-15,281.16,282.5,273.87,278.93,278.93,5827037.0,0.0,1.0,BRK-B,326.68145161290323
2022-06-16,273.39,273.4,266.88,268.56,268.56,7212687.0,0.0,1.0,BRK-B,325.4903225806451
2022-06-17,268.39,270.5,265.68,268.08,268.08,11615422.0,0.0,1.0,BRK-B,324.17451612903227
2022-06-21,273.85,273.98,270.34,271.77,271.77,4907077.0,0.0,1.0,BRK-B,322.91387096774196
2022-06-22,267.38,273.395,267.38,269.79,269.79,4225967.0,0.0,1.0,BRK-B,321.6498387096774
2022-06-23,269.85,270.71,263.68,267.52,267.52,4732399.0,0.0,1.0,BRK-B,320.2812903225806
2022-06-24,268.97,279.67,268.5701,278.28,278.28,6454976.0,0.0,1.0,BRK-B,318.9832258064517
2022-06-27,280.53,282.03,277.61,278.4,278.4,4136747.0,0.0,1.0,BRK-B,317.67403225806447
2022-06-28,280.51,282.45,273.68,273.86,273.86,4018337.0,0.0,1.0,BRK-B,316.36338709677415
2022-06-29,274.95,275.94,272.97,273.49,273.49,3010168.0,0.0,1.0,BRK-B,315.0066129032258
2022-06-30,270.51,274.92,268.68,273.02,273.02,4625535.0,0.0,1.0,BRK-B,313.71806451612906
2022-07-01,272.5,278.4,271.63,277.5,277.5,3668568.0,0.0,1.0,BRK-B,312.51838709677423
2022-07-05,274.2,275.86,271.39,275.69,275.69,3677878.0,0.0,1.0,BRK-B,311.3935483870968
2022-07-06,274.84,277.51,272.87,275.65,275.65,3034444.0,0.0,1.0,BRK-B,310.27822580645153
2022-07-07,277.5,279.59,277.1,279.28,279.28,3952851.0,0.0,1.0,BRK-B,309.2229032258064
2022-07-08,279.79,282.61,279.25,280.83,280.83,2985777.0,0.0,1.0,BRK-B,308.16354838709674
2022-07-11,279.38,281.4563,277.8701,278.51,278.51,2865411.0,0.0,1.0,BRK-B,306.9604838709677
2022-07-12,277.57,282.18,276.655,277.28,277.28,3033742.0,0.0,1.0,BRK-B,305.75499999999994
2022-07-13,275.37,280.09,274.4529,277.47,277.47,4199491.0,0.0,1.0,BRK-B,304.5893548387097
2022-07-14,273.0,275.345,271.2,274.41,274.41,3889463.0,0.0,1.0,BRK-B,303.43112903225807
2022-07-15,277.53,280.0,276.06,278.48,278.48,4548506.0,0.0,1.0,BRK-B,302.3690322580645
2022-07-18,281.5,281.5,275.21,276.26,276.26,3274902.0,0.0,1.0,BRK-B,301.2337096774193
2022-07-19,279.0,284.08,278.17,283.55,283.55,3591904.0,0.0,1.0,BRK-B,300.18612903225807
2022-07-20,284.64,286.44,283.9,286.04,286.04,3879170.0,0.0,1.0,BRK-B,299.17354838709673
2022-07-21,287.0,287.24,282.09,286.85,286.85,3700275.0,0.0,1.0,BRK-B,298.25822580645166
2022-07-22,288.1,289.4,283.615,285.93,285.93,2877341.0,0.0,1.0,BRK-B,297.4577419354839
2022-07-25,287.21,289.065,285.1534,287.99,287.99,3138226.0,0.0,1.0,BRK-B,296.668064516129
2022-07-26,287.79,288.7147,284.6546,285.31,285.31,2513418.0,0.0,1.0,BRK-B,295.9367741935484
2022-07-27,287.67,291.56,285.7,290.3,290.3,3616585.0,0.0,1.0,BRK-B,295.3032258064516
2022-07-28,291.18,294.03,286.77,293.9,293.9,3991272.0,0.0,1.0,BRK-B,294.70048387096773
2022-07-29,297.42,302.4,295.4314,300.6,300.6,6983576.0,0.0,1.0,BRK-B,294.341935483871
2022-08-01,299.7,299.7,294.83,295.86,295.86,4196074.0,0.0,1.0,BRK-B,293.98177419354835
2022-08-02,294.87,295.53,291.92,292.17,292.17,3168448.0,0.0,1.0,BRK-B,293.5491935483871
2022-08-03,295.05,295.88,291.1,294.96,294.96,4062173.0,0.0,1.0,BRK-B,293.03564516129035
2022-08-04,294.73,295.98,292.62,292.91,292.91,3949668.0,0.0,1.0,BRK-B,292.62000000000006
2022-08-05,291.87,294.1,290.425,292.07,292.07,3397499.0,0.0,1.0,BRK-B,292.1875806451613
2022-08-08,294.87,299.33,292.27,292.34,292.34,3969779.0,0.0,1.0,BRK-B,291.855
2022-08-09,293.35,297.5708,291.93,292.77,292.77,3873083.0,0.0,1.0,BRK-B,291.53629032258067
2022-08-10,296.48,296.93,294.1,295.11,295.11,3708840.0,0.0,1.0,BRK-B,291.2712903225806
2022-08-11,298.0,299.06,296.12,296.47,296.47,3146890.0,0.0,1.0,BRK-B,291.08435483870966
2022-08-12,297.9,301.69,297.0,301.55,301.55,3233809.0,0.0,1.0,BRK-B,290.9422580645161
2022-08-15,298.64,303.76,297.4,302.82,302.82,2929312.0,0.0,1.0,BRK-B,290.83790322580643
2022-08-16,304.99,308.15,303.76,306.65,306.65,3344335.0,0.0,1.0,BRK-B,290.7096774193548
2022-08-17,305.22,306.89,302.74,304.26,304.26,2963923.0,0.0,1.0,BRK-B,290.6712903225806
2022-08-18,304.44,304.57,301.55,304.27,304.27,2783620.0,0.0,1.0,BRK-B,290.67322580645157
2022-08-19,302.95,303.22,296.81,297.28,297.28,4617015.0,0.0,1.0,BRK-B,290.5640322580645
