date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,117.99,119.12,114.57,117.24,99.9204628462239,1273669.0,0.0,1.0,BXP,104.18598337226584
2022-05-03,121.45,122.91,117.06,121.38,103.448872230251,1175737.0,0.0,1.0,BXP,104.27820428791239
2022-05-04,120.89,123.43,119.28,122.93,104.769895067266,1057567.0,0.0,1.0,BXP,104.41724659424239
2022-05-05,122.63,122.89,118.69,119.67,101.991485745544,806483.0,0.0,1.0,BXP,104.52457423624882
2022-05-06,119.25,120.225,117.84,119.12,101.522735706603,957432.0,0.0,1.0,BXP,104.60865061496402
2022-05-09,118.0,118.27,113.59,114.01,97.1676217084441,1114066.0,0.0,1.0,BXP,104.6235747519531
2022-05-10,114.8,115.83,109.25,110.27,93.9801214436464,946164.0,0.0,1.0,BXP,104.5494297252475
2022-05-11,110.29,112.921,108.9,109.16,93.034098637784,787914.0,0.0,1.0,BXP,104.47298821388715
2022-05-12,109.08,111.33,108.48,111.1,94.6875078660481,772243.0,0.0,1.0,BXP,104.39469830836994
2022-05-13,112.25,113.145,110.65,112.71,96.0596670709476,1001190.0,0.0,1.0,BXP,104.34836379487119
2022-05-16,112.94,113.585,111.255,112.43,95.8210306874868,713833.0,0.0,1.0,BXP,104.2579300488049
2022-05-17,113.33,114.79,112.84,114.78,97.8238717629613,1002037.0,0.0,1.0,BXP,104.16323385438923
2022-05-18,114.34,114.34,109.445,109.8,93.5795532285515,797882.0,0.0,1.0,BXP,104.0077216364826
2022-05-19,108.74,110.25,105.04,105.08,89.5568256216411,1460025.0,0.0,1.0,BXP,103.79851492272529
2022-05-20,106.1,106.1,103.825,105.23,89.6846665413523,1104768.0,0.0,1.0,BXP,103.59123371773117
2022-05-23,106.91,107.11,104.95,106.07,90.4005756917346,1054426.0,0.0,1.0,BXP,103.43383951139218
2022-05-24,105.51,105.9,102.49,105.58,89.9829620206782,977643.0,0.0,1.0,BXP,103.24774251037226
2022-05-25,104.91,108.55,104.39,107.82,91.8920530883645,766523.0,0.0,1.0,BXP,103.0453649643902
