date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,113.15,113.63,109.505,111.96,107.364379348778,1069463.0,0.0,1.0,CBOE,111.77200559292105
2022-05-03,112.93,113.54,111.83,112.35,107.738371023894,945056.0,0.0,1.0,CBOE,111.66123827224675
2022-05-04,112.88,114.81,111.22,114.7,109.991910604723,845099.0,0.0,1.0,CBOE,111.63795972667815
2022-05-05,114.35,114.595,110.84,111.29,106.721880829988,865918.0,0.0,1.0,CBOE,111.50694639666308
2022-05-06,110.71,111.94,108.64,111.25,106.683522709463,603891.0,0.0,1.0,CBOE,111.37993559474062
2022-05-09,110.18,110.97,107.19,107.19,102.790173476201,711648.0,0.0,1.0,CBOE,111.14946221183123
2022-05-10,107.78,108.51,105.72,108.24,103.797074139976,823923.0,0.0,1.0,CBOE,110.95510035426882
2022-05-11,107.04,109.55,107.04,108.52,104.065580983649,663757.0,0.0,1.0,CBOE,110.7681500572201
2022-05-12,108.11,108.67,104.43,107.06,102.665509584496,824034.0,0.0,1.0,CBOE,110.57109522354172
2022-05-13,107.4,109.73,105.98,109.38,104.890280574931,581069.0,0.0,1.0,CBOE,110.4054566257275
2022-05-16,109.79,109.79,107.59,109.28,104.794385273619,415084.0,0.0,1.0,CBOE,110.21932437893597
2022-05-17,109.27,110.48,108.055,108.46,104.008043802862,528199.0,0.0,1.0,CBOE,110.02959757985994
2022-05-18,108.2,108.43,104.84,104.84,100.536633895372,530033.0,0.0,1.0,CBOE,109.82685752774468
2022-05-19,104.41,107.35,103.8197,105.56,101.227080064818,577856.0,0.0,1.0,CBOE,109.62940017472475
2022-05-20,106.05,107.19,104.94,106.94,102.550435222922,626433.0,0.0,1.0,CBOE,109.48933267789461
2022-05-23,107.41,107.94,106.52,107.64,103.221702332105,564566.0,0.0,1.0,CBOE,109.3898218378884
2022-05-24,106.72,107.719,105.31,106.95,102.560024753053,482828.0,0.0,1.0,CBOE,109.23758579101674
2022-05-25,107.75,108.1792,105.65,107.72,103.298418573154,746696.0,0.0,1.0,CBOE,109.08724670573423
2022-05-26,108.44,109.475,108.05,109.4,104.909459635194,557243.0,0.0,1.0,CBOE,108.96521220132283
2022-05-27,109.29,111.85,109.0,111.85,107.719191963632,491916.0,0.48,1.0,CBOE,108.88988798884075
2022-05-31,110.48,112.43,110.48,112.31,108.16220339236,1240685.0,0.0,1.0,CBOE,108.79943666490446
2022-06-01,112.6,113.505,111.955,112.42,108.268140907926,614210.0,0.0,1.0,CBOE,108.73080108988138
2022-06-02,113.38,115.54,112.54,115.54,111.272914076692,431504.0,0.0,1.0,CBOE,108.66144458884295
2022-06-03,114.9,115.81,113.92,114.0,109.789788858775,335805.0,0.0,1.0,CBOE,108.63158134806048
2022-06-06,114.35,115.83,113.85,114.9,110.656550349766,324653.0,0.0,1.0,CBOE,108.65792299787165
2022-06-07,114.35,115.02,113.5,113.64,109.443084262379,554283.0,0.0,1.0,CBOE,108.64319350614055
2022-06-08,113.88,114.26,112.63,113.49,109.298624013881,380540.0,0.0,1.0,CBOE,108.64098231512067
