date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,189.28,195.51,187.72,194.93,180.56875096407,1276461.0,0.0,1.0,CMI,190.29698923503952
2022-05-03,195.0,205.6614,195.0,202.13,187.238299042567,1532521.0,0.0,1.0,CMI,189.95561854530138
2022-05-04,200.84,209.04,199.59,208.75,193.370577970295,1171772.0,0.0,1.0,CMI,189.70157856011815
2022-05-05,205.61,207.34,202.075,204.03,188.998318674392,808043.0,0.0,1.0,CMI,189.35698111356203
2022-05-06,204.34,204.34,198.12,201.72,186.858505332541,886177.0,0.0,1.0,CMI,189.00844575548246
2022-05-09,198.89,204.5,198.56,202.71,187.775568193335,1047613.0,0.0,1.0,CMI,188.71967400420098
2022-05-10,204.93,205.08,194.31,197.41,182.866039746664,1029733.0,0.0,1.0,CMI,188.3221800666788
2022-05-11,198.5,200.4,194.586,196.18,181.726658616587,1094006.0,0.0,1.0,CMI,187.94014953440646
2022-05-12,195.0,199.62,194.55,199.44,184.746481774351,1063976.0,0.0,1.0,CMI,187.62241027737497
2022-05-13,200.59,203.06,198.26,201.12,186.302709659333,1043304.0,0.0,1.0,CMI,187.3702910404019
2022-05-16,200.71,204.24,198.28,202.69,187.757041670894,750755.0,0.0,1.0,CMI,187.0979923110335
2022-05-17,206.48,208.67,203.69,208.2,192.861098603188,825458.0,0.0,1.0,CMI,186.89421371047058
2022-05-18,207.77,209.96,203.57,204.16,189.118741070254,1435969.0,0.0,1.0,CMI,186.6771247015536
2022-05-19,200.03,204.91,196.9,201.88,188.349890388983,931648.0,1.45,1.0,CMI,186.45719695129495
2022-05-20,201.95,202.3353,193.675,197.31,184.0861743246,819090.0,0.0,1.0,CMI,186.22766493295222
2022-05-23,200.55,202.84,197.97,198.74,185.420334931179,640642.0,0.0,1.0,CMI,186.1430621787129
2022-05-24,198.34,198.43,192.5739,196.51,183.339790768472,875687.0,0.0,1.0,CMI,186.06315056495177
2022-05-25,196.61,203.51,195.87,202.62,189.040295178402,1135109.0,0.0,1.0,CMI,186.06651693924164
2022-05-26,205.0,207.65,202.92,203.55,189.907966062401,691253.0,0.0,1.0,CMI,186.079844004355
2022-05-27,206.53,208.88,206.17,207.97,194.03173521001,642888.0,0.0,1.0,CMI,186.27995646349765
2022-05-31,205.76,210.335,204.07,209.12,195.104661571944,1246901.0,0.0,1.0,CMI,186.33287659616556
2022-06-01,211.1,211.16,204.35,207.85,193.919777676591,669274.0,0.0,1.0,CMI,186.3381488774077
2022-06-02,209.4,211.79,207.67,211.64,197.455769773748,565704.0,0.0,1.0,CMI,186.50429145937804
2022-06-03,209.89,211.92,209.29,211.02,196.877322517749,648352.0,0.0,1.0,CMI,186.8469671010556
2022-06-06,212.0,214.18,211.03,212.65,198.39807901336,787480.0,0.0,1.0,CMI,187.16322313659686
2022-06-07,210.83,215.47,208.32,215.26,200.833155365229,676227.0,0.0,1.0,CMI,187.4376263577725
2022-06-08,214.64,216.9,212.9,213.78,199.452345786392,658794.0,0.0,1.0,CMI,187.70828497914917
2022-06-09,212.29,214.29,211.07,211.5,197.325152651426,771373.0,0.0,1.0,CMI,187.9731708546884
2022-06-10,207.72,208.26,204.4341,205.5,191.727275980464,694775.0,0.0,1.0,CMI,188.11071535194444
2022-06-13,200.91,201.29,194.89,196.2,183.050567140472,1193279.0,0.0,1.0,CMI,188.09785441169402
2022-06-14,196.06,199.145,194.99,196.61,183.433088712988,844374.0,0.0,1.0,CMI,187.98971552312173
2022-06-15,197.61,201.9,197.19,199.16,185.812186298147,707055.0,0.0,1.0,CMI,187.91770806466008
2022-06-16,195.18,196.185,186.17,189.15,176.473062052091,1420453.0,0.0,1.0,CMI,187.67504897314106
2022-06-17,188.1,192.56,186.71,191.55,178.712212720476,2027822.0,0.0,1.0,CMI,187.47746966132516
2022-06-21,195.5,197.1235,192.6138,196.19,183.04123734602,726952.0,0.0,1.0,CMI,187.2971219088005
