date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,94.27,96.05,92.58,95.92,85.6912106002181,6980671.0,0.0,1.0,COP,86.31657924942061
2022-05-03,96.68,99.53,96.14,98.93,88.3802279470348,5748014.0,0.0,1.0,COP,86.42382311403179
2022-05-04,101.0,104.19,99.11,103.86,92.7844988838475,7893218.0,0.0,1.0,COP,86.62126038504364
2022-05-05,104.59,106.585,100.53,102.86,91.8911376390579,10592982.0,0.0,1.0,COP,86.78999250044588
2022-05-06,104.17,107.71,102.8,107.69,96.2060724513916,9213091.0,0.0,1.0,COP,87.01302350812422
2022-05-09,105.17,105.5,96.48,97.2,86.8347129935488,9750874.0,0.0,1.0,COP,87.10792028307668
2022-05-10,98.88,101.52,95.97,98.0,87.5494019893805,7845924.0,0.0,1.0,COP,87.19118461259308
2022-05-11,99.71,102.89,98.8009,99.04,88.4784976839616,6651649.0,0.0,1.0,COP,87.30430230394343
2022-05-12,98.45,99.66,95.47,99.6,88.9787799810438,7244408.0,0.0,1.0,COP,87.3958961308238
2022-05-13,100.83,103.81,100.7,102.91,91.9358057012974,6549927.0,0.0,1.0,COP,87.56348577227992
2022-05-16,103.08,107.09,102.64,105.5,94.6605574979056,7990622.0,0.46,1.0,COP,87.80188823250427
2022-05-17,107.08,108.3,105.7101,107.02,96.0243873310508,6577545.0,0.0,1.0,COP,88.05467374444036
2022-05-18,107.72,108.1,102.76,104.48,93.7453558993477,8956954.0,0.0,1.0,COP,88.2570525839946
2022-05-19,101.83,106.71,101.83,104.61,93.8619992403404,6784087.0,0.0,1.0,COP,88.48329339342288
2022-05-20,105.13,107.55,102.19,105.02,94.2298743927019,6717710.0,0.0,1.0,COP,88.74132723265589
2022-05-23,106.04,109.43,105.77,109.02,97.8189002693997,8646902.0,0.0,1.0,COP,89.051502017228
2022-05-24,107.95,109.98,106.3,109.48,98.23163824522,6859109.0,0.0,1.0,COP,89.37551707692774
2022-05-25,109.95,111.53,109.55,111.2,99.7749193722001,6706998.0,0.0,1.0,COP,89.67356663381729
2022-05-26,112.63,114.6,112.18,113.15,101.52456948709,6159020.0,0.0,1.0,COP,89.9482608988596
2022-05-27,112.15,114.6,111.87,114.6,102.825591367393,6788667.0,0.0,1.0,COP,90.21376990157155
2022-05-31,116.23,117.99,111.32,112.36,100.815736876442,17278542.0,0.0,1.0,COP,90.43134616060172
2022-06-01,114.36,117.3,114.18,115.75,103.857436306944,7246645.0,0.0,1.0,COP,90.70703293372766
2022-06-02,114.26,115.95,113.11,114.96,103.148603696296,5042665.0,0.0,1.0,COP,90.93019895588245
2022-06-03,115.45,118.42,115.12,118.12,105.983934138887,5387105.0,0.0,1.0,COP,91.18472969220505
2022-06-06,118.19,118.81,116.62,117.38,105.319964351698,5608362.0,0.0,1.0,COP,91.46403630075905
2022-06-07,117.18,122.71,117.13,122.71,110.102341332398,8559028.0,0.0,1.0,COP,91.85768705489266
2022-06-08,122.72,124.08,121.5,121.86,109.3396733336,7010902.0,0.0,1.0,COP,92.18861057104104
2022-06-09,120.62,121.78,118.43,118.56,106.378726985324,6653439.0,0.0,1.0,COP,92.49059690084759
2022-06-10,117.0,119.64,115.3,116.83,104.826473293652,7299647.0,0.0,1.0,COP,92.79426842571395
2022-06-13,112.45,114.02,108.37,111.76,100.277382994938,9516863.0,0.0,1.0,COP,93.04611715941196
2022-06-14,114.02,116.155,110.04,111.49,100.035123748261,7737670.0,0.0,1.0,COP,93.29736276296617
2022-06-15,111.49,112.0581,107.59,109.33,98.0970497748438,7681383.0,0.0,1.0,COP,93.45973975665275
2022-06-16,105.01,106.21,101.13,102.42,91.8970075728483,11848362.0,0.0,1.0,COP,93.5110539247197
2022-06-17,101.49,102.34,92.81,93.74,84.108821420414,24455113.0,0.0,1.0,COP,93.39135429357286
2022-06-21,96.02,100.1,95.98,99.28,89.0796222596405,10454859.0,0.0,1.0,COP,93.36605162729326
2022-06-22,92.85,95.05,91.46,93.06,83.4986870213753,11287463.0,0.0,1.0,COP,93.21338117931779
2022-06-23,93.75,94.2,87.26,87.89,78.8598710757434,13554892.0,0.0,1.0,COP,92.98344882757551
2022-06-24,90.0,92.0525,88.36,90.91,81.5695856126503,12282392.0,0.0,1.0,COP,92.75469693988038
2022-06-27,91.58,93.79,90.95,92.23,83.3820436803827,8986106.0,0.7,1.0,COP,92.61264393483792
2022-06-28,94.98,97.065,93.55,95.22,86.0852022036868,8904586.0,0.0,1.0,COP,92.55455990664485
2022-06-29,96.89,97.45,91.28,91.46,82.6859125556522,7990081.0,0.0,1.0,COP,92.431448466442
2022-06-30,88.56,91.71,87.8302,89.81,81.1942030026582,12749010.0,0.0,1.0,COP,92.30012715230811
2022-07-01,91.93,92.31,88.31,90.98,82.2519606856903,6004979.0,0.0,1.0,COP,92.17750919561057
2022-07-05,89.35,89.35,83.06,84.64,76.5201797366105,13488003.0,0.0,1.0,COP,91.96287543065922
2022-07-06,83.71,85.69,80.44,83.34,75.3448934221305,12130929.0,0.0,1.0,COP,91.76530806566747
2022-07-07,86.19,87.21,85.68,86.35,78.0661332733497,8072413.0,0.0,1.0,COP,91.61898028270896
2022-07-08,87.53,87.86,84.67,86.46,78.1655805768826,5615501.0,0.0,1.0,COP,91.43938658186565
2022-07-11,85.59,86.6,84.19,85.55,77.3428801567466,4689352.0,0.0,1.0,COP,91.20199954769112
2022-07-12,82.56,84.04,81.61,83.45,75.4443407256634,5573054.0,0.0,1.0,COP,91.00704480512948
2022-07-13,82.36,85.19,82.36,83.11,75.1369581511071,5535252.0,0.0,1.0,COP,90.77802599338992
2022-07-14,79.83,81.77,78.3,81.61,73.7808585574762,8890151.0,0.0,1.0,COP,90.52382052552242
2022-07-15,83.87,83.9402,81.815,82.89,74.9380635440412,5898990.0,0.0,1.0,COP,90.27185333455016
2022-07-18,84.74,86.39,84.65,85.07,76.9089282867847,7057624.0,0.0,1.0,COP,90.02141527468572
2022-07-19,85.41,88.705,84.88,88.48,79.9917946963055,6674814.0,0.0,1.0,COP,89.8482221565482
2022-07-20,87.75,91.22,87.22,90.71,82.0078627588367,7720461.0,0.0,1.0,COP,89.69155221713352
2022-07-21,87.35,89.06,86.87,88.93,80.3986245743948,8016664.0,0.0,1.0,COP,89.56656303247232
2022-07-22,89.21,90.19,87.54,88.13,79.6753714577917,6243528.0,0.0,1.0,COP,89.4682365541746
2022-07-25,89.46,92.14,87.79,92.05,83.219311729147,5815080.0,0.0,1.0,COP,89.48974978049287
2022-07-26,93.44,94.18,89.97,91.09,82.3514079892232,7127158.0,0.0,1.0,COP,89.50216363718702
2022-07-27,92.04,93.66,91.29,93.27,84.3222727319667,6237834.0,0.0,1.0,COP,89.52129388382973
2022-07-28,94.22,95.26,92.595,94.06,85.0364851846123,4656115.0,0.0,1.0,COP,89.48724704117467
2022-07-29,96.18,97.915,95.4,97.43,88.083188938303,7394770.0,0.0,1.0,COP,89.53159095788436
2022-08-01,95.31,96.055,93.68,95.1,85.9767142361964,5598924.0,0.0,1.0,COP,89.53619585523884
2022-08-02,95.1,95.85,93.93,94.71,85.6241283418524,4653034.0,0.0,1.0,COP,89.49174263580042
2022-08-03,95.35,95.68,90.43,91.32,82.5593432602466,6783271.0,0.0,1.0,COP,89.32682077090365
2022-08-04,92.74,93.0,89.28,89.88,81.257487650361,7810483.0,0.0,1.0,COP,89.15531028721497
2022-08-05,88.22,93.42,88.0007,92.85,83.9425648457501,5848042.0,0.0,1.0,COP,88.95751177744657
2022-08-08,93.02,94.69,92.85,93.63,84.6477366344381,4788154.0,0.0,1.0,COP,88.92223796520285
2022-08-09,95.3,97.28,94.8607,95.51,86.3473814584555,7477881.0,0.0,1.0,COP,88.90285053728469
2022-08-10,95.39,96.31,93.16,95.98,86.7722926644598,5625750.0,0.0,1.0,COP,88.87533110148628
2022-08-11,98.12,101.32,97.52,100.36,90.7321034778619,6481603.0,0.0,1.0,COP,88.90361051272528
2022-08-12,99.75,102.96,99.35,102.75,92.8928221637137,6684131.0,0.0,1.0,COP,88.9190462621191
2022-08-15,98.39,101.46,97.55,100.77,91.5186412421678,6585945.0,0.46,1.0,COP,88.86837019347816
2022-08-16,101.21,102.05,98.93,100.1,90.9101517152029,6924364.0,0.0,1.0,COP,88.78588252225481
