date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,111.71,113.6601,111.01,113.5,112.113875140363,14300708.0,0.0,1.0,DIS,135.29326348809167
2022-05-03,114.05,114.83,112.69,113.55,112.163264512672,11149544.0,0.0,1.0,DIS,134.83011863228234
2022-05-04,113.37,116.44,111.83,116.19,114.771023370562,11387929.0,0.0,1.0,DIS,134.45029842717412
2022-05-05,114.74,115.27,111.48,112.61,111.234744313272,12720190.0,0.0,1.0,DIS,133.9817366724664
2022-05-06,111.77,112.09,108.3,110.29,108.943077438156,12525166.0,0.0,1.0,DIS,133.46840584156936
2022-05-09,108.11,110.74,106.48,106.98,105.673500991331,17941596.0,0.0,1.0,DIS,132.90281786835877
2022-05-10,109.835,110.7,106.1447,107.68,106.364952203651,15657721.0,0.0,1.0,DIS,132.27270507003544
2022-05-11,107.9,110.07,104.79,105.21,103.925117211609,26933332.0,0.0,1.0,DIS,131.52469506039495
2022-05-12,102.9,105.0,99.47,104.31,103.036108510056,36298829.0,0.0,1.0,DIS,130.80520343024878
2022-05-13,105.36,107.69,105.31,107.33,106.019226597491,16782625.0,0.0,1.0,DIS,130.11184037125935
2022-05-16,107.46,107.62,104.85,105.18,103.895483588224,11993642.0,0.0,1.0,DIS,129.32256633765786
2022-05-17,107.73,108.79,106.3,108.64,107.313228151974,11847643.0,0.0,1.0,DIS,128.562447965774
2022-05-18,107.38,107.66,103.88,104.3,103.026230635594,11793977.0,0.0,1.0,DIS,127.78735346164174
2022-05-19,103.43,105.3,102.96,103.14,101.880397198036,11284951.0,0.0,1.0,DIS,127.01910974141036
2022-05-20,104.49,104.8,100.05,102.42,101.169190236793,15650431.0,0.0,1.0,DIS,126.29149276291662
2022-05-23,103.76,106.03,101.5611,105.83,104.537545428235,14402432.0,0.0,1.0,DIS,125.6535732573574
2022-05-24,103.71,103.84,100.13,101.59,100.349326656472,13970239.0,0.0,1.0,DIS,124.89186167991521
2022-05-25,101.43,103.807,101.16,103.26,101.998931691576,11026597.0,0.0,1.0,DIS,124.15468546807143
2022-05-26,104.22,106.13,103.96,105.61,104.320232190077,11297797.0,0.0,1.0,DIS,123.47199688632287
2022-05-27,106.89,109.37,106.53,109.32,107.98492361537,13671313.0,0.0,1.0,DIS,122.8923887041989
2022-05-31,110.0,111.235,107.91,110.44,109.091245555081,20274632.0,0.0,1.0,DIS,122.30449585317153
2022-06-01,112.01,112.85,108.27,109.19,107.856511247368,11829744.0,0.0,1.0,DIS,121.72488767104754
2022-06-02,109.43,110.95,107.91,110.87,109.515994156935,8829877.0,0.0,1.0,DIS,121.24931581188316
2022-06-03,109.17,109.85,107.9232,108.67,107.342861775359,6767601.0,0.0,1.0,DIS,120.85372287174742
2022-06-06,109.75,110.19,107.65,107.83,106.513120320576,7575890.0,0.0,1.0,DIS,120.47262810219256
2022-06-07,106.79,107.92,106.0,107.79,106.473608822729,7279062.0,0.0,1.0,DIS,120.06062514480591
2022-06-08,107.43,109.3605,106.96,107.34,106.029104471953,7019489.0,0.0,1.0,DIS,119.64161208296261
2022-06-09,106.53,107.06,103.25,103.3,102.038443189423,8271206.0,0.0,1.0,DIS,119.18834510161496
2022-06-10,101.43,102.12,99.38,99.4,98.1860721493579,15386009.0,0.0,1.0,DIS,118.7162782946789
2022-06-13,97.61,97.61,94.83,95.71,94.5411364729884,15239650.0,0.0,1.0,DIS,118.10305347527397
2022-06-14,96.27,96.27,93.1,94.22,93.0693331781942,12443662.0,0.0,1.0,DIS,117.40331759405117
2022-06-15,94.61,97.3,94.09,95.88,94.7090603388374,11751580.0,0.0,1.0,DIS,116.7088392911709
2022-06-16,94.01,95.38,93.41,94.28,93.1286004249644,15298482.0,0.0,1.0,DIS,115.97564609322298
2022-06-17,94.01,95.97,93.47,94.34,93.1878676717347,15403769.0,0.0,1.0,DIS,115.27017467199015
2022-06-21,94.9,95.45,93.265,93.29,92.1506908532555,16649792.0,0.0,1.0,DIS,114.52423582957552
2022-06-22,92.17,94.61,92.01,93.5,92.3581262169514,11415080.0,0.0,1.0,DIS,113.82099489612439
2022-06-23,93.96,94.65,92.07,94.3,93.1483561738878,11348816.0,0.0,1.0,DIS,113.10946929376989
2022-06-24,95.45,98.5671,95.4,97.78,96.5858564865615,11681152.0,0.0,1.0,DIS,112.45051947484059
2022-06-27,98.22,98.23,95.8001,96.61,95.4301451745419,10793748.0,0.0,1.0,DIS,111.77962061422376
2022-06-28,99.74,100.4,95.78,95.92,94.7485718366842,16838236.0,0.0,1.0,DIS,111.03941731181914
2022-06-29,95.95,96.201,94.53,95.65,94.4818692262182,8653197.0,0.0,1.0,DIS,110.31753587333543
2022-06-30,94.42,95.44,92.5443,94.4,93.2471349185049,10983520.0,0.0,1.0,DIS,109.63628117658938
2022-07-01,94.24,96.3107,93.98,96.14,94.9658850748418,10543380.0,0.0,1.0,DIS,108.98529738545177
2022-07-05,94.26,97.23,92.31,97.18,95.9931840188592,10674623.0,0.0,1.0,DIS,108.32571028429915
2022-07-06,97.53,98.19,95.4,96.08,94.9066178280715,8640229.0,0.0,1.0,DIS,107.69575680653165
2022-07-07,96.9,97.53,95.93,97.43,96.2401308804018,7813050.0,0.0,1.0,DIS,107.13590437333107
2022-07-08,96.57,97.12,95.349,95.86,94.689304589914,7717297.0,0.0,1.0,DIS,106.56219105177297
2022-07-11,95.0,95.3375,93.43,93.64,92.4964164594152,7650632.0,0.0,1.0,DIS,105.95310856681971
2022-07-12,93.58,95.25,93.31,93.6,92.4569049615684,8665299.0,0.0,1.0,DIS,105.36282590745486
2022-07-13,92.12,93.2487,91.01,92.94,91.8049652470958,12006434.0,0.0,1.0,DIS,104.75900100084411
2022-07-14,91.48,92.04,90.23,91.84,90.7183990563082,11146426.0,0.0,1.0,DIS,104.11359342916072
2022-07-15,92.91,95.32,92.7,95.2,94.0373648754414,14946733.0,0.0,1.0,DIS,103.5516698287343
2022-07-18,96.36,97.27,95.31,95.7,94.5312585985267,10430405.0,0.0,1.0,DIS,103.04072880617477
2022-07-19,96.68,99.85,96.68,99.61,98.3935075130537,13683360.0,0.0,1.0,DIS,102.52628273138687
2022-07-20,100.25,104.26,99.9538,103.35,102.087832561732,15112718.0,0.0,1.0,DIS,102.18820451190719
2022-07-21,102.71,104.25,101.61,104.18,102.907696142053,8611311.0,0.0,1.0,DIS,101.9097121803094
2022-07-22,103.28,104.5661,102.11,102.72,101.465526470644,7803460.0,0.0,1.0,DIS,101.6619687159876
2022-07-25,102.78,103.39,101.81,102.69,101.435892847259,6726685.0,0.0,1.0,DIS,101.38698143661814
2022-07-26,102.14,102.36,99.56,99.78,98.5614313789028,6346629.0,0.0,1.0,DIS,101.13222786783962
2022-07-27,100.97,103.65,100.81,103.5,102.236000678657,9445183.0,0.0,1.0,DIS,100.94566349695805
2022-07-28,103.245,104.97,102.71,104.9,103.618903103296,7970282.0,0.0,1.0,DIS,100.78012943944655
2022-07-29,105.14,106.34,103.37,106.1,104.804248038701,10320043.0,0.0,1.0,DIS,100.69202517207037
2022-08-01,104.87,106.65,103.8601,106.22,104.922782532241,7769658.0,0.0,1.0,DIS,100.57603980742324
2022-08-02,105.74,106.36,104.62,104.71,103.431223488524,9093020.0,0.0,1.0,DIS,100.43520043606603
2022-08-03,105.73,109.7,105.73,109.02,107.688587381519,11243033.0,0.0,1.0,DIS,100.32096759753307
2022-08-04,108.92,109.45,107.66,108.12,106.799578679966,7322411.0,0.0,1.0,DIS,100.2494326679636
2022-08-05,106.81,107.7,105.37,106.63,105.327775385171,10099976.0,0.0,1.0,DIS,100.19112134452836
2022-08-08,108.205,111.23,107.9,109.11,107.777488251674,13045407.0,0.0,1.0,DIS,100.22505662292099
2022-08-09,109.22,109.22,107.03,108.13,106.809456554427,8776524.0,0.0,1.0,DIS,100.23222604793351
2022-08-10,112.48,112.67,109.91,112.43,111.056942572961,26398688.0,0.0,1.0,DIS,100.34725548924564
2022-08-11,122.21,123.268,117.3309,117.69,116.252704539818,50375019.0,0.0,1.0,DIS,100.56042639295147
2022-08-12,119.0,121.61,118.9201,121.57,120.08531983096,21964785.0,0.0,1.0,DIS,100.78729886445903
2022-08-15,121.0,125.96,120.99,124.26,122.742468061159,24628324.0,0.0,1.0,DIS,101.09128248499026
2022-08-16,124.73,126.48,123.45,124.96,123.433919273479,14607300.0,0.0,1.0,DIS,101.3512936321113
2022-08-17,123.45,124.48,122.57,122.81,121.310176264212,9140896.0,0.0,1.0,DIS,101.64619598095999
2022-08-18,123.01,123.13,121.71,122.67,121.171886021748,7343934.0,0.0,1.0,DIS,101.95734902650373
2022-08-19,121.25,121.39,119.48,120.14,118.672783782936,8702520.0,0.0,1.0,DIS,102.23966505144152
2022-08-22,117.7,118.21,115.6901,115.94,114.52407650902,11575841.0,0.0,1.0,DIS,102.40073813338967
2022-08-23,115.98,116.3699,114.6211,114.86,113.457266067155,7180690.0,0.0,1.0,DIS,102.61215651098131
2022-08-24,114.67,117.16,114.1,116.41,114.98833660872,7840514.0,0.0,1.0,DIS,102.821663041903
2022-08-25,117.02,117.77,116.11,117.46,116.025513427199,6920927.0,0.0,1.0,DIS,103.01045790056625
2022-08-26,117.47,118.37,113.89,114.07,112.676913984681,7807402.0,0.0,1.0,DIS,103.08613516458739
2022-08-29,112.54,114.4673,112.41,113.53,112.143508763749,6844289.0,0.0,1.0,DIS,103.13536521634012
2022-08-30,114.28,114.7499,111.45,112.43,111.056942572961,8059967.0,0.0,1.0,DIS,103.18698507643032
2022-08-31,112.87,113.75,111.85,112.08,110.711216966801,7352967.0,0.0,1.0,DIS,103.20626286368622
2022-09-01,111.79,112.59,110.025,112.53,111.155721317578,7718715.0,0.0,1.0,DIS,103.26776059823814
2022-09-02,113.05,113.89,110.84,111.2,109.841964014171,8465130.0,0.0,1.0,DIS,103.3214516255542
2022-09-06,111.77,111.78,108.52,110.09,108.745519948922,9225223.0,0.0,1.0,DIS,103.35809535339601
2022-09-07,109.87,112.955,109.87,112.69,111.313767308965,8193947.0,0.0,1.0,DIS,103.44333185076717
2022-09-08,111.07,112.99,110.36,112.33,110.958163828344,8443278.0,0.0,1.0,DIS,103.58719831268526
2022-09-09,113.27,115.525,113.19,115.18,113.77335804993,9573346.0,0.0,1.0,DIS,103.83860614979126
2022-09-12,116.14,117.49,115.27,116.39,114.968580859796,7923353.0,0.0,1.0,DIS,104.1680810592559
2022-09-13,113.05,113.82,111.17,111.76,110.395124984027,10504583.0,0.0,1.0,DIS,104.44752931418869
2022-09-14,111.85,112.74,109.88,112.5,111.126087694193,8610446.0,0.0,1.0,DIS,104.71232007798474
2022-09-15,112.39,114.41,110.71,110.77,109.417215412318,9739754.0,0.0,1.0,DIS,104.97503967455495
2022-09-16,109.21,109.58,106.96,108.25,106.927991047968,15978828.0,0.0,1.0,DIS,105.19665456772002
2022-09-19,107.53,109.2245,107.036,109.17,107.836755498445,7979457.0,0.0,1.0,DIS,105.44965561038437
2022-09-20,108.28,108.41,106.86,107.57,106.256295584572,6957409.0,0.0,1.0,DIS,105.67381963244276
2022-09-21,107.39,108.04,104.49,104.49,103.213910250366,9776355.0,0.0,1.0,DIS,105.83616727883755
2022-09-22,104.21,104.66,102.02,102.16,100.912365500789,10551159.0,0.0,1.0,DIS,105.90594968229286
2022-09-23,100.62,101.18,98.02,99.5,98.284850893975,11976927.0,0.0,1.0,DIS,105.95199332292887
