date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,108.91,109.46,105.34,107.21,107.21,647123.0,0.0,1.0,DVA,113.63967741935484
2022-05-03,107.58,108.53,106.8,107.5,107.5,899260.0,0.0,1.0,DVA,113.5783870967742
2022-05-04,108.33,111.04,107.37,110.8,110.8,685688.0,0.0,1.0,DVA,113.59241935483871
2022-05-05,110.18,110.58,106.19,106.94,106.94,614095.0,0.0,1.0,DVA,113.55370967741935
2022-05-06,96.7,104.47,96.7,102.96,102.96,1741308.0,0.0,1.0,DVA,113.45612903225806
2022-05-09,101.95,106.05,101.36,104.37,104.37,896465.0,0.0,1.0,DVA,113.34499999999998
2022-05-10,105.16,106.7,103.99,105.23,105.23,698403.0,0.0,1.0,DVA,113.22080645161292
2022-05-11,105.07,106.71,102.06,102.21,102.21,881238.0,0.0,1.0,DVA,113.07161290322581
2022-05-12,101.86,103.6275,101.38,103.05,103.05,573386.0,0.0,1.0,DVA,112.9333870967742
2022-05-13,103.17,103.36,99.511,100.05,100.05,708081.0,0.0,1.0,DVA,112.7140322580645
2022-05-16,99.75,100.73,97.3,99.9,99.9,553929.0,0.0,1.0,DVA,112.43983870967743
2022-05-17,100.22,100.22,96.72,98.79,98.79,964474.0,0.0,1.0,DVA,112.09774193548388
2022-05-18,97.9,97.9,94.39,94.56,94.56,874354.0,0.0,1.0,DVA,111.73064516129031
2022-05-19,93.84,94.99,92.63,94.25,94.25,824998.0,0.0,1.0,DVA,111.38806451612902
2022-05-20,94.69,95.06,92.81,94.43,94.43,742264.0,0.0,1.0,DVA,111.07112903225806
2022-05-23,95.64,95.94,92.37,94.25,94.25,517919.0,0.0,1.0,DVA,110.77612903225807
2022-05-24,94.44,94.44,91.73,93.41,93.41,547707.0,0.0,1.0,DVA,110.47806451612902
2022-05-25,93.42,96.93,92.73,95.42,95.42,721456.0,0.0,1.0,DVA,110.16870967741936
2022-05-26,95.79,98.14,95.48,97.44,97.44,667039.0,0.0,1.0,DVA,109.92145161290323
2022-05-27,98.12,98.315,97.18,97.78,97.78,465976.0,0.0,1.0,DVA,109.70806451612903
2022-05-31,96.31,98.33,95.53,97.49,97.49,1585408.0,0.0,1.0,DVA,109.46129032258064
2022-06-01,98.08,98.08,93.52,95.4,95.4,1031714.0,0.0,1.0,DVA,109.18854838709679
2022-06-02,95.39,97.045,93.11,96.85,96.85,828450.0,0.0,1.0,DVA,108.97548387096774
2022-06-03,96.68,98.11,95.99,96.7,96.7,1055361.0,0.0,1.0,DVA,108.76951612903225
2022-06-06,97.0,97.77,95.79,95.82,95.82,750957.0,0.0,1.0,DVA,108.50951612903226
2022-06-07,94.57,96.05,94.08,95.33,95.33,974416.0,0.0,1.0,DVA,108.23258064516129
2022-06-08,94.71,95.75,93.11,93.35,93.35,833921.0,0.0,1.0,DVA,107.94112903225806
2022-06-09,93.07,95.65,92.56,93.61,93.61,966463.0,0.0,1.0,DVA,107.67725806451612
2022-06-10,91.99,94.19,91.7,93.16,93.16,876850.0,0.0,1.0,DVA,107.4266129032258
2022-06-13,91.29,92.86,89.13,89.71,89.71,1231269.0,0.0,1.0,DVA,107.08919354838709
2022-06-14,89.56,90.6,88.09,89.97,89.97,1338921.0,0.0,1.0,DVA,106.7283870967742
2022-06-15,90.34,91.97,89.24,90.15,90.15,987787.0,0.0,1.0,DVA,106.36693548387096
2022-06-16,88.79,89.11,87.19,87.94,87.94,1022154.0,0.0,1.0,DVA,105.9532258064516
2022-06-17,88.09,90.43,88.09,89.48,89.48,1543246.0,0.0,1.0,DVA,105.59161290322581
2022-06-21,90.36,91.62,74.9701,76.05,76.05,6007606.0,0.0,1.0,DVA,105.03193548387098
2022-06-22,75.15,80.779,75.0,80.58,80.58,3181519.0,0.0,1.0,DVA,104.55967741935484
2022-06-23,80.0,80.56,76.37,77.93,77.93,1850849.0,0.0,1.0,DVA,104.01387096774194
2022-06-24,78.57,80.24,76.6,77.5,77.5,1936055.0,0.0,1.0,DVA,103.4190322580645
2022-06-27,77.71,79.63,76.8,79.44,79.44,806567.0,0.0,1.0,DVA,102.82983870967742
2022-06-28,81.5,83.27,80.92,81.3,81.3,1295634.0,0.0,1.0,DVA,102.27693548387097
2022-06-29,81.36,82.19,78.92,81.46,81.46,760106.0,0.0,1.0,DVA,101.74193548387096
2022-06-30,80.66,80.87,79.07,79.96,79.96,844972.0,0.0,1.0,DVA,101.20725806451614
2022-07-01,80.07,83.4,78.41,83.11,83.11,929834.0,0.0,1.0,DVA,100.70661290322582
2022-07-05,81.86,82.67,80.255,82.07,82.07,692688.0,0.0,1.0,DVA,100.20596774193548
2022-07-06,81.54,82.46,79.59,80.24,80.24,1140414.0,0.0,1.0,DVA,99.65790322580644
2022-07-07,80.63,83.83,80.63,83.72,83.72,856794.0,0.0,1.0,DVA,99.13387096774194
2022-07-08,83.93,85.72,83.07,83.12,83.12,907591.0,0.0,1.0,DVA,98.56725806451612
2022-07-11,82.38,83.01,81.44,81.96,81.96,671503.0,0.0,1.0,DVA,97.92032258064515
2022-07-12,81.58,85.09,81.58,84.5,84.5,742357.0,0.0,1.0,DVA,97.35758064516129
2022-07-13,84.16,85.25,83.42,83.98,83.98,666155.0,0.0,1.0,DVA,96.7891935483871
2022-07-14,83.01,83.66,81.58,82.63,82.63,633590.0,0.0,1.0,DVA,96.17516129032259
2022-07-15,84.04,85.85,83.48,85.47,85.47,724905.0,0.0,1.0,DVA,95.5948387096774
2022-07-18,85.72,86.48,84.878,84.96,84.96,610659.0,0.0,1.0,DVA,95.0374193548387
2022-07-19,85.66,87.93,85.16,87.67,87.67,531602.0,0.0,1.0,DVA,94.50370967741935
2022-07-20,87.74,87.9,85.83,86.17,86.17,592410.0,0.0,1.0,DVA,93.90354838709676
2022-07-21,85.83,86.18,84.74,86.17,86.17,655158.0,0.0,1.0,DVA,93.315
2022-07-22,89.31,89.89,86.44,87.1,87.1,730642.0,0.0,1.0,DVA,92.92290322580645
2022-07-25,87.18,88.3,85.36,85.89,85.89,694748.0,0.0,1.0,DVA,92.49306451612902
2022-07-26,85.92,86.84,85.25,85.57,85.57,693369.0,0.0,1.0,DVA,92.10306451612904
2022-07-27,85.48,87.23,85.0,86.92,86.92,713106.0,0.0,1.0,DVA,91.76225806451613
2022-07-28,84.36,84.99,80.86,83.41,83.41,1767575.0,0.0,1.0,DVA,91.33483870967743
2022-07-29,83.51,84.28,82.735,84.16,84.16,1316782.0,0.0,1.0,DVA,90.94435483870969
2022-08-01,84.1,85.57,83.69,84.85,84.85,1261266.0,0.0,1.0,DVA,90.58370967741935
2022-08-02,86.86,88.58,84.916,86.45,86.45,1660647.0,0.0,1.0,DVA,90.2441935483871
2022-08-03,85.88,86.23,82.995,84.8,84.8,913570.0,0.0,1.0,DVA,89.82483870967741
2022-08-04,84.95,86.5,84.62,85.31,85.31,647064.0,0.0,1.0,DVA,89.47596774193549
2022-08-05,85.4,86.375,84.37,85.68,85.68,629762.0,0.0,1.0,DVA,89.19725806451613
2022-08-08,86.02,89.09,86.02,88.47,88.47,1011573.0,0.0,1.0,DVA,88.9408064516129
