date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,408.96,413.79,397.52,407.14,101.785,687569.0,0.0,1.0,DXCM,111.54834677419356
2022-05-03,405.42,407.53,393.03,395.4,98.85,697162.0,0.0,1.0,DXCM,111.38596774193549
2022-05-04,397.35,409.73,377.96,406.03,101.5075,880407.0,0.0,1.0,DXCM,111.33475806451614
2022-05-05,400.99,408.835,372.3,379.29,94.8225,730959.0,0.0,1.0,DXCM,111.16919354838711
2022-05-06,372.21,373.7975,347.68,351.89,87.9725,1318060.0,0.0,1.0,DXCM,110.89108870967742
2022-05-09,342.77,348.55,322.0,330.02,82.505,1503654.0,0.0,1.0,DXCM,110.50596774193548
2022-05-10,340.62,345.745,318.73,327.43,81.8575,813273.0,0.0,1.0,DXCM,110.02028225806453
2022-05-11,327.2,337.95,313.38,314.94,78.735,978092.0,0.0,1.0,DXCM,109.50685483870969
2022-05-12,309.6,320.7852,302.61,311.52,77.88,1109483.0,0.0,1.0,DXCM,109.06717741935483
2022-05-13,316.5,337.6805,316.48,334.74,83.685,1189509.0,0.0,1.0,DXCM,108.7758064516129
2022-05-16,334.78,339.19,323.09,324.6,81.15,685689.0,0.0,1.0,DXCM,108.40116935483871
2022-05-17,333.69,338.15,321.39,332.16,83.04,557395.0,0.0,1.0,DXCM,108.07266129032259
2022-05-18,327.06,329.1,306.89,308.49,77.1225,1034877.0,0.0,1.0,DXCM,107.75508064516129
2022-05-19,311.0,321.455,305.01,316.12,79.03,917326.0,0.0,1.0,DXCM,107.4925
2022-05-20,324.7,325.855,309.23,321.23,80.3075,825296.0,0.0,1.0,DXCM,107.21133064516128
2022-05-23,322.77,325.62,311.64,323.92,80.98,600858.0,0.0,1.0,DXCM,107.00008064516129
2022-05-24,296.33,306.48,282.93,288.13,72.0325,2121267.0,0.0,1.0,DXCM,106.51383064516129
2022-05-25,287.805,303.19,267.57,281.32,70.33,2949317.0,0.0,1.0,DXCM,105.9895564516129
2022-05-26,284.53,284.53,272.58,280.63,70.1575,1672605.0,0.0,1.0,DXCM,105.4521370967742
2022-05-27,285.63,289.72,278.3401,289.08,72.27,1496194.0,0.0,1.0,DXCM,104.97096774193548
2022-05-31,305.67,324.94,295.76,297.94,74.485,2720529.0,0.0,1.0,DXCM,104.47846774193549
2022-06-01,299.12,301.73,278.9,283.85,70.9625,960898.0,0.0,1.0,DXCM,103.91354838709678
2022-06-02,285.0,312.97,281.01,311.83,77.9575,1214377.0,0.0,1.0,DXCM,103.42875000000001
