date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,331.92,333.38,311.42,319.36,287.474261587716,465613.0,0.0,1.0,ESS,301.5074697345175
2022-05-03,320.37,324.28,318.46,322.1,289.940692815016,321096.0,0.0,1.0,ESS,301.30233832355043
2022-05-04,321.74,323.78,314.48,323.37,291.083892690443,279169.0,0.0,1.0,ESS,301.239290550884
2022-05-05,322.27,325.41,314.27,316.55,284.944819343661,359666.0,0.0,1.0,ESS,301.11762287641426
2022-05-06,314.97,315.31,308.3434,313.43,282.136328311116,388193.0,0.0,1.0,ESS,301.0051934633103
2022-05-09,310.18,310.18,294.29,295.97,266.419580417449,583449.0,0.0,1.0,ESS,300.744445659531
2022-05-10,295.12,298.6,284.93,286.48,257.877086860123,842579.0,0.0,1.0,ESS,300.1629731437927
2022-05-11,287.4,293.58,286.67,288.73,259.902440970132,592220.0,0.0,1.0,ESS,299.7431507896717
2022-05-12,288.92,293.455,287.78,292.22,263.043990234101,440818.0,0.0,1.0,ESS,299.38784912562375
2022-05-13,294.83,296.79,289.7,296.28,266.698629205939,299594.0,0.0,1.0,ESS,299.12525394428906
2022-05-16,296.98,297.725,291.535,291.89,262.746938297966,340887.0,0.0,1.0,ESS,298.77237494323833
2022-05-17,297.19,297.19,291.34,296.0,266.446585138915,448091.0,0.0,1.0,ESS,298.464884295379
2022-05-18,296.48,296.48,287.01,288.03,259.272330802574,295332.0,0.0,1.0,ESS,298.1077584889394
2022-05-19,285.11,288.76,281.47,281.6,253.48431883486,609351.0,0.0,1.0,ESS,297.64530270415514
2022-05-20,285.4,285.4,278.85,282.07,253.907392804506,1091214.0,0.0,1.0,ESS,297.17452166423425
2022-05-23,284.66,288.055,279.12,287.22,258.543203322971,439643.0,0.0,1.0,ESS,296.8173221308329
2022-05-24,287.22,287.22,277.785,282.83,254.591512414998,669304.0,0.0,1.0,ESS,296.3571424487825
2022-05-25,275.33,282.93,275.33,282.56,254.348469921797,790153.0,0.0,1.0,ESS,295.7760345132836
2022-05-26,285.83,286.64,281.82,283.13,254.861559629666,461376.0,0.0,1.0,ESS,295.31068818477
2022-05-27,283.3,289.12,283.3,288.69,259.866434674843,389545.0,0.0,1.0,ESS,294.94554297010274
2022-05-31,283.75,286.49,280.53,283.85,255.509672944869,845643.0,0.0,1.0,ESS,294.350990463893
2022-06-01,284.98,284.98,277.26,282.6,254.384476217086,502748.0,0.0,1.0,ESS,293.6901012840045
2022-06-02,281.64,287.93,277.14,287.83,259.092299326128,417746.0,0.0,1.0,ESS,292.9614453756189
2022-06-03,286.45,288.13,282.69,283.94,255.590687109269,366655.0,0.0,1.0,ESS,292.1330289112878
2022-06-06,287.0,287.82,275.97,276.55,248.938524054618,448212.0,0.0,1.0,ESS,291.28835794397105
2022-06-07,275.06,283.675,274.5,283.09,254.825553334377,544103.0,0.0,1.0,ESS,290.4588541765845
2022-06-08,282.06,282.06,276.755,277.36,249.667651534222,258501.0,0.0,1.0,ESS,289.54096449193406
2022-06-09,276.31,278.0,270.87,270.9,243.852634845041,316147.0,0.0,1.0,ESS,288.62609372363727
2022-06-10,267.87,273.22,265.37,270.91,243.861636418863,443782.0,0.0,1.0,ESS,287.7405119879752
2022-06-13,264.72,265.95,256.94,258.07,232.303615631081,373544.0,0.0,1.0,ESS,286.65018745111365
2022-06-14,258.54,260.84,255.63,256.21,230.62932290014,440859.0,0.0,1.0,ESS,285.4298447966692
2022-06-15,258.43,261.9,253.9,257.23,231.547483430011,615300.0,0.0,1.0,ESS,284.2195500596792
2022-06-16,250.62,255.02,250.62,253.94,228.585965642487,506637.0,0.0,1.0,ESS,282.97793642378826
2022-06-17,255.57,258.39,253.26,256.08,230.512302440451,950967.0,0.0,1.0,ESS,281.8165910108674
2022-06-21,256.97,260.37,255.1,255.47,229.963206437293,727521.0,0.0,1.0,ESS,280.68303543294655
2022-06-22,252.61,258.83,252.32,255.93,230.377278833117,627370.0,0.0,1.0,ESS,279.5622180535914
2022-06-23,257.04,260.74,256.85,259.44,233.53683124473,501766.0,0.0,1.0,ESS,278.4800976974664
2022-06-24,260.05,262.615,259.7,261.71,235.580188502384,641678.0,0.0,1.0,ESS,277.35273687235446
2022-06-27,261.7,269.53,260.39,266.25,239.66690301769,534272.0,0.0,1.0,ESS,276.2423810758039
2022-06-28,266.86,270.55,263.92,264.02,237.659552055326,413409.0,0.0,1.0,ESS,274.92868103962684
2022-06-29,261.43,262.92,259.74,262.35,238.136635467906,309923.0,2.2,1.0,ESS,273.7066447999178
2022-06-30,260.16,265.9,257.75,261.51,237.37416253559,892773.0,0.0,1.0,ESS,272.51935109224235
