date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,68.0,68.31,66.21,67.08,59.0951428136533,939951.0,0.0,1.0,EVRG,58.04998448127474
2022-05-03,67.41,68.57,67.035,67.38,59.3594323611204,822182.0,0.0,1.0,EVRG,58.07259505334894
2022-05-04,67.6,68.8,67.43,68.73,60.5487353247226,1352907.0,0.0,1.0,EVRG,58.12213333344216
2022-05-05,68.68,69.94,67.671,68.28,60.1523010035218,1192697.0,0.0,1.0,EVRG,58.1737270412036
2022-05-06,68.0,68.65,67.48,68.1,59.9937272750415,1623149.0,0.0,1.0,EVRG,58.2251571415763
2022-05-09,67.74,68.63,66.62,67.9,59.8175342433968,1607900.0,0.0,1.0,EVRG,58.26881652657784
2022-05-10,67.86,68.75,65.66,66.45,58.5401347639723,1408961.0,0.0,1.0,EVRG,58.29159104318186
2022-05-11,66.7,67.99,66.52,66.96,58.9894269946664,1059016.0,0.0,1.0,EVRG,58.351748864323675
2022-05-12,66.86,67.16,65.73,66.8,58.8484725693506,914330.0,0.0,1.0,EVRG,58.417519454640825
2022-05-13,67.21,67.79,66.495,67.61,59.5620543475119,877827.0,0.0,1.0,EVRG,58.50634711896158
2022-05-16,67.75,67.97,67.145,67.52,59.4827674832717,1117947.0,0.0,1.0,EVRG,58.60431704942647
2022-05-17,67.86,67.97,66.81,67.96,59.8703921528902,868555.0,0.0,1.0,EVRG,58.70797568871679
2022-05-18,68.2,68.32,66.89,67.06,59.0775235104888,988484.0,0.0,1.0,EVRG,58.8010993319969
2022-05-19,66.27,66.97,65.11,66.7,59.2647286066114,1182608.0,0.5725,1.0,EVRG,58.89836901626099
2022-05-20,66.88,67.61,66.18,67.43,59.9133530726208,1147434.0,0.0,1.0,EVRG,59.005959559966996
2022-05-23,68.0,68.48,67.36,68.1,60.5086659386841,1365726.0,0.0,1.0,EVRG,59.13413631260336
