date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,236.53,238.56,230.43,233.25,219.679916667709,1776685.0,0.0,1.0,GD,218.28642266526649
2022-05-03,234.59,236.7,232.39,233.38,219.802353491575,1829837.0,0.0,1.0,GD,218.59633620245387
2022-05-04,233.99,243.36,232.11,242.92,228.787332719913,1907257.0,0.0,1.0,GD,219.08003364973342
2022-05-05,242.46,244.15,238.0,239.24,225.321428782776,2174263.0,0.0,1.0,GD,219.50601591964755
2022-05-06,238.4,240.9232,236.0,239.6,225.660484602714,1329712.0,0.0,1.0,GD,219.9400359581788
2022-05-09,237.98,238.29,228.47,229.37,216.025648386162,1915722.0,0.0,1.0,GD,220.18329214385167
2022-05-10,230.0,233.84,226.765,229.3,215.959720865619,1748846.0,0.0,1.0,GD,220.41067472457888
2022-05-11,229.34,232.48,226.0922,226.94,213.737021601585,1830867.0,0.0,1.0,GD,220.66144834853716
2022-05-12,226.02,227.99,219.43,223.49,210.48773666052,2121718.0,0.0,1.0,GD,220.825962132945
2022-05-13,225.04,227.3,222.86,226.31,213.143673916695,1557764.0,0.0,1.0,GD,221.07245501075346
2022-05-16,226.71,228.35,225.26,227.8,214.546988282547,1237388.0,0.0,1.0,GD,221.31740197843672
2022-05-17,229.25,232.41,226.8284,231.62,218.14474726077,1084789.0,0.0,1.0,GD,221.59559280361623
2022-05-18,230.52,232.25,225.45,225.98,212.832872748419,1929181.0,0.0,1.0,GD,221.7882593585152
2022-05-19,223.9,224.39,216.66,217.78,205.109934627625,2108665.0,0.0,1.0,GD,221.83490263397664
2022-05-20,218.38,218.58,210.19,213.5,201.078937657259,1985832.0,0.0,1.0,GD,221.80141732127066
2022-05-23,215.19,217.78,214.8,216.7,204.092767167813,1812505.0,0.0,1.0,GD,221.82485404136082
2022-05-24,216.19,220.99,215.76,219.82,207.031250940603,1480471.0,0.0,1.0,GD,221.86153139293177
2022-05-25,219.78,221.11,217.6028,220.05,207.247869936674,1498717.0,0.0,1.0,GD,221.75888939867642
2022-05-26,221.73,224.05,220.72,221.26,208.387474220352,1477349.0,0.0,1.0,GD,221.5768501919128
2022-05-27,222.65,226.64,222.13,226.51,213.332038261105,1403921.0,0.0,1.0,GD,221.49163915210477
2022-05-31,224.24,226.26,223.4,224.91,211.825123505828,1637274.0,0.0,1.0,GD,221.3453996411583
2022-06-01,227.09,228.0,224.22,226.22,213.058909961711,1204096.0,0.0,1.0,GD,221.18309214271792
2022-06-02,228.67,230.74,223.839,229.44,216.091575906705,1101724.0,0.0,1.0,GD,220.96149305385103
2022-06-03,228.39,231.84,228.39,230.13,216.741432894919,1410440.0,0.0,1.0,GD,220.72015051330987
2022-06-06,231.33,232.41,229.48,229.9,216.524813898848,956924.0,0.0,1.0,GD,220.65636196383542
2022-06-07,228.87,235.82,228.15,235.58,221.874361280081,1341434.0,0.0,1.0,GD,220.65618767463863
2022-06-08,233.5,234.33,230.765,231.36,217.899873613038,1024624.0,0.0,1.0,GD,220.61140388097107
2022-06-09,230.73,231.6,226.77,226.89,213.689930515483,823195.0,0.0,1.0,GD,220.5446598035989
2022-06-10,224.45,227.11,222.9,224.63,211.561413423654,1351968.0,0.0,1.0,GD,220.42318291959063
2022-06-13,220.91,221.65,216.6615,217.53,204.874479197113,1288531.0,0.0,1.0,GD,220.13657585241424
2022-06-14,218.36,218.87,214.355,215.9,203.339309790175,1182498.0,0.0,1.0,GD,219.97527519279348
2022-06-15,217.2,220.705,215.32,217.92,205.241789668712,1276558.0,0.0,1.0,GD,219.8020424199434
2022-06-16,214.71,215.68,211.3,211.89,199.562604684762,1338733.0,0.0,1.0,GD,219.5414413915278
2022-06-17,212.21,213.39,208.12,209.78,197.575360851241,3063845.0,0.0,1.0,GD,219.16053099649565
2022-06-21,211.56,218.47,211.56,216.55,203.951493909506,1233399.0,0.0,1.0,GD,218.85586344316172
2022-06-22,213.36,218.905,212.872,216.01,203.4429101796,1129363.0,0.0,1.0,GD,218.51488366156184
2022-06-23,216.25,217.85,213.945,216.6,203.998584995608,1181182.0,0.0,1.0,GD,218.16306899151417
2022-06-24,217.43,222.725,216.91,222.33,209.395223462944,1675582.0,0.0,1.0,GD,217.84751885051068
2022-06-27,223.07,226.2476,222.08,223.5,210.49715487774,1277122.0,0.0,1.0,GD,217.60218219960316
2022-06-28,224.78,228.0,220.05,220.49,207.662271494375,1616946.0,0.0,1.0,GD,217.30809912155752
2022-06-29,221.67,221.99,218.96,219.28,206.522667210697,1235550.0,0.0,1.0,GD,216.94682192841842
2022-06-30,216.84,222.39,215.65,221.25,209.564751372912,1343257.0,1.26,1.0,GD,216.68206388398397
2022-07-01,221.24,224.48,219.735,223.86,212.036905050125,705833.0,0.0,1.0,GD,216.437079650316
2022-07-05,220.21,221.04,209.84,214.53,203.199666043078,1613249.0,0.0,1.0,GD,216.09912832987166
2022-07-06,214.07,220.71,214.07,219.56,207.964008187284,1095430.0,0.0,1.0,GD,215.8392302381997
2022-07-07,220.56,221.94,219.3019,220.58,208.930137210563,951142.0,0.0,1.0,GD,215.5705837348294
2022-07-08,221.28,222.15,218.61,221.11,209.432145428541,1118605.0,0.0,1.0,GD,215.24792173031994
2022-07-11,219.68,221.86,218.8,219.75,208.143973397503,652231.0,0.0,1.0,GD,214.9283321140779
2022-07-12,219.92,221.0,216.14,216.63,205.188755208651,744623.0,0.0,1.0,GD,214.53813977220446
2022-07-13,213.63,216.32,213.24,213.39,202.119874781766,850149.0,0.0,1.0,GD,214.09434787723686
2022-07-14,209.94,210.91,207.42,210.45,199.335149949963,1044390.0,0.0,1.0,GD,213.6073120396503
2022-07-15,213.11,213.11,210.01,212.77,201.532619885264,857638.0,0.0,1.0,GD,213.1552635453482
2022-07-18,213.97,215.0,208.78,209.79,198.710007640783,1040136.0,0.0,1.0,GD,212.65586616635053
