date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,74.09,75.83,72.61,75.55,46.3693788052509,11548325.0,0.0,1.0,GE,56.58563506072052
2022-05-03,76.85,78.265,75.98,77.66,47.6644071213208,7846945.0,0.0,1.0,GE,56.384795554424635
2022-05-04,78.19,80.765,77.22,80.43,49.3645153845974,7481138.0,0.0,1.0,GE,56.20860793582243
2022-05-05,79.38,80.08,77.56,78.59,48.2352015923848,7159399.0,0.0,1.0,GE,56.00738144579488
2022-05-06,78.33,78.39,76.19,78.23,48.0142488939084,5363668.0,0.0,1.0,GE,55.793789060205604
2022-05-09,76.78,76.96,72.535,72.97,44.7858844661702,7019122.0,0.0,1.0,GE,55.533961408702226
2022-05-10,74.0,74.6976,71.14,73.31,44.9945620147312,6837118.0,0.0,1.0,GE,55.27809292696688
2022-05-11,73.76,74.585,72.06,72.44,44.4605929934133,7765970.0,0.0,1.0,GE,55.01816146355608
2022-05-12,71.74,74.21,71.17,73.28,44.9761492898582,8625315.0,0.0,1.0,GE,54.78592991756975
2022-05-13,74.39,75.97,74.15,75.05,46.062500057367,5176944.0,0.0,1.0,GE,54.57349486910325
2022-05-16,74.31,75.4,73.73,74.63,45.8047219091446,6511510.0,0.0,1.0,GE,54.31417710295368
2022-05-17,76.21,77.2,75.7916,76.4,46.8910726766535,4497346.0,0.0,1.0,GE,54.06753500005476
2022-05-18,75.65,76.52,74.82,75.2,46.1545636817322,7063289.0,0.0,1.0,GE,53.83818936022678
2022-05-19,75.0,76.54,74.45,75.74,46.4859927294468,6225678.0,0.0,1.0,GE,53.67125492482986
2022-05-20,76.11,76.445,73.27,75.25,46.1852515565206,7340800.0,0.0,1.0,GE,53.485030355863266
2022-05-23,76.02,76.4,75.01,75.46,46.3141406306318,5275360.0,0.0,1.0,GE,53.3157197143248
2022-05-24,74.73,74.87,72.06,74.52,45.7372085846102,6129340.0,0.0,1.0,GE,53.13819162244091
2022-05-25,73.47,74.59,72.62,74.53,45.7433461595678,7095970.0,0.0,1.0,GE,52.922883641408596
2022-05-26,75.22,77.71,74.7,77.01,47.2654647490718,4690436.0,0.0,1.0,GE,52.74063140113961
2022-05-27,77.29,78.78,76.99,78.76,48.3395403666653,4871897.0,0.0,1.0,GE,52.60715331250984
2022-05-31,77.95,79.04,77.76,78.29,48.0510743436545,5191015.0,0.0,1.0,GE,52.45092375898879
2022-06-01,79.08,79.44,76.69,77.52,47.5784810719133,5928012.0,0.0,1.0,GE,52.30398371473214
2022-06-02,78.02,78.66,77.17,78.0,47.8730846698818,6166338.0,0.0,1.0,GE,52.1945313989534
2022-06-03,76.74,77.145,75.67,76.97,47.2409144492411,5272784.0,0.0,1.0,GE,52.11127816444685
2022-06-06,77.91,78.29,76.77,77.0,47.2593271741141,4744095.0,0.0,1.0,GE,52.00090080835314
2022-06-07,76.91,78.15,76.17,78.0,47.8730846698818,5125812.0,0.0,1.0,GE,51.8697348919189
2022-06-08,76.69,78.28,76.52,77.16,47.3575283734369,3376012.0,0.0,1.0,GE,51.72946160619264
2022-06-09,76.89,77.05,74.75,74.78,45.8967855335098,5055757.0,0.0,1.0,GE,51.55622360335498
2022-06-10,73.02,73.16,70.74,71.23,43.7179464235344,9586149.0,0.0,1.0,GE,51.34616015077126
2022-06-13,69.47,70.0,67.135,67.72,41.5636576133897,9459386.0,0.0,1.0,GE,51.102340035920314
2022-06-14,67.95,68.91,67.53,68.05,41.766197586993,5379727.0,0.0,1.0,GE,50.838523305884664
2022-06-15,68.96,70.02,67.8,69.1,42.4106429575491,6589373.0,0.0,1.0,GE,50.57688442502756
2022-06-16,67.03,67.24,64.85,65.29,40.0722268986742,9065332.0,0.0,1.0,GE,50.27693519725721
