date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,301.99,308.79,299.91,306.97,284.221262405715,4233870.0,0.0,1.0,HD,298.0065671198791
2022-05-03,305.69,309.0,303.02,304.96,282.360218207795,3336636.0,0.0,1.0,HD,297.0128047689585
2022-05-04,304.08,315.75,302.93,315.31,291.943206988129,3998435.0,0.0,1.0,HD,296.30602266312786
2022-05-05,311.0,311.36,293.71,299.11,276.943746288476,4959610.0,0.0,1.0,HD,295.4336162131872
2022-05-06,296.3,296.75,289.41,294.31,272.499461636727,4325343.0,0.0,1.0,HD,294.5239677651808
2022-05-09,290.28,300.74,288.5,297.03,275.017889606051,5243628.0,0.0,1.0,HD,293.59422375636154
2022-05-10,298.46,301.07,287.664,291.16,269.582899834017,4392900.0,0.0,1.0,HD,292.5333232616405
2022-05-11,291.45,293.33,282.57,282.96,261.990580220612,3880469.0,0.0,1.0,HD,291.4877260487467
2022-05-12,281.57,293.1806,280.63,289.69,268.221837659418,4447676.0,0.0,1.0,HD,290.6138881862567
2022-05-13,289.95,299.415,288.45,296.03,274.09199697027,3949134.0,0.0,1.0,HD,289.8158773748036
2022-05-16,294.08,299.57,289.79,295.99,274.054961264839,4267850.0,0.0,1.0,HD,288.9920329972462
2022-05-17,306.5,310.94,290.9,300.95,278.647388738313,12425881.0,0.0,1.0,HD,288.289318151006
2022-05-18,293.0,295.44,281.1801,285.18,264.046061872046,7799541.0,0.0,1.0,HD,287.38301442357397
2022-05-19,285.5,292.5,284.96,287.76,266.434864872361,5211530.0,0.0,1.0,HD,286.5311237480497
2022-05-20,289.82,290.5,279.59,287.19,265.907106069966,5621770.0,0.0,1.0,HD,286.12645720537387
2022-05-23,289.09,290.34,280.32,286.03,264.83307061246,4305632.0,0.0,1.0,HD,285.8190696205395
2022-05-24,284.0,289.32,280.65,287.92,266.583007694086,4241931.0,0.0,1.0,HD,285.46880007750883
2022-05-25,285.81,295.49,285.66,293.57,271.814301086249,4612940.0,0.0,1.0,HD,285.1522853539887
2022-05-26,297.32,305.63,297.0,302.81,280.369549040866,4170801.0,0.0,1.0,HD,284.98593126372424
2022-05-27,303.54,308.5,301.6032,308.46,285.600842433029,3899284.0,0.0,1.0,HD,284.83833871168986
2022-05-31,306.6,307.8659,300.83,302.75,280.313995482719,5966574.0,0.0,1.0,HD,284.4997792240391
2022-06-01,301.74,302.98,297.03,297.19,276.92522843576,3080760.0,1.9,1.0,HD,284.1512451505554
2022-06-02,298.81,306.03,295.8933,305.87,285.013357184448,4086408.0,0.0,1.0,HD,283.9346492498619
2022-06-03,303.33,308.46,301.9,305.08,284.277225650869,2956559.0,0.0,1.0,HD,283.72829906101407
2022-06-06,305.56,307.613,303.25,303.89,283.168369290162,2562003.0,0.0,1.0,HD,283.5935784348495
2022-06-07,295.06,302.38,292.6,301.77,281.192927706381,3547797.0,0.0,1.0,HD,283.3919620418919
2022-06-08,299.78,300.58,295.6823,297.53,277.24204453882,3003115.0,0.0,1.0,HD,283.1155707502562
2022-06-09,297.76,306.88,297.35,299.86,279.413166656843,4170367.0,0.0,1.0,HD,282.89137137231677
