date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,158.03,158.78,150.83,155.41,153.762972485233,3287766.0,0.0,1.0,HLT,148.01725945525558
2022-05-03,153.12,154.7,145.66,148.96,147.381329267102,5154946.0,0.0,1.0,HLT,148.08699634163523
2022-05-04,148.99,151.64,143.7401,151.39,149.785576246956,3773771.0,0.0,1.0,HLT,148.20253296804
2022-05-05,149.57,153.14,148.225,149.89,148.301473172972,3921821.0,0.0,1.0,HLT,148.2725890163711
2022-05-06,149.75,150.0,142.16,143.48,141.959406036814,3611521.0,0.0,1.0,HLT,148.1902452329113
2022-05-09,142.55,142.56,132.5,133.31,131.897187195203,4419091.0,0.0,1.0,HLT,147.86996621468703
2022-05-10,135.86,139.8,135.06,137.79,136.329708376168,3207841.0,0.0,1.0,HLT,147.62500941699182
2022-05-11,137.97,140.91,133.99,134.51,133.08446965439,2720626.0,0.0,1.0,HLT,147.31079447584403
2022-05-12,134.28,135.77,129.27,132.43,131.026513391799,2247471.0,0.0,1.0,HLT,147.03791100740182
2022-05-13,134.92,137.28,134.33,136.59,135.142425916981,2087633.0,0.0,1.0,HLT,146.80109283946717
2022-05-16,135.46,136.2,132.54,132.85,131.442062252514,2266146.0,0.0,1.0,HLT,146.39974668558872
2022-05-17,136.05,136.86,133.0,135.08,133.648428822504,2306537.0,0.0,1.0,HLT,146.06047753125648
2022-05-18,133.11,134.29,126.92,128.66,127.296467665852,3520675.0,0.0,1.0,HLT,145.67141911250667
2022-05-19,127.49,133.9,127.345,131.71,130.314143916286,2468973.0,0.0,1.0,HLT,145.37300268795292
2022-05-20,133.62,134.29,128.36,130.28,128.899298985755,2677876.0,0.0,1.0,HLT,145.10363000097604
2022-05-23,131.49,132.95,128.73,132.35,130.947361227853,1813328.0,0.0,1.0,HLT,144.92777176575774
2022-05-24,130.67,130.99,126.28,128.28,126.92049488711,1814389.0,0.0,1.0,HLT,144.643558048041
2022-05-25,128.32,132.39,127.21,131.74,130.343825977766,2557313.0,0.0,1.0,HLT,144.3414712610462
2022-05-26,133.47,139.65,132.95,138.47,137.150912077106,2623511.0,0.15,1.0,HLT,144.17806034193225
2022-05-27,139.34,144.61,139.34,142.25,140.894903177355,1860648.0,0.0,1.0,HLT,144.18179604878958
2022-05-31,140.63,141.77,139.225,140.86,139.518144545253,3310916.0,0.0,1.0,HLT,144.1036426863474
2022-06-01,141.11,142.54,136.51,138.42,137.101388385304,1455624.0,0.0,1.0,HLT,144.04874596636347
2022-06-02,138.25,142.4,138.17,142.29,140.934522130797,1302716.0,0.0,1.0,HLT,144.1249321276626
2022-06-03,140.34,143.08,139.96,142.17,140.815665270471,1067856.0,0.0,1.0,HLT,144.33612171997564
2022-06-06,143.73,145.7,141.95,144.42,143.044231401572,1579682.0,0.0,1.0,HLT,144.50617831604475
2022-06-07,142.32,144.13,140.57,143.82,142.449947099945,1161971.0,0.0,1.0,HLT,144.5932424326217
2022-06-08,141.83,142.875,140.28,140.71,139.369573469846,1479094.0,0.0,1.0,HLT,144.56008831229371
2022-06-09,140.05,140.05,135.79,135.8,134.506346934867,1714937.0,0.0,1.0,HLT,144.46716602846138
2022-06-10,132.4,134.45,127.41,127.47,126.255699880615,2931982.0,0.0,1.0,HLT,144.24451999263073
2022-06-13,123.65,123.82,119.35,120.85,119.698763085999,3183986.0,0.0,1.0,HLT,143.87334921023884
2022-06-14,120.79,122.03,117.97,119.14,118.005052826362,2469484.0,0.0,1.0,HLT,143.3703349813517
2022-06-15,121.31,123.62,120.26,121.89,120.728855875485,2472385.0,0.0,1.0,HLT,142.9056677255591
2022-06-16,118.46,119.01,114.65,115.42,114.320490156276,2640475.0,0.0,1.0,HLT,142.32726696893957
2022-06-17,116.3,117.34,113.65,116.28,115.172297655275,2681111.0,0.0,1.0,HLT,141.7855847034495
2022-06-21,118.36,118.36,114.14,114.44,113.349825796952,2046699.0,0.0,1.0,HLT,141.19743256616752
2022-06-22,113.16,114.44,111.17,112.02,110.952879113724,3303729.0,0.0,1.0,HLT,140.61865387219572
2022-06-23,112.69,112.79,108.71,110.52,109.467168359657,3705862.0,0.0,1.0,HLT,139.96037792200278
2022-06-24,112.41,117.94,111.878,116.71,115.598201404774,2588359.0,0.0,1.0,HLT,139.407213259622
2022-06-27,116.68,119.0,115.37,117.03,115.915153032308,2210404.0,0.0,1.0,HLT,138.87224636027318
2022-06-28,117.87,121.31,115.2,115.28,114.18182381923,1870833.0,0.0,1.0,HLT,138.23543654638493
