date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,15.405,15.56,14.99,15.38,14.178396315636,7912168.0,0.0,1.0,HPE,15.133751470779615
2022-05-03,15.42,15.675,15.355,15.49,14.2798022710794,7605507.0,0.0,1.0,HPE,15.11269716863211
2022-05-04,15.56,16.11,15.51,16.09,14.8329256644072,9527641.0,0.0,1.0,HPE,15.103221126679266
2022-05-05,15.94,16.135,15.755,15.95,14.7038635392974,16828661.0,0.0,1.0,HPE,15.091811043943949
2022-05-06,15.91,15.95,15.57,15.69,14.464176735522,11665780.0,0.0,1.0,HPE,15.07520658744822
2022-05-09,15.48,15.99,15.46,15.84,14.602457583854,17107134.0,0.0,1.0,HPE,15.05832315847164
2022-05-10,16.0,16.4398,15.88,16.22,14.9527690662949,20076876.0,0.0,1.0,HPE,15.044137786761294
2022-05-11,16.21,16.43,15.56,15.58,14.3627707800786,8743802.0,0.0,1.0,HPE,15.019698281676758
2022-05-12,15.57,15.675,15.2842,15.62,14.3996456729671,13933105.0,0.0,1.0,HPE,14.998067628879953
2022-05-13,15.76,16.03,15.66,15.95,14.7038635392974,7308379.0,0.0,1.0,HPE,14.986214726954476
2022-05-16,15.85,16.075,15.75,15.97,14.7223009857417,6482623.0,0.0,1.0,HPE,14.967131276964661
2022-05-17,16.25,16.8,16.2,16.75,15.4413613970678,10950342.0,0.0,1.0,HPE,14.955807809229869
2022-05-18,16.55,16.63,15.65,15.76,14.5287077980769,13338873.0,0.0,1.0,HPE,14.935668378025367
2022-05-19,15.37,15.385,14.57,15.04,13.8649597260836,21103016.0,0.0,1.0,HPE,14.903494875185967
2022-05-20,14.8,14.8,13.5343,14.16,13.0537120825361,24256040.0,0.0,1.0,HPE,14.863993382406644
2022-05-23,14.2,14.57,14.1601,14.51,13.3763673953107,11306943.0,0.0,1.0,HPE,14.834419412270382
2022-05-24,14.36,14.62,14.01,14.56,13.4224610114213,13173431.0,0.0,1.0,HPE,14.811050324233952
2022-05-25,14.39,15.04,14.39,14.91,13.7451163241959,10757049.0,0.0,1.0,HPE,14.796280301270091
2022-05-26,14.96,15.17,14.88,15.09,13.9110533421942,12225583.0,0.0,1.0,HPE,14.785662745789544
2022-05-27,15.61,15.98,15.545,15.79,14.5563639677433,11996275.0,0.0,1.0,HPE,14.79298135243774
2022-05-31,15.67,15.84,15.385,15.6,14.3812082265229,19470603.0,0.0,1.0,HPE,14.774153055803632
2022-06-01,15.81,16.03,15.585,15.78,14.5471452445212,12804583.0,0.0,1.0,HPE,14.761543716206935
2022-06-02,14.83,15.015,14.23,14.96,13.7912099403065,23225641.0,0.0,1.0,HPE,14.741612882795359
2022-06-03,14.79,15.18,14.755,15.08,13.9018346189721,9442477.0,0.0,1.0,HPE,14.733060734181402
2022-06-06,15.25,15.425,15.09,15.22,14.0308967440819,9342418.0,0.0,1.0,HPE,14.721866828051557
2022-06-07,15.07,15.39,14.86,15.34,14.1415214227475,9358704.0,0.0,1.0,HPE,14.708324211824245
2022-06-08,15.29,15.29,14.97,14.97,13.8004286635287,6807982.0,0.0,1.0,HPE,14.687656429116567
2022-06-09,14.91,15.05,14.65,14.68,13.5330856900869,6899036.0,0.0,1.0,HPE,14.65985157036595
2022-06-10,14.38,14.5,14.155,14.23,13.2288678237566,8798913.0,0.12,1.0,HPE,14.630559820773053
