date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,34.12,34.34,32.91,33.84,33.5098308313712,3492482.0,0.0,1.0,HWM,34.466852308955346
2022-05-03,34.35,35.7,33.49,34.99,34.6486105434302,3962829.0,0.0,1.0,HWM,34.50518499203762
2022-05-04,34.93,36.6,34.56,36.56,36.2032924111977,3614483.0,0.0,1.0,HWM,34.56971051849931
2022-05-05,36.26,36.5,34.87,35.42,35.094219995975,2463673.0,0.02,1.0,HWM,34.6217781462877
2022-05-06,35.27,35.305,34.215,35.03,34.7078070711181,3061119.0,0.0,1.0,HWM,34.6572317253184
2022-05-09,34.52,34.69,33.05,33.27,32.9639948974051,3675531.0,0.0,1.0,HWM,34.653698569370555
2022-05-10,33.67,34.51,33.17,33.98,33.6674645811189,4580492.0,0.0,1.0,HWM,34.64617890027676
2022-05-11,34.03,34.685,33.28,33.54,33.2315115376906,2327037.0,0.0,1.0,HWM,34.630190280635595
2022-05-12,33.35,33.52,31.94,32.85,32.5478579014054,3072137.0,0.0,1.0,HWM,34.60668875573391
2022-05-13,33.33,34.07,33.28,33.79,33.4792121305476,2323740.0,0.0,1.0,HWM,34.602521422778494
2022-05-16,33.69,34.58,33.64,34.06,33.7467287708331,2083106.0,0.0,1.0,HWM,34.58797494257532
2022-05-17,34.74,35.33,34.52,35.24,34.915875569118,1828737.0,0.0,1.0,HWM,34.580466636721425
2022-05-18,34.81,35.25,33.42,33.59,33.281051656262,2277536.0,0.0,1.0,HWM,34.55856895196514
2022-05-19,33.2,34.18,33.0,33.45,33.1423393242621,3319421.0,0.0,1.0,HWM,34.541142070817074
2022-05-20,33.75,33.78,32.23,33.16,32.855006636548,2852253.0,0.0,1.0,HWM,34.52147654122492
2022-05-23,33.64,34.48,33.08,34.3,33.9845213399758,2246082.0,0.0,1.0,HWM,34.52961198969977
2022-05-24,34.06,34.16,32.75,33.71,33.3999479408334,1509298.0,0.0,1.0,HWM,34.519214985932166
2022-05-25,33.46,34.215,33.32,33.95,33.6377405099761,1636484.0,0.0,1.0,HWM,34.49077216517989
2022-05-26,34.43,34.93,34.3,34.61,34.2916700751184,2090719.0,0.0,1.0,HWM,34.47016141243412
2022-05-27,34.93,36.03,34.89,36.03,35.698609442546,1874515.0,0.0,1.0,HWM,34.517123608684535
2022-05-31,35.71,36.03,35.22,35.77,35.4410008259748,5121829.0,0.0,1.0,HWM,34.52766806401746
2022-06-01,36.07,36.1,34.745,35.68,35.3518286125463,2435042.0,0.0,1.0,HWM,34.5412463240339
2022-06-02,35.82,37.01,35.42,36.99,36.6497797191168,3513679.0,0.0,1.0,HWM,34.59173094428336
2022-06-03,36.62,37.06,36.111,36.63,36.2930908654027,1900757.0,0.0,1.0,HWM,34.65930199940622
2022-06-06,37.0,37.1,36.51,36.65,36.3129069128313,1818122.0,0.0,1.0,HWM,34.71904711906475
2022-06-07,36.32,37.45,36.1,37.43,37.085732762545,1656859.0,0.0,1.0,HWM,34.77448692356912
2022-06-08,36.93,37.345,36.39,36.47,36.1345624859743,1963072.0,0.0,1.0,HWM,34.80979377251005
2022-06-09,36.05,36.13,35.14,35.17,34.8465194031181,1922064.0,0.0,1.0,HWM,34.833110148748965
2022-06-10,34.24,34.71,33.73,33.98,33.6674645811189,3181426.0,0.0,1.0,HWM,34.84236072786923
2022-06-13,33.06,33.06,31.96,32.19,31.893928336263,2575228.0,0.0,1.0,HWM,34.812145151508645
2022-06-14,32.39,32.88,31.59,32.2,31.9038363599773,3513419.0,0.0,1.0,HWM,34.76883290006057
2022-06-15,32.67,33.37,32.29,32.71,32.4091455694055,3476636.0,0.0,1.0,HWM,34.73351108050201
2022-06-16,31.75,31.92,30.7,30.8,30.5167130399783,2989302.0,0.0,1.0,HWM,34.655048540307156
2022-06-17,30.95,31.76,30.545,31.52,31.2300907474063,4905404.0,0.0,1.0,HWM,34.58569634242273
2022-06-21,32.28,32.3399,31.59,31.66,31.3688030794062,2409472.0,0.0,1.0,HWM,34.49558224266501
2022-06-22,30.88,31.785,30.77,31.43,31.1409185339778,1754226.0,0.0,1.0,HWM,34.411215868052764
2022-06-23,31.46,31.57,29.84,30.7,30.4176328028355,2668408.0,0.0,1.0,HWM,34.31055181171106
2022-06-24,31.02,32.23,30.84,32.18,31.8840203125487,2736460.0,0.0,1.0,HWM,34.23385860011565
2022-06-27,32.38,32.5,31.67,31.8,31.5075154114061,1890714.0,0.0,1.0,HWM,34.15923827795694
