date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,39.8,39.95,37.5,38.39,35.0427705601033,5096174.0,0.0,1.0,INVH,37.00033155363535
2022-05-03,38.55,39.025,38.26,38.48,35.1249234475847,2828821.0,0.0,1.0,INVH,36.942955233913914
2022-05-04,38.35,38.98,37.7,38.75,35.3713821100287,3687875.0,0.0,1.0,INVH,36.892483196365035
2022-05-05,38.78,38.99,37.8,38.12,34.7963118976592,3744425.0,0.0,1.0,INVH,36.83229646144183
2022-05-06,37.77,38.505,37.215,37.99,34.6776466157417,4312382.0,0.0,1.0,INVH,36.78132651169043
2022-05-09,37.42,37.45,35.77,35.82,32.897667386979,3410325.0,0.22,1.0,INVH,36.6998897340662
2022-05-10,36.1,36.575,35.25,35.85,32.9252198722277,3909038.0,0.0,1.0,INVH,36.60381226771834
2022-05-11,35.88,36.65,35.67,35.83,32.9068515487286,3396553.0,0.0,1.0,INVH,36.516225965455426
2022-05-12,35.83,36.26,35.565,35.87,32.9435881957269,3527656.0,0.0,1.0,INVH,36.431721960844364
2022-05-13,36.15,36.93,35.81,36.92,33.9079251794323,2692181.0,0.0,1.0,INVH,36.369102556618685
2022-05-16,37.02,37.19,36.4,36.46,33.4854537389518,2226772.0,0.0,1.0,INVH,36.30040523388598
2022-05-17,36.87,37.06,36.37,36.85,33.8436360471852,2660113.0,0.0,1.0,INVH,36.250735510879856
2022-05-18,36.8,37.01,35.57,35.68,32.7690891224849,2963649.0,0.0,1.0,INVH,36.200959991302064
2022-05-19,35.41,35.9788,35.3,35.75,32.833378254732,3346873.0,0.0,1.0,INVH,36.16193840140885
2022-05-20,36.12,36.31,35.64,36.21,33.2558496952124,4581412.0,0.0,1.0,INVH,36.127080773862694
2022-05-23,36.54,36.9,35.96,36.72,33.7242419444408,2868233.0,0.0,1.0,INVH,36.12009524078873
2022-05-24,36.66,37.65,36.32,37.6,34.5324481784034,5111786.0,0.0,1.0,INVH,36.12850093048424
2022-05-25,37.46,37.86,37.27,37.6,34.5324481784034,3801718.0,0.0,1.0,INVH,36.11070014352799
2022-05-26,37.8,38.01,37.32,37.36,34.3120282964136,2245705.0,0.0,1.0,INVH,36.10760039440289
2022-05-27,37.67,38.5527,37.56,38.54,35.3957593828635,2111181.0,0.0,1.0,INVH,36.12713313782241
2022-05-31,38.12,38.53,37.7,37.72,34.6426581193983,3476525.0,0.0,1.0,INVH,36.113171114116504
2022-06-01,37.82,38.295,37.22,38.04,34.9365512953847,3279162.0,0.0,1.0,INVH,36.107629987849506
