date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,239.99,242.235,234.15,240.66,240.66,2421419.0,0.0,1.0,ISRG,282.55032258064523
2022-05-03,239.5,242.0,236.14,238.11,238.11,1648169.0,0.0,1.0,ISRG,281.6659677419355
2022-05-04,236.99,246.99,233.82,246.31,246.31,2124742.0,0.0,1.0,ISRG,281.03225806451616
2022-05-05,242.93,244.67,231.13,233.98,233.98,3058231.0,0.0,1.0,ISRG,280.1975806451613
2022-05-06,232.07,232.27,221.07,224.85,224.85,3014045.0,0.0,1.0,ISRG,279.2291935483871
2022-05-09,221.55,221.55,207.18,208.71,208.71,3754694.0,0.0,1.0,ISRG,278.0246774193548
2022-05-10,214.7,217.31,206.6,211.39,211.39,2253200.0,0.0,1.0,ISRG,276.7216129032258
2022-05-11,210.74,217.89,208.48,210.87,210.87,2690242.0,0.0,1.0,ISRG,275.40516129032255
2022-05-12,208.08,214.06,207.24,211.69,211.69,2035959.0,0.0,1.0,ISRG,274.2524193548387
2022-05-13,215.0,224.68,215.0,223.69,223.69,2250577.0,0.0,1.0,ISRG,273.3258064516129
2022-05-16,221.12,223.3,217.57,219.53,219.53,1569695.0,0.0,1.0,ISRG,272.20032258064515
2022-05-17,223.52,226.29,220.61,225.18,225.18,1324225.0,0.0,1.0,ISRG,271.1364516129032
2022-05-18,221.21,223.4,214.31,215.35,215.35,2031890.0,0.0,1.0,ISRG,270.0279032258064
2022-05-19,215.06,221.17,213.96,218.14,218.14,1722882.0,0.0,1.0,ISRG,269.0175806451613
2022-05-20,222.31,223.27,212.905,219.07,219.07,1818012.0,0.0,1.0,ISRG,267.97032258064513
2022-05-23,222.28,222.9899,216.9,221.61,221.61,1496350.0,0.0,1.0,ISRG,267.085
2022-05-24,219.21,219.69,214.88,218.39,218.39,1518961.0,0.0,1.0,ISRG,265.95612903225805
2022-05-25,216.18,224.26,216.17,222.58,222.58,1466130.0,0.0,1.0,ISRG,264.8120967741936
2022-05-26,223.41,226.06,221.135,223.3,223.3,2562930.0,0.0,1.0,ISRG,263.7309677419355
2022-05-27,226.5,229.89,224.44,229.16,229.16,2133035.0,0.0,1.0,ISRG,262.72467741935486
2022-05-31,228.4,230.0,224.795,227.64,227.64,2046533.0,0.0,1.0,ISRG,261.57354838709676
2022-06-01,227.74,230.0,212.2,216.39,216.39,2426279.0,0.0,1.0,ISRG,260.2279032258064
2022-06-02,216.4,227.34,214.07,227.21,227.21,2099595.0,0.0,1.0,ISRG,259.0170967741936
2022-06-03,224.04,224.505,216.97,217.79,217.79,1524403.0,0.0,1.0,ISRG,257.8090322580645
2022-06-06,221.45,222.84,215.4841,216.43,216.43,1374508.0,0.0,1.0,ISRG,256.95596774193547
2022-06-07,215.29,222.57,214.58,221.95,221.95,1351951.0,0.0,1.0,ISRG,256.0387096774194
2022-06-08,221.04,222.82,218.15,218.6,218.6,1104591.0,0.0,1.0,ISRG,255.1174193548387
2022-06-09,216.35,216.965,209.91,209.95,209.95,1595463.0,0.0,1.0,ISRG,254.08935483870968
2022-06-10,206.8,208.0,203.66,205.27,205.27,1602888.0,0.0,1.0,ISRG,253.14532258064517
2022-06-13,199.0,200.24,193.76,194.97,194.97,3539903.0,0.0,1.0,ISRG,251.93516129032258
2022-06-14,194.63,195.33,188.81,191.1,191.1,3184162.0,0.0,1.0,ISRG,250.53596774193548
2022-06-15,194.0,200.15,192.36,196.13,196.13,2409501.0,0.0,1.0,ISRG,249.1356451612903
2022-06-16,191.87,193.05,186.83,190.71,190.71,2449418.0,0.0,1.0,ISRG,247.5324193548387
2022-06-17,191.8,195.5,189.9,192.08,192.08,3802396.0,0.0,1.0,ISRG,246.06145161290323
2022-06-21,195.635,197.65,193.93,194.32,194.32,1859513.0,0.0,1.0,ISRG,244.57564516129034
2022-06-22,192.91,203.7,191.9,200.62,200.62,2582487.0,0.0,1.0,ISRG,243.37274193548387
2022-06-23,202.9,206.93,201.81,204.5,204.5,1611988.0,0.0,1.0,ISRG,242.1375806451613
2022-06-24,207.61,209.845,203.82,209.67,209.67,2270495.0,0.0,1.0,ISRG,240.89241935483875
2022-06-27,208.8,209.88,205.88,207.94,207.94,1900789.0,0.0,1.0,ISRG,239.4890322580645
2022-06-28,209.02,211.47,201.17,201.99,201.99,1662380.0,0.0,1.0,ISRG,237.87596774193548
2022-06-29,201.85,203.85,197.85,202.59,202.59,1655394.0,0.0,1.0,ISRG,236.2332258064516
2022-06-30,201.46,203.38,197.61,200.71,200.71,2224471.0,0.0,1.0,ISRG,234.60467741935483
2022-07-01,201.07,206.33,200.0,206.1,206.1,1459803.0,0.0,1.0,ISRG,233.00080645161293
2022-07-05,203.06,207.32,200.12,206.75,206.75,1432902.0,0.0,1.0,ISRG,231.46048387096775
2022-07-06,207.78,209.48,204.33,205.35,205.35,1654648.0,0.0,1.0,ISRG,229.99967741935484
2022-07-07,204.79,209.37,204.25,208.71,208.71,1396773.0,0.0,1.0,ISRG,228.71
2022-07-08,206.05,211.22,205.73,208.81,208.81,1149400.0,0.0,1.0,ISRG,227.37112903225807
2022-07-11,207.48,208.14,202.49,205.72,205.72,1197561.0,0.0,1.0,ISRG,226.0140322580645
2022-07-12,206.59,209.135,201.07,202.13,202.13,1519936.0,0.0,1.0,ISRG,224.77483870967743
2022-07-13,198.3,204.2865,196.1,202.06,202.06,1482975.0,0.0,1.0,ISRG,223.55241935483872
2022-07-14,200.41,204.51,197.3001,204.31,204.31,1553657.0,0.0,1.0,ISRG,222.2474193548387
2022-07-15,207.88,211.17,207.365,210.92,210.92,2231082.0,0.0,1.0,ISRG,221.13806451612902
2022-07-18,211.43,213.66,205.32,206.26,206.26,1523247.0,0.0,1.0,ISRG,220.00758064516128
