date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,138.85,139.85,134.91,137.84,112.361934739201,1077095.0,0.0,1.0,J,108.4389115921709
2022-05-03,138.26,139.34,135.19,138.6,112.98145788489,1321264.0,0.0,1.0,J,108.53400985126781
2022-05-04,138.84,142.92,136.895,142.43,116.10352847435,856872.0,0.0,1.0,J,108.7145011599707
2022-05-05,140.74,141.68,136.61,137.57,112.141840990075,867754.0,0.0,1.0,J,108.84789108217609
2022-05-06,137.22,138.23,134.0,137.81,112.337479878187,690502.0,0.0,1.0,J,108.97931869570489
2022-05-09,135.95,136.16,129.63,130.26,106.183006522986,823229.0,0.0,1.0,J,109.06160855617432
2022-05-10,131.93,133.43,128.11,130.16,106.101490319606,712849.0,0.0,1.0,J,109.09665489263499
2022-05-11,129.69,134.06,129.21,130.73,106.566132678872,696517.0,0.0,1.0,J,109.18368073234053
2022-05-12,130.08,131.48,127.56,130.21,106.142248421296,665837.0,0.0,1.0,J,109.30153130134052
2022-05-13,131.47,133.82,131.47,133.08,108.481763458306,406147.0,0.0,1.0,J,109.46774520803876
2022-05-16,132.94,134.495,131.49,133.75,109.027922020953,486955.0,0.0,1.0,J,109.60169470191073
2022-05-17,135.73,136.72,134.79,136.27,111.082130346133,569519.0,0.0,1.0,J,109.79685873600566
2022-05-18,135.38,136.14,131.99,132.2,107.764420868561,760673.0,0.0,1.0,J,109.96423142497348
2022-05-19,130.44,135.15,129.604,133.77,109.044225261629,760101.0,0.0,1.0,J,110.1529022452316
2022-05-20,134.75,135.989,132.16,135.94,110.813126874978,656922.0,0.0,1.0,J,110.37167843655396
2022-05-23,137.44,137.98,135.84,137.15,111.799472935878,631443.0,0.0,1.0,J,110.63287088331033
2022-05-24,136.56,137.31,133.83,137.17,111.815776176554,529971.0,0.0,1.0,J,110.86637536267025
2022-05-25,136.3,137.9484,135.59,137.32,111.938050481624,337753.0,0.0,1.0,J,111.05202194198118
2022-05-26,138.64,140.16,137.62,137.89,112.590180108666,645172.0,0.23,1.0,J,111.25081629603083
2022-05-27,139.26,140.08,138.315,140.06,114.362032243235,1004056.0,0.0,1.0,J,111.4780574325681
2022-05-31,139.61,140.895,138.46,140.09,114.386527894865,967780.0,0.0,1.0,J,111.65967644867511
2022-06-01,139.93,140.82,137.555,138.86,113.382206178036,393855.0,0.0,1.0,J,111.8077416647588
2022-06-02,139.52,140.39,137.8,140.27,114.533501804645,559255.0,0.0,1.0,J,111.97266695442659
2022-06-03,138.66,139.29,136.37,138.13,112.786145321706,759449.0,0.0,1.0,J,112.17646272618224
2022-06-06,139.24,139.24,135.8,135.85,110.924475797826,607063.0,0.0,1.0,J,112.36706072179896
2022-06-07,134.25,137.86,133.68,137.71,112.443206198886,505281.0,0.0,1.0,J,112.52890588135382
2022-06-08,135.78,136.27,132.45,133.37,108.899501929746,588683.0,0.0,1.0,J,112.64687377292479
2022-06-09,133.3,133.48,131.9,131.99,107.772701954767,545077.0,0.0,1.0,J,112.74127688370808
2022-06-10,129.5,130.17,127.94,129.02,105.347632443397,451902.0,0.0,1.0,J,112.7727684978373
2022-06-13,126.23,127.52,124.41,125.69,102.628615112468,477656.0,0.0,1.0,J,112.70294921811748
2022-06-14,125.79,126.43,123.04,124.32,101.509980354698,562521.0,0.0,1.0,J,112.55631688922246
2022-06-15,125.67,126.2,122.84,124.68,101.803928174258,457154.0,0.0,1.0,J,112.38352838355526
2022-06-16,122.37,122.37,118.44,119.14,97.280397839919,733516.0,0.0,1.0,J,112.09583830978863
2022-06-17,118.92,120.15,117.94,118.69,96.9129630654691,1048893.0,0.0,1.0,J,111.81970840909469
2022-06-21,120.48,122.74,119.18,121.88,99.5176673554585,497660.0,0.0,1.0,J,111.60662630749866
2022-06-22,120.15,122.67,120.15,121.72,99.3870238800985,605782.0,0.0,1.0,J,111.42562126739494
2022-06-23,121.61,122.37,120.02,122.28,99.8442760438584,520164.0,0.0,1.0,J,111.21346828220612
2022-06-24,123.42,125.59,122.97,125.42,102.408154247798,1146955.0,0.0,1.0,J,111.05239752458104
2022-06-27,126.38,127.35,124.5,126.38,103.192015099958,385384.0,0.0,1.0,J,110.89516067485134
2022-06-28,126.88,128.04,124.38,124.61,101.746771653788,348469.0,0.0,1.0,J,110.71198389200983
2022-06-29,124.81,125.25,122.87,124.36,101.542641223538,355619.0,0.0,1.0,J,110.5151279408304
2022-06-30,122.45,127.42,122.41,127.13,103.804406390708,777502.0,0.0,1.0,J,110.37749772329038
2022-07-01,126.41,127.62,123.94,126.4,103.208345534378,585728.0,0.0,1.0,J,110.20698205968333
2022-07-05,124.29,124.29,120.71,124.11,101.338510793288,538308.0,0.0,1.0,J,110.0018375278088
2022-07-06,124.74,126.005,123.15,125.3,102.310171641278,363153.0,0.0,1.0,J,109.81328528932714
2022-07-07,126.02,127.165,126.02,126.87,103.592110743248,336152.0,0.0,1.0,J,109.63015806927707
2022-07-08,126.42,126.69,125.13,126.09,102.955223800868,290482.0,0.0,1.0,J,109.40244278712052
2022-07-11,125.22,126.54,125.22,125.99,102.873571628768,213832.0,0.0,1.0,J,109.17446235642534
2022-07-12,125.31,127.07,124.48,125.07,102.122371645448,372617.0,0.0,1.0,J,108.94554140549482
2022-07-13,123.26,125.56,123.26,124.75,101.861084694728,309485.0,0.0,1.0,J,108.74396080828052
2022-07-14,122.47,124.505,121.78,124.03,101.273189055608,414322.0,0.0,1.0,J,108.49148253291146
2022-07-15,125.77,126.02,124.075,125.45,102.432649899428,318064.0,0.0,1.0,J,108.24166495371307
2022-07-18,125.94,126.44,124.75,125.06,102.114206428238,442426.0,0.0,1.0,J,107.99367951010703
2022-07-19,126.02,129.2,125.55,128.69,105.078180275467,502597.0,0.0,1.0,J,107.75116426163626
2022-07-20,129.11,129.44,127.69,128.22,104.694415066597,330763.0,0.0,1.0,J,107.5016703852478
2022-07-21,127.96,129.02,126.88,129.02,105.347632443397,342021.0,0.0,1.0,J,107.25285144194723
2022-07-22,129.73,130.25,128.345,129.52,105.755893303897,520134.0,0.0,1.0,J,107.0889780886782
2022-07-25,129.37,130.82,128.81,130.17,106.286632422547,238706.0,0.0,1.0,J,106.95798842704117
2022-07-26,130.24,131.025,130.12,130.8,106.801041106777,262073.0,0.0,1.0,J,106.86842807200752
