date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,50.69,52.975,50.55,52.94,51.5192488064765,5681517.0,0.0,1.0,KKR,56.64012572363533
2022-05-03,52.19,56.25,51.27,54.29,52.8330188459314,6928075.0,0.0,1.0,KKR,56.34646933225599
2022-05-04,54.39,57.81,54.24,57.35,55.8108976020292,5427982.0,0.0,1.0,KKR,56.13638533432855
2022-05-05,56.02,56.92,54.58,55.36,53.8743032475735,6069775.0,0.0,1.0,KKR,55.894752797411684
2022-05-06,55.11,55.87,51.95,53.55,52.1128782317117,4837092.0,0.0,1.0,KKR,55.62784164135014
2022-05-09,52.64,54.0,49.52,49.86,48.5219067905349,6135182.0,0.0,1.0,KKR,55.371120884275946
2022-05-10,51.01,52.2,49.48,51.16,49.7870186803804,3805442.0,0.0,1.0,KKR,55.09644475116825
2022-05-11,50.39,52.07,49.43,50.15,48.8041240582697,6939537.0,0.0,1.0,KKR,54.85022566284614
2022-05-12,49.33,50.36,47.51,48.3,47.0037725227203,10746015.0,0.0,1.0,KKR,54.625698326983624
2022-05-13,49.58,52.38,49.57,51.57,50.3368557709671,4879384.0,0.155,1.0,KKR,54.48921990458257
2022-05-16,50.75,51.61,50.108,50.94,49.7219203601524,2540964.0,0.0,1.0,KKR,54.31260456315541
2022-05-17,52.44,53.146,51.31,53.08,51.8107485810148,4567752.0,0.0,1.0,KKR,54.174377192118556
2022-05-18,51.98,52.94,50.195,50.76,49.5462245284911,4415576.0,0.0,1.0,KKR,54.05669613009826
2022-05-19,49.81,51.185,49.75,50.46,49.2533981423889,2885084.0,0.0,1.0,KKR,53.92283385242635
2022-05-20,51.67,52.58,49.97,51.76,50.5223124821651,3579360.0,0.0,1.0,KKR,53.82686069186906
2022-05-23,52.28,53.04,51.37,51.95,50.7077691933632,2593042.0,0.0,1.0,KKR,53.73450661568088
2022-05-24,51.04,51.19,49.24,49.99,48.7946368041622,4140042.0,0.0,1.0,KKR,53.599209508957436
2022-05-25,48.86,50.95,48.83,50.6,49.3900504559033,2506427.0,0.0,1.0,KKR,53.43819944931974
2022-05-26,50.92,54.809,50.72,54.44,53.1382281980114,3833526.0,0.0,1.0,KKR,53.35161346718456
2022-05-27,55.06,56.25,55.0,56.04,54.6999689238897,2656745.0,0.0,1.0,KKR,53.3274167917811
2022-05-31,55.37,55.72,54.06,54.81,53.4993807408707,4388258.0,0.0,1.0,KKR,53.246498888886855
2022-06-01,54.63,55.73,53.58,54.46,53.1577499570849,2323681.0,0.0,1.0,KKR,53.19695682869999
2022-06-02,54.54,56.675,53.85,56.35,55.0025561895287,2611045.0,0.0,1.0,KKR,53.20683548283055
2022-06-03,55.38,56.38,55.09,55.32,53.9971855972445,2587286.0,0.0,1.0,KKR,53.27474140084449
2022-06-06,56.15,57.68,55.545,56.51,55.1587302621165,2782717.0,0.0,1.0,KKR,53.3439591534317
2022-06-07,55.85,57.25,55.85,56.95,55.5882089617331,1947188.0,0.0,1.0,KKR,53.37772430312707
2022-06-08,56.25,56.5086,54.67,54.85,53.5384242590177,1597436.0,0.0,1.0,KKR,53.40228659871619
2022-06-09,54.5,54.595,53.13,53.17,51.8985964968454,1395592.0,0.0,1.0,KKR,53.41860762509185
2022-06-10,52.0,52.34,50.55,51.05,49.8292900350566,1947448.0,0.0,1.0,KKR,53.424155236095956
2022-06-13,48.84,49.21,46.54,46.76,45.6418727137952,3242743.0,0.0,1.0,KKR,53.34285755997662
2022-06-14,47.05,47.7,46.625,47.1,45.9737426180444,3394717.0,0.0,1.0,KKR,53.21385954499682
2022-06-15,48.0,49.46,47.45,48.69,47.525722464386,3323849.0,0.0,1.0,KKR,53.07536187297711
2022-06-16,46.67,47.3,44.28,45.06,43.9825231925495,3510317.0,0.0,1.0,KKR,52.851305744704206
2022-06-17,44.92,46.47,44.92,45.18,44.0996537469903,6186285.0,0.0,1.0,KKR,52.6459337286262
2022-06-21,46.36,47.24,46.18,46.37,45.2611984118624,2383166.0,0.0,1.0,KKR,52.431827993653684
2022-06-22,45.57,46.7,45.412,45.82,44.7243500373417,2559298.0,0.0,1.0,KKR,52.227427941364084
2022-06-23,46.09,47.55,45.34,46.39,45.2807201709359,2703978.0,0.0,1.0,KKR,52.02776363303743
2022-06-24,47.24,48.59,46.88,48.57,47.4085919099451,4085247.0,0.0,1.0,KKR,51.871680581233385
2022-06-27,48.75,49.24,47.51,48.47,47.3109831145777,2870950.0,0.0,1.0,KKR,51.715278888203635
2022-06-28,49.15,50.05,48.27,48.56,47.3988310304084,5603168.0,0.0,1.0,KKR,51.510066329703356
2022-06-29,48.63,48.63,46.535,47.35,46.2177646064629,2394510.0,0.0,1.0,KKR,51.32457387066696
2022-06-30,46.16,47.17,44.91,46.29,45.1831113755685,2552078.0,0.0,1.0,KKR,51.135578245219996
2022-07-01,45.88,46.98,45.17,46.73,45.612590075185,2350047.0,0.0,1.0,KKR,50.93294770331899
2022-07-05,45.58,47.685,44.83,47.65,46.5105909925651,2067643.0,0.0,1.0,KKR,50.74228965881522
2022-07-06,47.91,48.64,46.525,47.34,46.2080037269261,3089510.0,0.0,1.0,KKR,50.58536377068477
2022-07-07,47.98,49.18,47.98,48.69,47.525722464386,2715482.0,0.0,1.0,KKR,50.46821289978405
2022-07-08,48.35,48.79,47.09,47.55,46.4129821971977,1739699.0,0.0,1.0,KKR,50.34080573209275
2022-07-11,46.94,47.4714,46.57,47.27,46.139677570169,1811240.0,0.0,1.0,KKR,50.17932465017135
