date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,103.38,105.25,102.78,103.51,99.7483637624653,1086975.0,0.0,1.0,LDOS,98.01739996180567
2022-05-03,102.17,103.52,99.65,102.52,98.7943411547478,1686489.0,0.0,1.0,LDOS,98.21705008872325
2022-05-04,102.6,105.995,102.5,104.78,100.972210946103,1081962.0,0.0,1.0,LDOS,98.45198203241205
2022-05-05,104.77,105.25,102.88,104.06,100.278376322308,820711.0,0.0,1.0,LDOS,98.68981759845579
2022-05-06,103.82,104.575,102.4,103.21,99.4592660025509,684336.0,0.0,1.0,LDOS,98.92203105570523
2022-05-09,102.49,103.21,99.11,99.38,95.7684512676438,827358.0,0.0,1.0,LDOS,99.12801544333944
2022-05-10,99.66,102.169,99.66,101.23,97.5512207871159,1157914.0,0.0,1.0,LDOS,99.33177724754783
2022-05-11,101.16,103.37,100.84,101.21,97.5319476031216,895542.0,0.0,1.0,LDOS,99.54545058101951
2022-05-12,101.2,102.56,99.82,100.57,96.9152057153042,1002336.0,0.0,1.0,LDOS,99.7302805370741
2022-05-13,100.98,102.4,100.75,101.64,97.9463210589989,518255.0,0.0,1.0,LDOS,99.95698758413788
2022-05-16,102.26,103.71,101.66,103.2,99.4496294105538,600134.0,0.0,1.0,LDOS,100.25223855073287
2022-05-17,103.53,104.57,102.62,104.4,100.606020450211,534903.0,0.0,1.0,LDOS,100.50077966232472
2022-05-18,103.94,104.24,101.31,101.69,97.9945040189846,530648.0,0.0,1.0,LDOS,100.65934018351057
2022-05-19,100.73,102.515,100.15,101.52,97.8306819550331,676144.0,0.0,1.0,LDOS,100.7966722550339
2022-05-20,101.51,101.51,98.88,100.6,96.9441154912956,699195.0,0.0,1.0,LDOS,100.95563810686103
2022-05-23,101.31,102.44,100.52,101.85,98.148689490939,584421.0,0.0,1.0,LDOS,101.1284567240931
2022-05-24,101.85,102.4875,100.52,101.97,98.2643285949047,723064.0,0.0,1.0,LDOS,101.23452658707461
2022-05-25,102.15,102.82,101.455,102.39,98.6690654587849,526563.0,0.0,1.0,LDOS,101.32125872701042
2022-05-26,103.18,104.41,103.13,103.63,99.8640028664311,436157.0,0.0,1.0,LDOS,101.35462314888497
2022-05-27,103.98,105.38,103.79,105.36,101.531133281937,535764.0,0.0,1.0,LDOS,101.36980533711161
2022-05-31,104.82,105.11,103.6,104.5,100.702386370183,1031922.0,0.0,1.0,LDOS,101.3826174499973
2022-06-01,104.85,105.053,103.15,104.74,100.933664578114,546477.0,0.0,1.0,LDOS,101.38305185269199
2022-06-02,104.72,105.89,102.97,105.65,101.810594449855,500784.0,0.0,1.0,LDOS,101.35689562195
2022-06-03,105.27,106.23,104.7,105.78,101.935870145818,492869.0,0.0,1.0,LDOS,101.34592516241783
2022-06-06,106.14,106.94,105.56,105.92,102.070782433778,591704.0,0.0,1.0,LDOS,101.40930695562801
2022-06-07,103.78,107.31,103.45,107.07,103.17899051345,670757.0,0.0,1.0,LDOS,101.47987603167653
2022-06-08,106.52,106.55,103.84,103.91,100.133827442351,404272.0,0.0,1.0,LDOS,101.4993160738368
2022-06-09,104.14,104.6,102.78,102.83,99.0930755066594,489549.0,0.0,1.0,LDOS,101.51823268297355
2022-06-10,101.75,101.94,100.611,100.72,97.0597545952614,640793.0,0.0,1.0,LDOS,101.49134348272345
2022-06-13,99.28,100.53,98.3,99.4,95.7877244516381,823029.0,0.0,1.0,LDOS,101.42031247397027
2022-06-14,98.83,99.53,96.8001,97.91,94.6987895559605,914436.0,0.36,1.0,LDOS,101.36140491966515
2022-06-15,98.56,99.34,97.295,98.79,95.5499276910769,758797.0,0.0,1.0,LDOS,101.28622762148368
2022-06-16,97.5,97.58,94.97,95.36,92.2324233689755,847852.0,0.0,1.0,LDOS,101.13438328250098
2022-06-17,94.96,95.24,91.72,94.15,91.0621084331905,2671789.0,0.0,1.0,LDOS,100.94982972378389
2022-06-21,95.66,97.22,94.74,96.9,93.7219151054292,647532.0,0.0,1.0,LDOS,100.80739912816767
2022-06-22,95.91,97.7998,95.37,97.44,94.2442044156142,779145.0,0.0,1.0,LDOS,100.6670199686531
2022-06-23,98.28,98.9,96.5217,97.54,94.3409246582411,626398.0,0.0,1.0,LDOS,100.5171653609261
2022-06-24,98.54,101.83,97.91,101.57,98.2387504361036,1314275.0,0.0,1.0,LDOS,100.41479144949177
2022-06-27,101.52,102.76,100.76,101.69,98.3548147272558,544148.0,0.0,1.0,LDOS,100.30620723978805
2022-06-28,102.1,102.56,98.95,99.26,96.0045128314231,680817.0,0.0,1.0,LDOS,100.18598241962766
2022-06-29,99.82,99.82,98.48,99.35,96.0915610497873,685613.0,0.0,1.0,LDOS,100.05068613925225
2022-06-30,98.89,100.9,98.39,100.71,97.4069563495126,1158898.0,0.0,1.0,LDOS,99.94282306822537
2022-07-01,101.06,102.71,99.57,102.45,99.08988857122,559739.0,0.0,1.0,LDOS,99.85775205600153
2022-07-05,101.7,101.87,97.77,99.58,96.3140176078291,703818.0,0.0,1.0,LDOS,99.74453982410516
2022-07-06,100.14,102.27,99.625,101.28,97.9582617324857,576981.0,0.0,1.0,LDOS,99.65831394544506
2022-07-07,101.47,102.16,101.16,101.52,98.1903903147902,538341.0,0.0,1.0,LDOS,99.57148006688791
2022-07-08,101.59,102.35,101.315,101.63,98.2967825816797,408946.0,0.0,1.0,LDOS,99.47719188734784
2022-07-11,100.81,102.03,100.67,101.2,97.8808855383842,287980.0,0.0,1.0,LDOS,99.37743912220587
2022-07-12,101.0,102.24,99.41,99.81,96.5364741658708,549906.0,0.0,1.0,LDOS,99.25320458241127
2022-07-13,98.79,100.15,98.79,98.99,95.7433681763306,787263.0,0.0,1.0,LDOS,99.11415743478598
2022-07-14,97.92,98.33,97.09,98.21,94.988950283841,512165.0,0.0,1.0,LDOS,98.95625881379992
