date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,288.03,305.76,287.01,301.13,292.520645061516,2997557.0,0.0,1.0,MCO,318.73113515834217
2022-05-03,299.41,310.4,299.05,309.42,300.573632633528,1623798.0,0.0,1.0,MCO,318.15334716546255
2022-05-04,311.19,318.61,302.63,317.41,308.335197253598,1337975.0,0.0,1.0,MCO,317.8053365825221
2022-05-05,313.68,315.0,301.155,304.01,295.318305400165,1247665.0,0.0,1.0,MCO,317.1454430125273
2022-05-06,299.74,302.56,295.38,300.44,291.850372272049,1061677.0,0.0,1.0,MCO,316.5917387241011
2022-05-09,295.96,297.79,284.46,285.63,277.463792544486,1261746.0,0.0,1.0,MCO,315.77941517358215
2022-05-10,286.67,289.29,281.51,285.04,276.890660738999,1180308.0,0.0,1.0,MCO,314.87889629662675
2022-05-11,283.32,288.07,280.49,282.18,274.112428597146,950032.0,0.0,1.0,MCO,313.82600589639026
2022-05-12,278.0,286.77,276.79,285.59,277.424936150893,925304.0,0.0,1.0,MCO,313.1056083999725
2022-05-13,290.32,293.36,285.98,288.96,280.698587311048,1239530.0,0.0,1.0,MCO,312.5759028490764
2022-05-16,287.26,290.09,282.24,287.76,279.532895503278,961362.0,0.0,1.0,MCO,311.92812046431766
2022-05-17,292.48,294.0,289.09,292.86,284.487085686301,880199.0,0.0,1.0,MCO,311.3477372417353
2022-05-18,288.86,288.99,279.73,280.6,272.577601050249,831040.0,0.0,1.0,MCO,310.69220723304943
2022-05-19,277.93,284.03,277.08,282.76,275.355833192101,1631286.0,0.7,1.0,MCO,310.074608498096
2022-05-20,287.02,289.33,281.79,289.27,281.695366627101,1505942.0,0.0,1.0,MCO,309.56754627676924
2022-05-23,292.0,296.22,288.43,295.15,287.421396826456,716319.0,0.0,1.0,MCO,309.21787646294933
2022-05-24,294.02,295.52,289.075,292.88,285.210837548814,762556.0,0.0,1.0,MCO,308.7729872553767
2022-05-25,290.47,294.95,289.39,291.99,284.344142501633,805877.0,0.0,1.0,MCO,308.28748366433865
2022-05-26,293.88,300.865,293.265,299.44,291.599061716801,666601.0,0.0,1.0,MCO,307.9451602934239
2022-05-27,302.42,307.56,301.88,307.49,299.438269727823,572203.0,0.0,1.0,MCO,307.72426203319117
2022-05-31,305.13,306.22,300.02,301.57,293.673286942078,2883361.0,0.0,1.0,MCO,307.35334902130285
2022-06-01,271.64,301.0,269.47,282.38,274.985783621395,3023974.0,0.0,1.0,MCO,306.6981026772324
2022-06-02,282.5,293.9,280.78,293.57,285.882769664044,810286.0,0.0,1.0,MCO,306.203886345956
2022-06-03,286.46,289.08,282.43,285.28,277.809846134682,947405.0,0.0,1.0,MCO,305.7541586628166
2022-06-06,286.71,290.09,284.47,284.53,277.079485139866,565949.0,0.0,1.0,MCO,305.30346181507497
2022-06-07,282.0,289.83,282.0,289.39,281.812224386272,721100.0,0.0,1.0,MCO,304.7832313163298
2022-06-08,287.0,289.9898,283.58,283.88,276.446505611026,566370.0,0.0,1.0,MCO,304.32232512134885
2022-06-09,282.37,285.42,279.2,279.44,272.122768521717,617321.0,0.0,1.0,MCO,303.94099632449786
2022-06-10,273.53,276.59,270.93,273.23,266.075379484644,915769.0,0.0,1.0,MCO,303.51163956081984
2022-06-13,267.8,269.8,264.225,265.35,258.40171996578,936153.0,0.0,1.0,MCO,302.87390743175746
2022-06-14,265.96,266.36,256.84,257.68,250.932561525466,1084006.0,0.0,1.0,MCO,301.98801161503775
2022-06-15,260.42,266.7,258.99,262.3,255.43158525353,861322.0,0.0,1.0,MCO,301.0654754296826
2022-06-16,254.33,256.72,251.51,253.64,246.998350300059,1213571.0,0.0,1.0,MCO,299.85964105968753
2022-06-17,251.93,259.045,251.01,255.87,249.16995699131,1675919.0,0.0,1.0,MCO,298.7580847249055
2022-06-21,260.4,263.0425,258.055,260.06,253.250240415681,822950.0,0.0,1.0,MCO,297.6570042674197
2022-06-22,258.09,265.5,257.34,263.17,256.278804007516,841487.0,0.0,1.0,MCO,296.6809176069227
2022-06-23,264.62,270.25,264.62,270.0,262.929958133637,759766.0,0.0,1.0,MCO,295.7591501217091
2022-06-24,272.01,277.795,271.43,277.5,270.233568081794,1205287.0,0.0,1.0,MCO,294.93935821730116
2022-06-27,278.13,279.28,275.06,277.8,270.52571247972,759951.0,0.0,1.0,MCO,294.04202184094044
2022-06-28,276.96,279.6624,270.06,270.6,263.51424692949,756009.0,0.0,1.0,MCO,292.9711192140654
2022-06-29,270.91,273.96,269.2,271.94,264.819158573561,534892.0,0.0,1.0,MCO,291.9416318200262
2022-06-30,270.0,274.14,268.08,271.97,264.848373013353,708863.0,0.0,1.0,MCO,290.926873416213
2022-07-01,271.46,275.595,270.02,274.91,267.711388113031,706487.0,0.0,1.0,MCO,289.91254240542315
2022-07-05,271.1,280.15,271.01,280.05,272.716795464167,747259.0,0.0,1.0,MCO,288.94682457494815
2022-07-06,280.73,285.435,278.65,282.99,275.579810563845,633547.0,0.0,1.0,MCO,288.0260309753199
2022-07-07,281.89,285.38,280.13,284.94,277.478749150365,766930.0,0.0,1.0,MCO,287.15701708327646
2022-07-08,283.15,286.67,281.76,284.13,276.689959275964,532833.0,0.0,1.0,MCO,286.23971463944645
2022-07-11,284.02,285.84,282.34,283.64,276.212790092685,611907.0,0.0,1.0,MCO,285.32552676990986
2022-07-12,283.31,285.6,274.045,275.45,268.237248029298,796042.0,0.0,1.0,MCO,284.41305805849936
2022-07-13,270.98,276.48,269.65,275.72,268.500177987432,740678.0,0.0,1.0,MCO,283.53976957129703
2022-07-14,272.15,277.02,270.5325,275.2,267.993794364359,1081166.0,0.0,1.0,MCO,282.6344983973272
2022-07-15,278.92,281.66,278.36,281.61,274.235946333384,937404.0,0.0,1.0,MCO,281.9123202512029
2022-07-18,283.62,285.04,279.81,280.85,273.495847191971,828218.0,0.0,1.0,MCO,281.1808685652617
2022-07-19,284.33,289.53,282.54,289.14,281.568770721333,886757.0,0.0,1.0,MCO,280.4964287709331
2022-07-20,290.14,292.15,287.49,291.03,283.409280428269,893424.0,0.0,1.0,MCO,279.8181727660758
2022-07-21,292.27,296.15,290.65,295.95,288.200448554259,652596.0,0.0,1.0,MCO,279.2974133177638
