date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,392.83,415.63,390.385,410.87,402.501143234411,652097.0,0.0,1.0,MPWR,425.15720861593803
2022-05-03,445.0,462.15,426.73,457.48,448.161761644506,1231248.0,0.0,1.0,MPWR,425.8463562395058
2022-05-04,453.16,482.29,436.0504,479.19,469.429558805698,655424.0,0.0,1.0,MPWR,427.2151986558288
2022-05-05,471.35,472.97,443.54,451.98,442.773789079487,593121.0,0.0,1.0,MPWR,428.04430639648194
2022-05-06,446.5,454.8,426.09,444.94,435.877184196263,367770.0,0.0,1.0,MPWR,428.8121893807782
2022-05-09,435.0,437.32,403.15,406.74,398.455265653769,600028.0,0.0,1.0,MPWR,428.8400282153577
2022-05-10,419.86,422.74,398.55,412.79,404.38203547529,673602.0,0.0,1.0,MPWR,428.69195033996465
2022-05-11,408.07,422.575,385.705,386.71,378.833249203346,593872.0,0.0,1.0,MPWR,428.37664312575305
2022-05-12,382.53,395.6,376.12,388.42,380.508418855379,666093.0,0.0,1.0,MPWR,427.82015802399917
2022-05-13,400.76,434.63,398.0,431.67,422.877475843936,494350.0,0.0,1.0,MPWR,427.80458500453017
2022-05-16,425.45,432.41,416.03,417.0,408.506283565968,355562.0,0.0,1.0,MPWR,426.8322985144202
2022-05-17,428.28,443.35,428.27,443.1,434.074662465421,524230.0,0.0,1.0,MPWR,426.1414621118335
2022-05-18,434.05,447.475,407.22,411.36,402.981162608385,606050.0,0.0,1.0,MPWR,425.3544102695037
2022-05-19,410.28,430.04,403.69,416.69,408.202597839576,411751.0,0.0,1.0,MPWR,424.7230416709586
2022-05-20,428.65,429.9139,395.54,418.12,409.603470706481,567899.0,0.0,1.0,MPWR,424.2284880602485
2022-05-23,414.5,420.0,410.89,418.75,410.220638473019,297481.0,0.0,1.0,MPWR,424.03890519654084
2022-05-24,410.76,410.76,387.36,388.44,380.528011482889,588262.0,0.0,1.0,MPWR,422.9960378797968
2022-05-25,384.53,408.19,384.53,401.61,393.42975669767,370584.0,0.0,1.0,MPWR,422.0618726664394
2022-05-26,401.31,425.24,397.28,421.67,413.081162089356,404953.0,0.0,1.0,MPWR,421.487892610616
2022-05-27,429.38,458.74,429.38,455.85,446.564962502509,545262.0,0.0,1.0,MPWR,421.8026296305459
2022-05-31,455.56,458.0,440.1231,450.39,441.216175192509,685691.0,0.0,1.0,MPWR,421.765265576451
2022-06-01,455.52,457.0,441.59,448.25,439.119764049029,463036.0,0.0,1.0,MPWR,422.0640421955996
2022-06-02,443.33,473.04,440.85,472.3,462.679898628793,353464.0,0.0,1.0,MPWR,422.9987122402131
2022-06-03,456.39,460.35,449.29,457.46,448.142169016997,485650.0,0.0,1.0,MPWR,424.2081610798727
2022-06-06,470.48,475.0,456.23,466.1,456.606184100953,234532.0,0.0,1.0,MPWR,425.3499812340604
2022-06-07,458.66,476.1725,458.34,473.44,463.796678396815,262646.0,0.0,1.0,MPWR,426.2335637510074
