date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,134.87,146.45,134.82,142.08,142.08,7773157.0,0.0,1.0,MRNA,155.95193548387098
2022-05-03,141.93,149.28,137.53,146.54,146.54,6326009.0,0.0,1.0,MRNA,155.5798387096774
2022-05-04,153.48,155.46,142.2277,155.05,155.05,11066027.0,0.0,1.0,MRNA,155.43629032258067
2022-05-05,151.87,152.0,138.65,142.02,142.02,8060872.0,0.0,1.0,MRNA,155.0977419354839
2022-05-06,139.7,140.6,131.0,134.4,134.4,7013011.0,0.0,1.0,MRNA,154.68048387096775
2022-05-09,132.79,141.6526,131.78,135.8,135.8,9625849.0,0.0,1.0,MRNA,154.39806451612904
2022-05-10,137.4,139.055,127.61,132.32,132.32,8180204.0,0.0,1.0,MRNA,153.8866129032258
2022-05-11,130.74,134.91,122.7204,123.43,123.43,7409302.0,0.0,1.0,MRNA,153.29
2022-05-12,120.6,132.937,119.01,130.17,130.17,7106650.0,0.0,1.0,MRNA,152.78758064516128
2022-05-13,132.31,141.65,132.31,137.91,137.91,6494735.0,0.0,1.0,MRNA,152.71403225806452
2022-05-16,135.87,141.6,133.82,136.26,136.26,4535615.0,0.0,1.0,MRNA,152.47435483870967
2022-05-17,137.52,143.89,136.09,142.28,142.28,5960695.0,0.0,1.0,MRNA,152.32064516129034
2022-05-18,138.41,144.13,136.29,137.71,137.71,4977757.0,0.0,1.0,MRNA,152.18112903225807
2022-05-19,140.87,148.5,140.4601,143.38,143.38,7708082.0,0.0,1.0,MRNA,152.14306451612904
2022-05-20,143.07,144.77,131.35,136.25,136.25,5882504.0,0.0,1.0,MRNA,152.00241935483874
2022-05-23,137.6,141.31,136.235,137.62,137.62,4284431.0,0.0,1.0,MRNA,152.03290322580645
2022-05-24,136.235,136.6,126.77,132.06,132.06,6154311.0,0.0,1.0,MRNA,151.64306451612902
2022-05-25,130.98,133.0,126.28,130.85,130.85,5343295.0,0.0,1.0,MRNA,151.31274193548387
2022-05-26,130.85,136.14,126.53,135.8,135.8,5155570.0,0.0,1.0,MRNA,151.02564516129033
2022-05-27,137.38,148.5399,136.59,147.66,147.66,7590709.0,0.0,1.0,MRNA,150.99564516129033
2022-05-31,145.055,149.44,142.74,145.33,145.33,8343905.0,0.0,1.0,MRNA,150.95483870967743
2022-06-01,146.09,149.08,140.87,143.4,143.4,3646586.0,0.0,1.0,MRNA,150.98516129032257
2022-06-02,140.2,142.5,130.92,140.18,140.18,7152203.0,0.0,1.0,MRNA,151.0451612903226
2022-06-03,139.58,143.38,135.0702,137.15,137.15,4059345.0,0.0,1.0,MRNA,151.2175806451613
2022-06-06,137.99,143.0,136.71,140.0,140.0,3139990.0,0.0,1.0,MRNA,151.39048387096773
2022-06-07,139.37,146.355,137.96,145.34,145.34,4072496.0,0.0,1.0,MRNA,151.43645161290323
2022-06-08,147.47,152.73,146.75,148.53,148.53,4711257.0,0.0,1.0,MRNA,151.5817741935484
2022-06-09,148.46,148.74,134.0,134.04,134.04,7533958.0,0.0,1.0,MRNA,151.51467741935483
2022-06-10,132.89,134.69,124.53,127.12,127.12,6265055.0,0.0,1.0,MRNA,151.14451612903227
2022-06-13,122.71,124.78,115.61,117.13,117.13,6700729.0,0.0,1.0,MRNA,150.64467741935482
2022-06-14,117.26,123.15,115.89,121.56,121.56,5499054.0,0.0,1.0,MRNA,149.87370967741936
2022-06-15,122.44,131.38,122.44,128.53,128.53,6965005.0,0.0,1.0,MRNA,149.23290322580647
2022-06-16,124.38,125.255,118.06,121.08,121.08,5719968.0,0.0,1.0,MRNA,148.29983870967743
2022-06-17,120.73,128.77,120.2,128.03,128.03,8355966.0,0.0,1.0,MRNA,147.53612903225806
2022-06-21,130.495,134.575,129.67,129.99,129.99,4321370.0,0.0,1.0,MRNA,146.62112903225807
2022-06-22,127.5,139.9,126.5901,136.07,136.07,6048409.0,0.0,1.0,MRNA,145.93306451612904
2022-06-23,136.04,143.66,132.8,143.26,143.26,4721237.0,0.0,1.0,MRNA,145.34564516129032
2022-06-24,143.99,144.89,138.22,144.27,144.27,8480488.0,0.0,1.0,MRNA,144.99645161290323
2022-06-27,143.0,146.4,138.49,145.36,145.36,4392762.0,0.0,1.0,MRNA,144.54935483870966
2022-06-28,143.4,149.79,140.95,142.19,142.19,3988199.0,0.0,1.0,MRNA,143.9291935483871
2022-06-29,140.425,144.36,138.618,142.81,142.81,2908054.0,0.0,1.0,MRNA,143.41129032258064
2022-06-30,143.4,147.35,135.52,142.85,142.85,5631685.0,0.0,1.0,MRNA,142.93693548387097
2022-07-01,141.93,151.1,139.54,149.95,149.95,4838179.0,0.0,1.0,MRNA,142.50725806451615
2022-07-05,148.66,158.79,146.84,155.54,155.54,6016132.0,0.0,1.0,MRNA,142.23306451612902
2022-07-06,154.51,161.01,150.4,159.56,159.56,4955561.0,0.0,1.0,MRNA,142.19290322580648
2022-07-07,159.5,173.66,159.38,172.4,172.4,7626049.0,0.0,1.0,MRNA,142.47967741935483
2022-07-08,170.72,180.73,170.36,176.23,176.23,7547201.0,0.0,1.0,MRNA,142.75758064516128
2022-07-11,173.51,180.48,171.29,175.26,175.26,6596961.0,0.0,1.0,MRNA,142.99016129032256
2022-07-12,174.73,176.9,170.16,173.25,173.25,5141500.0,0.0,1.0,MRNA,143.20387096774192
2022-07-13,168.88,176.65,167.15,171.24,171.24,4075781.0,0.0,1.0,MRNA,143.3932258064516
2022-07-14,169.24,170.8618,155.93,159.92,159.92,6758967.0,0.0,1.0,MRNA,143.23612903225805
2022-07-15,161.0,167.0,155.93,166.91,166.91,4272920.0,0.0,1.0,MRNA,143.2590322580645
2022-07-18,169.11,172.73,162.56,163.4,163.4,3515388.0,0.0,1.0,MRNA,143.39854838709675
2022-07-19,166.76,167.98,161.27,167.14,167.14,3006549.0,0.0,1.0,MRNA,143.6311290322581
2022-07-20,167.0,172.51,163.92,166.89,166.89,2888851.0,0.0,1.0,MRNA,143.9016129032258
2022-07-21,165.36,171.89,165.25,168.89,168.89,2518414.0,0.0,1.0,MRNA,144.295
2022-07-22,170.0,171.105,161.435,163.52,163.52,2925006.0,0.0,1.0,MRNA,144.66887096774192
2022-07-25,162.75,167.2681,159.13,165.69,165.69,2488493.0,0.0,1.0,MRNA,144.91532258064515
2022-07-26,166.3,166.3,159.905,160.9,160.9,2884682.0,0.0,1.0,MRNA,145.1590322580645
2022-07-27,161.0,161.2819,154.1,158.02,158.02,4284987.0,0.0,1.0,MRNA,145.41048387096777
2022-07-28,157.0,158.81,151.73,158.07,158.07,3494595.0,0.0,1.0,MRNA,145.66129032258064
2022-07-29,161.44,164.6,159.44,164.09,164.09,3858971.0,0.0,1.0,MRNA,146.14000000000001
2022-08-01,163.85,166.1794,160.06,161.51,161.51,3793993.0,0.0,1.0,MRNA,146.4533870967742
2022-08-02,161.03,165.29,160.76,160.81,160.81,3522816.0,0.0,1.0,MRNA,146.68354838709678
2022-08-03,167.74,189.33,167.74,186.49,186.49,13750872.0,0.0,1.0,MRNA,147.19064516129032
2022-08-04,185.75,197.44,185.47,194.18,194.18,6876984.0,0.0,1.0,MRNA,148.03193548387097
2022-08-05,189.271,192.4,182.26,186.84,186.84,5426044.0,0.0,1.0,MRNA,148.87774193548387
2022-08-08,185.2,190.28,180.09,182.94,182.94,4078574.0,0.0,1.0,MRNA,149.63806451612902
2022-08-09,176.01,180.71,169.2021,171.14,171.14,5082546.0,0.0,1.0,MRNA,150.2641935483871
2022-08-10,174.09,176.68,169.82,174.27,174.27,3550260.0,0.0,1.0,MRNA,151.0841935483871
2022-08-11,174.435,179.85,171.06,171.81,171.81,3340457.0,0.0,1.0,MRNA,151.75580645161293
2022-08-12,172.68,173.95,168.64,171.18,171.18,2818023.0,0.0,1.0,MRNA,152.29241935483873
2022-08-15,172.85,179.33,171.85,176.78,176.78,4883969.0,0.0,1.0,MRNA,152.94596774193548
2022-08-16,176.0,180.13,166.605,167.96,167.96,5053641.0,0.0,1.0,MRNA,153.36016129032257
2022-08-17,165.0445,167.62,157.68,158.0,158.0,5518239.0,0.0,1.0,MRNA,153.6874193548387
2022-08-18,157.0,158.5099,148.26,150.0,150.0,7043405.0,0.0,1.0,MRNA,153.79419354838709
2022-08-19,147.64,150.75,144.99,146.1,146.1,4688345.0,0.0,1.0,MRNA,153.95306451612905
2022-08-22,145.25,148.88,141.57,142.47,142.47,4488861.0,0.0,1.0,MRNA,154.03129032258065
2022-08-23,141.7,144.8084,139.21,143.78,143.78,3677613.0,0.0,1.0,MRNA,154.2203225806452
2022-08-24,142.66,144.22,140.63,141.43,141.43,3486365.0,0.0,1.0,MRNA,154.39096774193547
2022-08-25,142.25,142.28,137.78,142.05,142.05,3422769.0,0.0,1.0,MRNA,154.4917741935484
2022-08-26,142.8,145.5,136.66,136.7,136.7,3997176.0,0.0,1.0,MRNA,154.31499999999997
2022-08-29,135.09,139.37,135.0,137.26,137.26,3222096.0,0.0,1.0,MRNA,154.1848387096774
2022-08-30,137.9,138.0,132.8182,135.93,135.93,3607065.0,0.0,1.0,MRNA,154.06435483870968
2022-08-31,136.95,139.88,131.71,132.27,132.27,4396470.0,0.0,1.0,MRNA,153.9367741935484
2022-09-01,131.13,139.0,130.11,138.95,138.95,6664827.0,0.0,1.0,MRNA,153.9658064516129
2022-09-02,140.36,140.93,137.4691,138.57,138.57,5267679.0,0.0,1.0,MRNA,153.9427419354839
2022-09-06,138.0,138.4,129.82,130.08,130.08,5852654.0,0.0,1.0,MRNA,153.69661290322583
2022-09-07,129.68,135.1,129.58,134.9,134.9,3967579.0,0.0,1.0,MRNA,153.47677419354838
2022-09-08,136.7,142.26,136.1,141.28,141.28,5053507.0,0.0,1.0,MRNA,153.5935483870968
2022-09-09,142.04,142.65,138.06,142.28,142.28,3500908.0,0.0,1.0,MRNA,153.838064516129
2022-09-12,142.0,144.7878,139.76,140.32,140.32,3442187.0,0.0,1.0,MRNA,154.21209677419355
2022-09-13,136.06,138.23,131.05,131.3,131.3,4907231.0,0.0,1.0,MRNA,154.36919354838713
2022-09-14,134.01,141.82,133.59,139.4,139.4,7904864.0,0.0,1.0,MRNA,154.54451612903227
2022-09-15,138.61,139.8399,135.58,135.86,135.86,4359813.0,0.0,1.0,MRNA,154.78290322580648
2022-09-16,134.37,139.8799,133.76,137.74,137.74,7562353.0,0.0,1.0,MRNA,154.93951612903226
2022-09-19,135.7,135.99,123.6854,127.9,127.9,11469070.0,0.0,1.0,MRNA,154.9058064516129
2022-09-20,125.8,134.35,125.79,129.705,129.705,8551118.0,0.0,1.0,MRNA,154.80314516129033
2022-09-21,130.37,131.79,125.68,125.76,125.76,3852922.0,0.0,1.0,MRNA,154.5208870967742
