date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,258.15,260.64,251.84,256.61,239.895530636173,1397099.0,0.0,1.0,NSC,250.8425879048973
2022-05-03,255.9,259.04,254.71,256.08,239.400052551776,1648616.0,0.0,1.0,NSC,250.4996060358442
2022-05-04,258.46,265.32,257.4,264.67,247.430536976252,1779949.0,0.0,1.0,NSC,250.33148124457733
2022-05-05,261.0,262.53,254.76,256.87,241.297827101448,1159796.0,1.24,1.0,NSC,250.1458654436361
2022-05-06,256.34,256.49,249.84,255.74,240.236330840209,1124471.0,0.0,1.0,NSC,250.03932928846464
2022-05-09,253.09,254.39,248.515,249.5,234.374616972832,1319579.0,0.0,1.0,NSC,249.74808019067592
2022-05-10,252.02,254.17,242.23,245.75,230.851952389072,1453326.0,0.0,1.0,NSC,249.3406048031149
2022-05-11,246.07,251.54,245.315,246.54,231.594060394717,876451.0,0.0,1.0,NSC,248.9696767837997
2022-05-12,245.84,248.54,240.38,246.06,231.143159327996,1352080.0,0.0,1.0,NSC,248.66867786450743
2022-05-13,247.98,253.055,246.82,249.32,234.205529072812,1116431.0,0.0,1.0,NSC,248.34077501513917
2022-05-16,248.94,250.365,246.45,247.1,232.120111639226,745113.0,0.0,1.0,NSC,247.93611201479166
2022-05-17,249.93,252.785,248.23,251.7,236.441246861971,1189611.0,0.0,1.0,NSC,247.57656685955942
2022-05-18,250.68,250.83,237.175,237.57,223.167846710364,1700088.0,0.0,1.0,NSC,247.0561615569617
2022-05-19,228.87,233.77,225.165,228.03,214.206188009278,1698341.0,0.0,1.0,NSC,246.4365995265022
2022-05-20,228.63,229.57,222.54,228.86,214.985871103817,1518574.0,0.0,1.0,NSC,246.0085943098558
2022-05-23,230.86,233.58,229.77,232.79,218.677623587597,1160268.0,0.0,1.0,NSC,245.7108514496375
2022-05-24,231.08,232.67,227.2062,232.31,218.226722520876,1091904.0,0.0,1.0,NSC,245.40010617805478
2022-05-25,232.77,234.61,230.815,232.61,218.508535687577,1147163.0,0.0,1.0,NSC,244.99755494235325
2022-05-26,234.71,239.43,234.52,236.7,222.350588526931,949957.0,0.0,1.0,NSC,244.71592906620282
2022-05-27,238.36,241.94,237.58,241.03,226.418091899646,1077824.0,0.0,1.0,NSC,244.52177184525374
2022-05-31,241.08,242.14,238.06,239.66,225.131145105046,2465200.0,0.0,1.0,NSC,244.09349725682566
2022-06-01,241.84,244.07,239.86,241.94,227.272925171972,1164337.0,0.0,1.0,NSC,243.6578493987946
2022-06-02,244.12,247.12,240.56,246.81,231.847692244748,1004654.0,0.0,1.0,NSC,243.10645190679213
2022-06-03,245.32,247.62,243.215,244.66,229.828031216726,802957.0,0.0,1.0,NSC,242.61687037533363
2022-06-06,245.64,246.0,242.52,244.68,229.846818761173,721683.0,0.0,1.0,NSC,242.31818356041003
2022-06-07,239.56,250.05,238.41,249.4,234.280679250598,1088118.0,0.0,1.0,NSC,242.11935812278597
2022-06-08,247.07,248.11,241.94,242.81,228.090183355404,939871.0,0.0,1.0,NSC,241.72931053008276
2022-06-09,241.74,243.625,237.185,237.45,223.055121443683,846164.0,0.0,1.0,NSC,241.2958991874899
2022-06-10,232.55,234.06,228.05,229.36,215.455559714985,1343186.0,0.0,1.0,NSC,240.75876233939752
2022-06-13,224.67,227.05,221.72,223.07,209.546876986492,1425740.0,0.0,1.0,NSC,240.09661959744136
2022-06-14,225.32,228.63,221.44,222.81,209.302638908684,1215247.0,0.0,1.0,NSC,239.35122484985015
2022-06-15,225.01,228.92,220.85,224.5,210.890186414432,1134191.0,0.0,1.0,NSC,238.6153017586114
2022-06-16,219.51,224.61,219.31,222.79,209.283851364237,1582620.0,0.0,1.0,NSC,237.84683551661985
2022-06-17,220.07,223.33,220.05,221.47,208.043873430754,2192756.0,0.0,1.0,NSC,237.00830915457516
2022-06-21,225.24,226.818,223.18,224.2,210.608373247731,1057162.0,0.0,1.0,NSC,236.19908292751163
2022-06-22,221.23,226.155,221.23,224.14,210.552010614391,1118665.0,0.0,1.0,NSC,235.41488257109606
2022-06-23,224.84,225.91,220.08,221.69,208.250536419668,1106036.0,0.0,1.0,NSC,234.55857964380388
2022-06-24,222.5,231.08,222.5,230.43,216.460693342885,1486623.0,0.0,1.0,NSC,233.77724968266367
2022-06-27,230.7,231.04,226.63,227.73,213.924374842577,972972.0,0.0,1.0,NSC,232.93601250327922
2022-06-28,231.15,233.88,226.0001,226.39,212.665609364647,944995.0,0.0,1.0,NSC,232.05879106001544
2022-06-29,227.19,228.45,223.215,227.13,213.360748509176,751655.0,0.0,1.0,NSC,231.14015772484825
2022-06-30,224.6,228.14,223.2,227.29,213.511048864749,1091325.0,0.0,1.0,NSC,230.28320692346483
2022-07-01,227.1,230.26,224.64,228.55,214.694664164893,698157.0,0.0,1.0,NSC,229.737567180654
2022-07-05,225.66,227.17,221.47,224.18,210.589585703285,932481.0,0.0,1.0,NSC,229.10973333090115
2022-07-06,223.89,227.28,223.49,225.74,212.055014170129,1075544.0,0.0,1.0,NSC,228.57565024742567
2022-07-07,226.13,229.165,225.04,228.75,214.88253960936,767279.0,0.0,1.0,NSC,228.16738980216644
2022-07-08,228.35,229.16,222.37,226.2,212.487127692403,899854.0,0.0,1.0,NSC,227.69440795088184
2022-07-11,224.72,227.505,224.3,225.57,211.895320042332,983103.0,0.0,1.0,NSC,227.21957082779275
2022-07-12,221.48,224.0,219.69,222.36,208.879919158633,1363210.0,0.0,1.0,NSC,226.7313817950606
2022-07-13,219.35,223.605,217.885,221.47,208.043873430754,1118717.0,0.0,1.0,NSC,226.1858298450621
2022-07-14,217.55,222.02,217.0,221.7,208.259930191891,941298.0,0.0,1.0,NSC,225.61043929241254
2022-07-15,228.95,230.3,225.45,227.89,214.074675198151,3217853.0,0.0,1.0,NSC,225.09671783694952
2022-07-18,229.45,232.235,228.47,229.06,215.173746548284,955045.0,0.0,1.0,NSC,224.60901648988545
2022-07-19,231.33,236.51,230.25,236.19,221.87150614354,1049380.0,0.0,1.0,NSC,224.1939091503428
2022-07-20,236.2,238.5,234.09,237.87,223.449659877064,1358404.0,0.0,1.0,NSC,223.75826661059793
2022-07-21,237.53,243.37,237.53,242.11,227.432619299769,1455125.0,0.0,1.0,NSC,223.35806549972816
2022-07-22,242.31,245.25,241.32,243.1,228.362602749882,1064423.0,0.0,1.0,NSC,223.1421951897208
2022-07-25,242.54,247.03,241.76,246.9,231.932236194758,1002639.0,0.0,1.0,NSC,222.9665593875871
2022-07-26,245.51,247.72,244.165,244.61,229.781062355609,1097297.0,0.0,1.0,NSC,222.83312736194995
2022-07-27,241.47,244.57,236.12,243.24,228.494115561009,2024507.0,0.0,1.0,NSC,222.55996910724917
2022-07-28,245.7,245.965,240.92,244.83,229.987725344523,1257062.0,0.0,1.0,NSC,222.26084085696297
2022-07-29,245.31,252.1,244.89,251.17,235.943376934133,1280844.0,0.0,1.0,NSC,222.17794680251177
2022-08-01,249.03,254.44,247.97,253.01,237.671831023231,1150818.0,0.0,1.0,NSC,222.1420806797224
2022-08-02,252.56,252.5629,247.79,248.02,232.984338683775,1446689.0,0.0,1.0,NSC,222.03860142378687
2022-08-03,249.14,251.365,249.02,250.3,235.126118750701,758662.0,0.0,1.0,NSC,221.84014306531026
2022-08-04,250.62,253.1,249.74,250.93,235.717926400773,1467792.0,0.0,1.0,NSC,221.75014466691226
2022-08-05,248.18,251.54,247.77,251.02,236.967298106479,627594.0,1.24,1.0,NSC,221.69741833249728
2022-08-08,252.75,254.16,249.61,249.74,235.758955577692,1220866.0,0.0,1.0,NSC,221.71974637451115
2022-08-09,250.0,251.59,249.07,249.34,235.381348537446,701914.0,0.0,1.0,NSC,221.79280115109782
2022-08-10,253.72,258.75,252.63,257.57,243.15061339051,1352300.0,0.0,1.0,NSC,221.97919716715901
2022-08-11,259.07,264.11,259.07,260.21,245.642819856135,1140539.0,0.0,1.0,NSC,222.21306265954834
2022-08-12,261.1,261.95,260.1767,261.84,247.181568545138,863523.0,0.0,1.0,NSC,222.4223536187794
2022-08-15,260.67,261.36,256.74,257.06,242.669164414196,1126962.0,0.0,1.0,NSC,222.5924996312789
2022-08-16,255.83,259.04,255.61,257.61,243.188374094535,1456486.0,0.0,1.0,NSC,222.70132426406224
2022-08-17,255.05,258.31,253.63,257.8,243.367737438652,949879.0,0.0,1.0,NSC,223.02712895322816
2022-08-18,258.43,259.24,256.72,258.6,244.122951519144,729560.0,0.0,1.0,NSC,223.50965739693567
2022-08-19,257.4,257.89,255.11,255.75,241.43250135739,822030.0,0.0,1.0,NSC,223.93621594941266
2022-08-22,252.86,257.335,251.42,256.91,242.527561774104,1296648.0,0.0,1.0,NSC,224.32089237177567
