date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,603.21,624.7,601.575,610.65,610.65,917635.0,0.0,1.0,ORLY,681.2874193548387
2022-05-03,612.12,613.87,596.31,603.49,603.49,676643.0,0.0,1.0,ORLY,680.1756451612903
2022-05-04,601.78,629.4829,599.9,628.08,628.08,813776.0,0.0,1.0,ORLY,679.653064516129
2022-05-05,624.27,627.5025,596.93,603.55,603.55,683096.0,0.0,1.0,ORLY,678.9614516129033
2022-05-06,599.05,609.43,586.82,608.4,608.4,683479.0,0.0,1.0,ORLY,678.548064516129
2022-05-09,603.79,614.51,600.15,610.07,610.07,872636.0,0.0,1.0,ORLY,678.1116129032258
2022-05-10,622.35,627.99,604.27,611.81,611.81,842779.0,0.0,1.0,ORLY,677.6533870967743
2022-05-11,608.11,619.81,603.78,607.53,607.53,810214.0,0.0,1.0,ORLY,676.8320967741936
2022-05-12,606.34,628.18,606.34,622.34,622.34,770908.0,0.0,1.0,ORLY,676.091129032258
2022-05-13,619.51,643.13,619.01,635.62,635.62,594615.0,0.0,1.0,ORLY,675.6811290322581
2022-05-16,634.35,643.965,629.7,638.83,638.83,566116.0,0.0,1.0,ORLY,675.1016129032258
2022-05-17,648.99,652.3,636.1,648.34,648.34,533671.0,0.0,1.0,ORLY,674.6161290322581
2022-05-18,637.32,638.51,592.55,599.87,599.87,963721.0,0.0,1.0,ORLY,673.4053225806451
2022-05-19,597.61,609.83,586.35,601.53,601.53,805544.0,0.0,1.0,ORLY,672.1887096774193
2022-05-20,602.27,602.61,562.9,572.57,572.57,1513531.0,0.0,1.0,ORLY,670.9041935483871
2022-05-23,580.57,583.2199,567.67,579.11,579.11,875793.0,0.0,1.0,ORLY,670.0551612903225
2022-05-24,585.53,611.61,578.11,608.18,608.18,768906.0,0.0,1.0,ORLY,669.5877419354839
2022-05-25,608.17,619.08,604.0,615.79,615.79,690120.0,0.0,1.0,ORLY,668.96
2022-05-26,620.0,642.72,617.62,639.15,639.15,525592.0,0.0,1.0,ORLY,668.7972580645161
2022-05-27,639.02,649.88,639.02,647.34,647.34,513519.0,0.0,1.0,ORLY,668.6491935483871
2022-05-31,641.27,647.36,634.16,637.17,637.17,659299.0,0.0,1.0,ORLY,668.025
2022-06-01,640.0,641.0,623.97,624.61,624.61,544945.0,0.0,1.0,ORLY,667.0640322580645
2022-06-02,624.87,634.48,613.6,634.12,634.12,502147.0,0.0,1.0,ORLY,666.4193548387096
2022-06-03,631.76,637.73,612.5,631.61,631.61,350812.0,0.0,1.0,ORLY,665.9545161290323
2022-06-06,634.47,639.56,629.03,637.8,637.8,314654.0,0.0,1.0,ORLY,665.6743548387097
