date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,161.6,162.0,156.19,158.38,147.753447022177,10351637.0,0.0,1.0,PG,144.78799560924656
2022-05-03,158.22,158.99,155.01,156.21,145.72904381446,10344012.0,0.0,1.0,PG,144.70551093255028
2022-05-04,155.83,157.55,155.15,157.36,146.80188422408,7750538.0,0.0,1.0,PG,144.61728740395137
2022-05-05,156.3,157.295,153.14,154.46,144.096460582431,8217145.0,0.0,1.0,PG,144.52448094778495
2022-05-06,154.77,156.24,153.87,156.0,145.533133826617,7304756.0,0.0,1.0,PG,144.47295164245034
2022-05-09,153.96,156.76,152.75,155.61,145.16930099205,8540760.0,0.0,1.0,PG,144.42094067767607
2022-05-10,155.55,156.62,153.94,154.79,144.404319134756,7447352.0,0.0,1.0,PG,144.3619779079342
2022-05-11,154.03,155.9,152.35,152.61,142.37058688,7692196.0,0.0,1.0,PG,144.30657263662872
2022-05-12,153.52,153.61,149.88,151.99,141.79218596351,9600841.0,0.0,1.0,PG,144.25500559227007
2022-05-13,152.58,153.73,150.42,153.62,143.312820631057,5675512.0,0.0,1.0,PG,144.22123164841003
2022-05-16,153.47,155.9,152.03,155.12,144.712177687082,5970990.0,0.0,1.0,PG,144.2088309547392
2022-05-17,155.13,156.75,153.07,154.68,144.301699617315,6509118.0,0.0,1.0,PG,144.17200390153485
2022-05-18,154.67,154.76,144.545,145.04,135.308498270593,9670680.0,0.0,1.0,PG,143.9630425251646
2022-05-19,143.41,143.42,140.6,141.7,132.192596559177,9694141.0,0.0,1.0,PG,143.70262764467006
2022-05-20,142.15,142.45,139.18,141.79,132.276557982538,7786869.0,0.0,1.0,PG,143.47304371903851
2022-05-23,142.84,145.63,142.08,145.05,135.317827317633,7134483.0,0.0,1.0,PG,143.3219892629753
2022-05-24,144.89,147.94,144.82,147.63,137.724721453996,7207400.0,0.0,1.0,PG,143.27259948774426
2022-05-25,147.11,147.14,143.5,145.21,135.467092070276,8217750.0,0.0,1.0,PG,143.08983731781615
2022-05-26,146.48,147.38,145.04,146.48,136.651881044377,5702555.0,0.0,1.0,PG,142.96134725413998
2022-05-27,146.97,148.72,146.63,148.72,138.741587581375,6028846.0,0.0,1.0,PG,142.90516618788894
2022-05-31,147.29,148.9899,146.1606,147.88,137.957947630001,12416917.0,0.0,1.0,PG,142.82916361813602
2022-06-01,148.0,148.12,144.71,145.64,135.868241093003,7036042.0,0.0,1.0,PG,142.71092730176917
2022-06-02,145.97,147.26,142.63,147.21,137.332901478309,6480034.0,0.0,1.0,PG,142.6046435471519
2022-06-03,146.36,147.21,145.119,145.89,136.101467269007,4720680.0,0.0,1.0,PG,142.51291241655142
2022-06-06,147.37,147.64,144.59,145.32,135.569711587718,4751096.0,0.0,1.0,PG,142.5031295900743
2022-06-07,143.67,147.18,143.43,146.94,137.081017208225,4918620.0,0.0,1.0,PG,142.48809629423155
2022-06-08,146.3,146.4297,144.99,145.11,135.373801599874,4369642.0,0.0,1.0,PG,142.5028348302361
2022-06-09,145.41,146.89,142.34,142.49,132.92959127535,4626787.0,0.0,1.0,PG,142.5038866545909
2022-06-10,140.89,143.15,139.45,141.95,132.425822735181,6632052.0,0.0,1.0,PG,142.4694312351424
2022-06-13,139.5,140.49,137.63,138.15,128.880784859917,8549451.0,0.0,1.0,PG,142.2996919102069
2022-06-14,137.51,137.58,132.54,133.84,124.859965585605,9980162.0,0.0,1.0,PG,142.07273169528005
2022-06-15,134.44,134.9,129.5,132.51,123.619202329263,12178070.0,0.0,1.0,PG,141.8187266484331
2022-06-16,131.03,135.07,130.6,133.32,124.374855139516,9683288.0,0.0,1.0,PG,141.57810657504655
2022-06-17,132.56,134.26,131.43,132.36,123.47926662366,17113329.0,0.0,1.0,PG,141.31451272312898
2022-06-21,134.62,137.0,133.43,136.37,127.220214486768,9017016.0,0.0,1.0,PG,141.0938998788066
2022-06-22,135.68,139.69,135.67,138.5,129.207301506323,8374622.0,0.0,1.0,PG,140.92119740515193
2022-06-23,139.05,142.475,138.9,142.3,132.752339381587,6418526.0,0.0,1.0,PG,140.80178263079276
