date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,168.4,169.1,164.0953,167.54,149.768043001313,2395010.0,0.0,1.0,PNC,168.56845299897708
2022-05-03,169.12,171.5984,168.03,169.66,151.663162084294,2250136.0,0.0,1.0,PNC,167.99944336504575
2022-05-04,169.52,174.28,168.52,173.72,155.292493913024,2183494.0,0.0,1.0,PNC,167.52986593246874
2022-05-05,171.47,171.79,166.33,168.87,150.956962048655,1881591.0,0.0,1.0,PNC,166.9569013556026
2022-05-06,168.46,168.83,164.59,166.62,148.945632833226,2341990.0,0.0,1.0,PNC,166.36079021021501
2022-05-09,164.57,165.615,162.701,163.67,146.308556750775,2050575.0,0.0,1.0,PNC,165.69840955815303
2022-05-10,164.71,166.225,159.62,161.84,144.672675655559,2005616.0,0.0,1.0,PNC,165.0182230120059
2022-05-11,162.54,166.55,159.65,159.83,142.87588822311,1756153.0,0.0,1.0,PNC,164.31091486845511
2022-05-12,158.88,160.52,156.2032,159.3,142.402108452364,2030613.0,0.0,1.0,PNC,163.64272221824
2022-05-13,161.05,161.45,156.75,157.44,140.739409634276,2162096.0,0.0,1.0,PNC,162.98760551979788
2022-05-16,157.08,157.75,153.125,155.27,138.799594346507,2598488.0,0.0,1.0,PNC,162.26373860073912
2022-05-17,158.18,161.225,157.67,160.43,143.412242680557,1846307.0,0.0,1.0,PNC,161.59425090409212
2022-05-18,159.11,159.53,155.35,155.93,139.3895842497,1905163.0,0.0,1.0,PNC,160.96411993102066
2022-05-19,154.14,156.1,152.69,154.75,138.334753816719,2049830.0,0.0,1.0,PNC,160.3188344089241
2022-05-20,155.57,157.16,152.35,155.98,139.434280454487,2014476.0,0.0,1.0,PNC,159.66397246393393
2022-05-23,158.82,163.615,158.51,162.17,144.967670607156,2047517.0,0.0,1.0,PNC,159.15655489624723
2022-05-24,161.7,163.82,158.71,163.26,145.942047871519,2218632.0,0.0,1.0,PNC,158.7134690384854
2022-05-25,162.86,169.16,162.83,167.63,149.84849616993,2814361.0,0.0,1.0,PNC,158.23244082603992
2022-05-26,168.9,174.35,168.47,172.95,154.604172359299,2648790.0,0.0,1.0,PNC,157.87701899202042
2022-05-27,172.76,175.06,172.56,175.05,156.481412960366,1651803.0,0.0,1.0,PNC,157.72431885809797
2022-05-31,172.53,176.47,172.18,175.41,156.803225634835,2995528.0,0.0,1.0,PNC,157.483724010344
2022-06-01,175.84,176.0,170.14,172.44,154.148271070469,1325903.0,0.0,1.0,PNC,157.23047779990367
2022-06-02,172.41,175.56,170.96,175.51,156.892618044409,1418036.0,0.0,1.0,PNC,157.11758324087697
2022-06-03,173.58,175.25,172.81,173.3,154.91704579281,1267324.0,0.0,1.0,PNC,157.06104825935557
2022-06-06,174.99,176.33,172.82,173.08,154.720382491746,924790.0,0.0,1.0,PNC,156.95987474556915
2022-06-07,170.82,173.345,170.72,173.2,154.827653383236,1221244.0,0.0,1.0,PNC,156.7867925456514
2022-06-08,171.71,171.71,168.89,169.9,151.877703867274,1112766.0,0.0,1.0,PNC,156.59172538135977
2022-06-09,169.15,169.49,162.94,163.0,145.709627606625,2103237.0,0.0,1.0,PNC,156.3373527668976
2022-06-10,158.87,161.7,157.41,158.33,141.53500207949,2252315.0,0.0,1.0,PNC,155.99834592482182
2022-06-13,154.39,158.675,154.06,155.53,139.032014611401,2955324.0,0.0,1.0,PNC,155.5920865578725
2022-06-14,156.13,159.41,154.28,155.66,139.148224743848,1932645.0,0.0,1.0,PNC,155.08546506986437
2022-06-15,156.68,159.02,154.56,156.51,139.908060225232,1918205.0,0.0,1.0,PNC,154.581375803327
2022-06-16,153.74,153.93,150.67,151.48,135.411622023629,3403839.0,0.0,1.0,PNC,154.00619322080126
2022-06-17,150.0,155.46,149.51,154.09,137.744763913527,6732443.0,0.0,1.0,PNC,153.46807000675568
2022-06-21,157.62,158.6999,155.47,156.49,139.890181743317,2184587.0,0.0,1.0,PNC,152.90220750270538
2022-06-22,154.9,158.04,154.8,156.61,139.997452634807,1868480.0,0.0,1.0,PNC,152.40527957247235
2022-06-23,155.63,156.4734,153.16,155.8,139.273374117253,2157538.0,0.0,1.0,PNC,151.88837964776468
2022-06-24,156.91,162.95,156.52,162.84,145.566599751306,3039195.0,0.0,1.0,PNC,151.42694120018044
2022-06-27,164.0,164.45,160.46,161.45,144.324045258218,1462763.0,0.0,1.0,PNC,150.97062745338002
2022-06-28,162.57,164.95,159.73,159.75,142.80437429545,1577503.0,0.0,1.0,PNC,150.49909710987527
2022-06-29,160.25,160.25,157.075,157.37,140.676834947574,1132782.0,0.0,1.0,PNC,150.0408666466266
2022-06-30,154.03,159.455,152.54,157.77,141.034404585873,2296078.0,0.0,1.0,PNC,149.67819995058088
2022-07-01,157.27,161.51,155.2,161.3,144.189956643857,2165169.0,0.0,1.0,PNC,149.41375831033636
2022-07-05,158.0,161.15,155.68,161.09,144.00223258375,1936283.0,0.0,1.0,PNC,149.122409853116
2022-07-06,160.09,161.4814,158.53,160.03,143.054673042259,1692923.0,0.0,1.0,PNC,148.82178367689352
2022-07-07,161.09,162.94,160.5,162.31,145.09281998056,1561105.0,0.0,1.0,PNC,148.57447813399224
2022-07-08,162.98,163.68,160.5424,161.38,144.261470571516,1456679.0,0.0,1.0,PNC,148.30775823024587
2022-07-11,160.95,161.58,158.8858,160.22,143.224518620451,1776981.0,0.0,1.0,PNC,147.97684125208352
2022-07-12,158.0,160.45,156.18,157.09,141.767422344384,1681330.0,1.5,1.0,PNC,147.63271786292538
2022-07-13,155.14,155.89,151.42,154.31,139.258583881609,3068741.0,0.0,1.0,PNC,147.28716508342916
2022-07-14,150.57,151.925,149.51,150.96,136.235343287977,2120397.0,0.0,1.0,PNC,146.91173810992967
2022-07-15,148.0,154.15,146.39,153.42,138.455394589569,4838786.0,0.0,1.0,PNC,146.62171678467146
2022-07-18,156.03,159.21,153.385,154.67,139.58346943794,2219902.0,0.0,1.0,PNC,146.33907661709966
2022-07-19,156.85,160.815,156.3325,160.19,144.565047968343,2018572.0,0.0,1.0,PNC,146.1036227900148
2022-07-20,158.99,160.61,157.88,160.15,144.528949573195,1683082.0,0.0,1.0,PNC,145.84466190313344
2022-07-21,159.39,161.74,158.973,161.61,145.846540996091,1547486.0,0.0,1.0,PNC,145.63665383980256
