date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,406.47,414.03,399.37,412.08,397.161955557872,445007.0,0.0,1.0,POOL,425.96084738770287
2022-05-03,413.82,416.315,401.96,406.16,391.456270310099,477660.0,0.0,1.0,POOL,424.9615131355001
2022-05-04,405.0,418.31,392.62,416.92,401.826738767201,386411.0,0.0,1.0,POOL,424.33459182409337
2022-05-05,412.6,414.31,394.915,400.56,386.059000481124,508456.0,0.0,1.0,POOL,423.5996864370843
2022-05-06,394.62,400.69,380.39,394.3,380.025623850876,447496.0,0.0,1.0,POOL,422.76001990699956
2022-05-09,390.0,402.25,387.47,399.84,385.365065788827,426848.0,0.0,1.0,POOL,421.9588332966746
2022-05-10,406.99,411.32,382.5,395.94,381.606252872219,539230.0,0.0,1.0,POOL,420.8973046341152
2022-05-11,393.44,400.09,380.1,381.41,367.602265262396,498616.0,0.0,1.0,POOL,419.7861891341479
2022-05-12,377.52,403.93,377.52,403.75,389.133516687272,500492.0,0.0,1.0,POOL,419.13299487807535
2022-05-13,405.49,413.18,405.37,411.16,397.239059412572,338844.0,1.0,1.0,POOL,418.54241137444217
2022-05-16,408.57,408.57,396.63,401.18,387.596959468663,300619.0,0.0,1.0,POOL,417.6623902072298
2022-05-17,405.25,409.79,394.47,405.21,391.490512852827,315652.0,0.0,1.0,POOL,416.8357023376561
2022-05-18,398.7,399.95,385.04,387.31,374.196566059644,397448.0,0.0,1.0,POOL,415.95136583259904
2022-05-19,382.93,403.51,382.29,393.46,380.138341075179,461304.0,0.0,1.0,POOL,415.02459945943355
2022-05-20,396.32,408.17,394.86,405.58,391.847985496038,826847.0,0.0,1.0,POOL,414.67014690358667
2022-05-23,404.76,409.5227,399.9301,404.76,391.0557488273,592337.0,0.0,1.0,POOL,414.53103022588306
2022-05-24,403.37,404.945,382.52,389.2,376.022574966857,440488.0,0.0,1.0,POOL,413.8289973009283
2022-05-25,386.42,397.81,379.09,393.49,380.167325343548,562995.0,0.0,1.0,POOL,412.9871160728178
2022-05-26,398.77,403.475,394.43,400.86,387.2877939394,702783.0,0.0,1.0,POOL,412.11747113692246
2022-05-27,402.46,409.07,397.585,406.0,392.253765253196,534037.0,0.0,1.0,POOL,411.26693696264243
2022-05-31,406.64,406.64,395.38,398.62,385.123635234555,770533.0,0.0,1.0,POOL,410.1001328586744
2022-06-01,399.96,403.24,387.65,393.04,379.732561318021,339488.0,0.0,1.0,POOL,408.939949197917
2022-06-02,393.63,415.01,393.63,414.51,400.47563604705,224988.0,0.0,1.0,POOL,408.17081660252074
2022-06-03,407.86,414.99,405.36,407.27,393.480765947461,331339.0,0.0,1.0,POOL,407.5101495118605
2022-06-06,410.0,413.335,404.4,411.61,397.673823438099,318659.0,0.0,1.0,POOL,407.1428985769119
2022-06-07,408.73,412.15,402.01,410.8,396.891248192151,350658.0,0.0,1.0,POOL,406.4442867341409
2022-06-08,408.95,412.27,405.34,406.87,393.094309035882,197073.0,0.0,1.0,POOL,405.75687425233747
2022-06-09,401.47,421.91,401.47,416.39,402.291983531474,477655.0,0.0,1.0,POOL,405.3729517764917
2022-06-10,407.53,409.305,383.06,385.03,371.993761663641,519128.0,0.0,1.0,POOL,404.5162043374134
2022-06-13,373.74,380.7699,366.68,368.87,356.380902435829,584303.0,0.0,1.0,POOL,403.2252921898973
2022-06-14,367.48,368.7,337.29,349.44,337.608757955855,931123.0,0.0,1.0,POOL,401.39998105177176
2022-06-15,351.19,361.68,346.08,353.82,341.84046113765,524925.0,0.0,1.0,POOL,399.5272674087225
2022-06-16,345.86,345.86,329.65,332.18,320.933142221199,490657.0,0.0,1.0,POOL,397.1267556261704
2022-06-17,334.05,339.56,331.32,332.93,321.657748930411,538003.0,0.0,1.0,POOL,394.91809912843803
2022-06-21,336.0,340.39,331.69,332.76,321.493504742989,342312.0,0.0,1.0,POOL,392.69031569099303
2022-06-22,330.06,337.22,324.14,335.78,324.411254425415,419713.0,0.0,1.0,POOL,390.769973693228
2022-06-23,336.48,353.555,335.79,353.03,341.077208737281,385319.0,0.0,1.0,POOL,389.267826128651
2022-06-24,355.34,365.015,354.45,356.94,344.85482504797,583887.0,0.0,1.0,POOL,388.12631800428863
2022-06-27,357.61,359.88,353.26,356.42,344.352431062917,300070.0,0.0,1.0,POOL,386.8366451118521
2022-06-28,355.26,359.4,350.56,353.08,341.125515851228,587154.0,0.0,1.0,POOL,385.27356252025055
2022-06-29,353.49,353.875,344.095,349.98,338.130474786487,424043.0,0.0,1.0,POOL,383.7406757312809
2022-06-30,345.42,354.47,341.54,351.23,339.338152635173,456098.0,0.0,1.0,POOL,382.6406126770609
2022-07-01,351.76,358.4956,347.03,351.92,340.004790807648,450180.0,0.0,1.0,POOL,381.5174134636781
2022-07-05,348.54,365.55,343.4,363.44,351.134749861137,485479.0,0.0,1.0,POOL,380.4849670152035
2022-07-06,366.79,377.63,365.825,372.73,360.110211632571,473010.0,0.0,1.0,POOL,379.55375970958283
2022-07-07,371.02,388.44,369.99,387.63,374.505731588908,461871.0,0.0,1.0,POOL,379.06661835881357
2022-07-08,386.22,387.14,374.58,378.21,365.40467132121,274531.0,0.0,1.0,POOL,378.3429903017878
2022-07-11,378.38,380.34,370.07,371.08,358.516076872306,304478.0,0.0,1.0,POOL,377.56406290654803
2022-07-12,372.36,382.81,370.0,373.74,361.08601533431,415022.0,0.0,1.0,POOL,376.93617931223446
2022-07-13,367.28,371.7,364.08,367.92,355.463067270828,439506.0,0.0,1.0,POOL,376.2808716944426
2022-07-14,359.21,369.54,356.73,369.01,356.516162354882,396759.0,0.0,1.0,POOL,375.47979194923545
2022-07-15,375.0,376.195,370.29,373.85,361.192290984994,289074.0,0.0,1.0,POOL,374.86885670767583
2022-07-18,374.85,379.88,371.66,372.71,360.090888786992,262885.0,0.0,1.0,POOL,374.2956530357609
2022-07-19,378.34,387.88,374.16,386.49,373.404329390906,322157.0,0.0,1.0,POOL,373.63716122929156
2022-07-20,390.85,398.46,387.91,396.75,383.31694917292,506240.0,0.0,1.0,POOL,373.1069937690966
2022-07-21,371.04,375.0,351.06,356.57,344.497352404759,1220955.0,0.0,1.0,POOL,372.02267774152386
2022-07-22,355.01,376.87,353.26,363.11,350.815922909084,1041492.0,0.0,1.0,POOL,371.21826590279323
2022-07-25,361.54,363.92,350.6801,355.0,342.98050902681,428957.0,0.0,1.0,POOL,370.102489350049
2022-07-26,347.3,350.84,341.3,343.15,331.531723021267,424052.0,0.0,1.0,POOL,368.9910837635758
2022-07-27,347.9,355.54,342.28,355.11,343.086784677494,480380.0,0.0,1.0,POOL,368.22974037921654
