date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,199.8,202.84,196.31,199.77,194.357212603857,722671.0,0.0,1.0,RMD,233.2721942302159
2022-05-03,200.0,201.985,195.23,196.42,191.097981176601,890858.0,0.0,1.0,RMD,232.6386055941894
2022-05-04,196.51,206.46,195.48,205.24,199.679002426869,764181.0,0.0,1.0,RMD,232.14639693770386
2022-05-05,203.99,206.98,201.45,203.73,198.209916022345,807854.0,0.0,1.0,RMD,231.5991626972294
2022-05-06,202.05,202.525,195.435,202.05,196.575435784199,692822.0,0.0,1.0,RMD,231.0484372409144
2022-05-09,198.82,198.82,191.115,192.74,187.517691131138,766388.0,0.0,1.0,RMD,230.2967905054392
2022-05-10,195.01,198.265,191.29,195.22,189.930495292211,657932.0,0.0,1.0,RMD,229.4924178383177
2022-05-11,194.01,198.83,191.24,191.46,186.680992913992,645596.0,0.42,1.0,RMD,228.66905783356023
2022-05-12,190.25,195.43,189.4,192.31,187.509776179305,447802.0,0.0,1.0,RMD,227.86581286709128
2022-05-13,195.86,200.2714,194.395,196.86,191.946204246571,598267.0,0.0,1.0,RMD,227.29575094215377
2022-05-16,196.32,198.785,195.02,196.91,191.994956203354,346371.0,0.0,1.0,RMD,226.70089735534236
2022-05-17,200.0,200.26,194.77,197.83,192.891992208163,545195.0,0.0,1.0,RMD,226.08410661737489
2022-05-18,195.13,196.495,190.19,191.41,186.632240957209,812119.0,0.0,1.0,RMD,225.4186065580885
2022-05-19,190.86,199.595,190.12,197.59,192.657982815604,594045.0,0.0,1.0,RMD,224.8896828401985
2022-05-20,199.74,202.42,193.65,197.66,192.726235555101,451303.0,0.0,1.0,RMD,224.33769427049987
2022-05-23,199.99,201.33,195.37,198.46,193.506266863631,425955.0,0.0,1.0,RMD,223.7989145315218
2022-05-24,197.92,197.92,192.86,195.52,190.639651804782,560396.0,0.0,1.0,RMD,223.14250039947123
2022-05-25,194.52,196.53,192.85,195.4,190.522647108503,343572.0,0.0,1.0,RMD,222.36478286398327
2022-05-26,197.4,202.805,196.5265,202.06,197.016407752017,417304.0,0.0,1.0,RMD,221.67046226356848
2022-05-27,204.08,208.59,204.08,208.3,203.100651958553,372221.0,0.0,1.0,RMD,221.00522977009624
2022-05-31,205.92,207.2,202.4275,203.46,198.381462541945,950957.0,0.0,1.0,RMD,220.28789010059162
2022-06-01,205.66,207.33,201.51,202.71,197.650183190198,577353.0,0.0,1.0,RMD,219.5542049186062
2022-06-02,203.0,211.45,202.058,211.26,205.986767800114,462320.0,0.0,1.0,RMD,218.88138523035883
2022-06-03,209.44,210.01,206.07,208.31,203.110402349909,462308.0,0.0,1.0,RMD,218.27703809766908
2022-06-06,212.96,214.08,209.18,210.85,205.587001754493,485954.0,0.0,1.0,RMD,217.84491979953458
2022-06-07,208.01,214.91,207.32,214.5,209.145894599662,566054.0,0.0,1.0,RMD,217.37008794591347
2022-06-08,212.53,214.2247,211.58,212.27,206.971557327134,339259.0,0.0,1.0,RMD,216.9011422943249
2022-06-09,210.94,212.94,208.37,208.61,203.402914090608,368722.0,0.0,1.0,RMD,216.4460365471738
2022-06-10,205.04,211.2,205.04,208.51,203.305410177042,579374.0,0.0,1.0,RMD,216.01273925797244
2022-06-13,202.34,206.27,201.57,202.39,197.338170666786,588770.0,0.0,1.0,RMD,215.36189689755278
2022-06-14,203.11,204.41,199.81,202.01,196.967655795234,641490.0,0.0,1.0,RMD,214.53168172976245
2022-06-15,202.89,206.183,199.13,203.28,198.205955497525,703101.0,0.0,1.0,RMD,213.66086796155554
2022-06-16,196.89,199.885,194.3,196.23,191.331929591103,843670.0,0.0,1.0,RMD,212.6438757749671
2022-06-17,199.66,201.55,196.23,197.57,192.638482032891,1267631.0,0.0,1.0,RMD,211.71888492073873
2022-06-21,200.72,202.125,199.48,201.51,196.480136227402,831972.0,0.0,1.0,RMD,210.8856710586307
2022-06-22,199.18,203.765,199.18,202.97,197.90369336547,888681.0,0.0,1.0,RMD,210.4214267169056
2022-06-23,204.38,207.935,203.0,207.49,202.310870258666,865562.0,0.0,1.0,RMD,209.89692371146387
2022-06-24,210.85,211.58,208.2,211.5,206.220777192673,1264798.0,0.0,1.0,RMD,209.45180341624496
2022-06-27,212.21,213.1777,209.4,212.62,207.312821024616,600369.0,0.0,1.0,RMD,208.99055889988213
2022-06-28,213.74,215.62,211.1375,211.27,205.996518191471,580130.0,0.0,1.0,RMD,208.43370354357594
2022-06-29,212.1,214.06,209.42,212.91,207.595582373958,478662.0,0.0,1.0,RMD,207.87455083896236
2022-06-30,210.23,212.99,208.36,209.63,204.397454008984,693647.0,0.0,1.0,RMD,207.36581351352305
2022-07-01,210.02,216.26,209.29,215.72,210.33544234517,589936.0,0.0,1.0,RMD,206.8911805762258
2022-07-05,212.33,216.59,210.3,216.43,211.027720131491,504589.0,0.0,1.0,RMD,206.43916858031554
2022-07-06,217.91,221.45,216.9803,217.29,211.866253788161,781977.0,0.0,1.0,RMD,206.00429048415546
2022-07-07,216.93,220.445,216.73,220.28,214.781620803792,599219.0,0.0,1.0,RMD,205.58803189025357
2022-07-08,219.15,220.99,217.2,217.67,212.236768659713,486813.0,0.0,1.0,RMD,205.05556254421293
2022-07-11,216.22,218.91,212.2,216.87,211.456737351182,327813.0,0.0,1.0,RMD,204.55366508811633
2022-07-12,216.66,220.37,214.675,215.78,210.39394469331,494633.0,0.0,1.0,RMD,204.14729447960673
2022-07-13,212.2,219.74,212.2,218.25,212.802291358397,626929.0,0.0,1.0,RMD,203.85477600181608
2022-07-14,216.14,222.585,215.66,221.92,216.380684986279,692040.0,0.0,1.0,RMD,203.63205640150446
2022-07-15,224.9,226.07,221.9,225.5,219.871325091952,574336.0,0.0,1.0,RMD,203.5031413628931
2022-07-18,225.41,225.875,217.95,218.76,213.299561317585,557150.0,0.0,1.0,RMD,203.3030664067294
2022-07-19,220.82,224.92,219.11,224.76,219.149796131562,446594.0,0.0,1.0,RMD,203.08075840830435
2022-07-20,225.41,229.57,224.1719,226.9,221.23637988188,318860.0,0.0,1.0,RMD,202.80391586458506
2022-07-21,228.29,233.51,227.1,232.91,227.096365087213,503617.0,0.0,1.0,RMD,202.71636897930816
2022-07-22,233.11,235.51,229.93,231.75,225.965319689844,370756.0,0.0,1.0,RMD,202.79244987525757
2022-07-25,231.67,236.92,231.01,236.02,230.128736799124,852325.0,0.0,1.0,RMD,202.95859300134612
2022-07-26,236.7,239.14,234.49,238.16,232.215320549442,465346.0,0.0,1.0,RMD,203.3041695194557
2022-07-27,238.93,241.21,236.811,240.16,234.165398820768,351764.0,0.0,1.0,RMD,203.71164142118496
2022-07-28,240.06,244.39,236.81,243.07,237.002762705547,480657.0,0.0,1.0,RMD,204.18386459417562
2022-07-29,241.54,241.79,238.95,240.52,234.516412909607,611294.0,0.0,1.0,RMD,204.82845522845014
2022-08-01,238.59,241.19,237.1,239.2,233.229361250532,420485.0,0.0,1.0,RMD,205.45542536791262
2022-08-02,238.46,242.425,238.13,239.31,233.336615555455,480668.0,0.0,1.0,RMD,206.13669366434576
2022-08-03,240.72,241.68,238.205,239.6,233.619376904797,406854.0,0.0,1.0,RMD,206.68411905915104
2022-08-04,239.6,239.99,238.23,238.7,232.7418416827,456256.0,0.0,1.0,RMD,207.24108560206
2022-08-05,237.07,241.97,235.58,241.8,235.764463003255,458783.0,0.0,1.0,RMD,207.8731666862383
2022-08-08,243.0,243.05,235.52,236.63,230.723510671878,569435.0,0.0,1.0,RMD,208.570034743347
2022-08-09,236.35,237.8199,235.085,236.78,230.869766542228,393206.0,0.0,1.0,RMD,209.23034556996024
2022-08-10,240.66,243.64,239.72,243.58,237.500032664735,537627.0,0.0,1.0,RMD,210.05000750142378
2022-08-11,245.0,247.65,240.32,240.85,234.838175824375,720533.0,0.0,1.0,RMD,210.81336878602173
2022-08-12,237.34,240.69,231.191,239.99,233.999642167705,765339.0,0.0,1.0,RMD,211.4916500428142
2022-08-15,239.0,241.19,235.0,237.11,231.191529456997,522819.0,0.0,1.0,RMD,212.1238528372278
2022-08-16,236.76,238.84,235.05,236.1,230.206739929977,484250.0,0.0,1.0,RMD,212.72570360693445
2022-08-17,235.03,236.74,234.6,236.41,230.938019281724,378788.0,0.44,1.0,RMD,213.44031293474924
2022-08-18,236.74,236.78,233.33,236.0,230.537509202178,394455.0,0.0,1.0,RMD,214.05127303775848
2022-08-19,236.0,236.0,232.59,233.49,228.085606032274,485413.0,0.0,1.0,RMD,214.62158546480967
2022-08-22,231.63,232.945,228.75,229.36,224.051199621235,314035.0,0.0,1.0,RMD,215.11424567057747
2022-08-23,228.57,228.76,223.08,224.68,219.479523591294,472191.0,0.0,1.0,RMD,215.57940489294054
2022-08-24,224.89,225.65,223.615,223.72,218.541743892844,345471.0,0.0,1.0,RMD,216.03132580881703
2022-08-25,226.31,229.38,224.59,229.23,223.924208620404,293485.0,0.0,1.0,RMD,216.46532259701684
2022-08-26,228.63,228.63,221.035,221.15,216.031229491787,269540.0,0.0,1.0,RMD,216.67388029916577
2022-08-29,219.24,221.99,218.7,220.63,215.52326548846,303454.0,0.0,1.0,RMD,216.95036099185145
2022-08-30,221.18,221.42,218.35,219.44,214.360809403924,322672.0,0.0,1.0,RMD,217.21988722110513
2022-08-31,221.36,222.55,219.61,219.92,214.829699253148,598595.0,0.0,1.0,RMD,217.36251514776697
2022-09-01,219.13,219.78,214.86,219.48,214.399883558026,403204.0,0.0,1.0,RMD,217.5446035543495
2022-09-02,221.42,221.85,214.6,215.98,210.980895074095,255770.0,0.0,1.0,RMD,217.63160183369794
2022-09-06,216.92,221.36,216.87,220.66,215.552571104037,501148.0,0.0,1.0,RMD,217.73493532570396
2022-09-07,221.0,231.84,221.0,231.29,225.93652755666,697788.0,0.0,1.0,RMD,218.04082194230924
2022-09-08,230.93,233.42,228.91,233.07,227.675327414202,405880.0,0.0,1.0,RMD,218.43231247978656
2022-09-09,233.59,237.62,232.03,236.03,230.566814817755,412243.0,0.0,1.0,RMD,218.87201255463677
2022-09-12,236.12,239.1,236.12,238.01,232.500985445807,601306.0,0.0,1.0,RMD,219.43915472849193
2022-09-13,233.62,236.0,233.62,234.64,229.208987962708,653390.0,0.0,1.0,RMD,219.9591762150641
2022-09-14,235.32,235.53,232.33,233.2,227.802318415034,513233.0,0.0,1.0,RMD,220.43653690728198
2022-09-15,232.38,233.8,225.785,225.95,220.720127984034,439195.0,0.0,1.0,RMD,220.91054010716798
2022-09-16,225.68,225.68,219.875,223.07,217.906788888686,803404.0,0.0,1.0,RMD,221.31809344355173
2022-09-19,221.35,224.61,219.29,224.26,219.069244973222,432196.0,0.0,1.0,RMD,221.68243390719402
2022-09-20,223.02,223.02,218.24,220.2,215.103218331863,331148.0,0.0,1.0,RMD,221.95984560020034
2022-09-21,222.11,224.15,217.35,217.59,212.553629776703,381952.0,0.0,1.0,RMD,222.12505139887836
2022-09-22,216.24,216.81,213.545,213.69,208.743899751752,254471.0,0.0,1.0,RMD,222.1657469240248
2022-09-23,212.17,214.72,210.525,214.51,209.544919910844,287525.0,0.0,1.0,RMD,222.20174851896397
2022-09-26,213.66,216.87,213.38,215.1,210.12126368385,300082.0,0.0,1.0,RMD,222.2682766720669
2022-09-27,217.15,217.58,211.52,212.32,207.405609973756,319528.0,0.0,1.0,RMD,222.26521260109587
2022-09-28,214.09,219.365,212.63,218.75,213.686780245663,454015.0,0.0,1.0,RMD,222.41504044362296
2022-09-29,217.25,220.3,215.825,218.46,213.403492628423,445179.0,0.0,1.0,RMD,222.4645251256109
2022-09-30,219.26,223.13,217.71,218.3,213.247196012015,521200.0,0.0,1.0,RMD,222.50032312368387
2022-10-03,220.19,226.62,218.03,224.25,219.059476434697,460622.0,0.0,1.0,RMD,222.61634284378928
2022-10-04,225.98,229.515,222.51,228.73,223.435781694128,516190.0,0.0,1.0,RMD,222.75592608395598
