date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,251.0,253.24,244.91,250.04,236.839052980253,1572836.0,0.0,1.0,ROK,255.60180558108453
2022-05-03,228.55,230.0,210.62,213.74,202.455523852181,4018485.0,0.0,1.0,ROK,254.38897806579908
2022-05-04,213.01,223.34,211.85,222.35,210.610955967682,1792283.0,0.0,1.0,ROK,253.45420054224886
2022-05-05,219.58,221.4,212.27,214.44,203.118567113603,1271335.0,0.0,1.0,ROK,252.46004257371558
2022-05-06,213.87,219.51,210.21,214.51,203.184871439746,1306645.0,0.0,1.0,ROK,251.47319176741613
2022-05-09,210.89,213.505,202.38,203.22,192.490930837654,1744532.0,0.0,1.0,ROK,250.30229541259402
2022-05-10,206.39,208.625,199.84,205.12,194.290619690087,1403926.0,0.0,1.0,ROK,249.07827072869225
2022-05-11,203.66,207.38,198.64,199.0,188.493727175933,1100557.0,0.0,1.0,ROK,247.89919512557742
2022-05-12,197.1,208.0,197.1,203.83,193.068725679751,1555691.0,0.0,1.0,ROK,246.91364395519975
2022-05-13,204.78,209.39,202.295,203.82,194.120122851436,1386991.0,1.12,1.0,ROK,245.94459247888517
2022-05-16,203.36,204.1301,199.0,202.39,192.758177136209,742838.0,0.0,1.0,ROK,244.89353358279985
2022-05-17,205.155,205.605,200.66,204.24,194.520134879684,812464.0,0.0,1.0,ROK,243.86004633889934
2022-05-18,201.95,202.49,194.53,195.4,186.100834094645,1072588.0,0.0,1.0,ROK,242.79083151004014
2022-05-19,194.78,201.28,191.075,198.72,189.26283393699,956957.0,0.0,1.0,ROK,241.8011855933584
2022-05-20,199.79,201.63,195.21,199.51,190.015237513934,910566.0,0.0,1.0,ROK,240.8337583646122
2022-05-23,202.09,203.61,197.69,202.66,193.015327725797,701856.0,0.0,1.0,ROK,240.01753722567423
2022-05-24,195.75,199.3,193.95,198.18,188.748532757813,1046196.0,0.0,1.0,ROK,238.99713821176402
2022-05-25,197.17,199.63,195.25,198.83,189.367598992008,898977.0,0.0,1.0,ROK,237.93753060481595
2022-05-26,202.11,205.89,201.64,204.74,194.996339675218,877881.0,0.0,1.0,ROK,237.00995837307727
2022-05-27,207.38,212.08,207.12,211.02,200.977471907124,1176193.0,0.0,1.0,ROK,236.24699364152937
2022-05-31,208.94,214.86,207.22,213.2,203.053724815652,2238250.0,0.0,1.0,ROK,235.4163798465103
2022-06-01,215.84,219.53,213.72,217.01,206.68240535762,1433319.0,0.0,1.0,ROK,234.61801586646195
2022-06-02,218.0,220.43,214.83,220.16,209.682495569483,1008213.0,0.0,1.0,ROK,233.8894289305218
2022-06-03,217.15,219.59,215.46,218.27,207.882441442365,794670.0,0.0,1.0,ROK,233.2008631386519
2022-06-06,221.42,222.17,212.985,214.86,204.634724736824,1197235.0,0.0,1.0,ROK,232.32363956830807
2022-06-07,212.77,217.43,211.25,217.29,206.949080043119,997011.0,0.0,1.0,ROK,231.52071584605287
2022-06-08,215.47,218.22,214.22,214.87,204.644248832735,824134.0,0.0,1.0,ROK,230.81032335518506
2022-06-09,212.92,217.47,210.55,213.3,203.148965774758,992400.0,0.0,1.0,ROK,230.16045071518593
2022-06-10,210.47,212.6,208.56,208.74,198.805978039489,1194733.0,0.0,1.0,ROK,229.4506130322801
2022-06-13,202.95,204.61,199.02,201.58,191.986725367444,1370585.0,0.0,1.0,ROK,228.55944150372275
2022-06-14,201.05,202.52,197.96,200.42,190.881930241805,817775.0,0.0,1.0,ROK,227.5364805899543
2022-06-15,202.24,208.72,201.1,205.66,195.872556499,1881575.0,0.0,1.0,ROK,226.5555143619289
2022-06-16,199.98,201.75,196.92,198.01,188.586623127332,1633276.0,0.0,1.0,ROK,225.38324278107316
2022-06-17,196.47,200.16,190.88,191.09,181.995948757143,3148473.0,0.0,1.0,ROK,224.1492802846465
2022-06-21,192.84,197.06,192.4,193.39,184.186490816599,1487054.0,0.0,1.0,ROK,222.93170501857588
2022-06-22,190.08,196.75,190.08,195.66,186.348460588323,1568218.0,0.0,1.0,ROK,221.8056797372999
2022-06-23,195.56,197.93,194.01,197.18,187.796123166746,1149434.0,0.0,1.0,ROK,220.6333384775172
2022-06-24,199.58,201.76,197.65,201.06,191.491472380089,1273692.0,0.0,1.0,ROK,219.45673969737948
2022-06-27,202.78,204.33,198.42,201.3,191.720050681945,786937.0,0.0,1.0,ROK,218.26763351987287
2022-06-28,201.08,202.75,197.01,197.64,188.234231578637,927347.0,0.0,1.0,ROK,216.95126410416506
2022-06-29,197.19,197.685,194.24,197.17,187.786599070835,664965.0,0.0,1.0,ROK,215.69138196137598
2022-06-30,194.11,201.7,193.72,199.31,189.82475559572,1287442.0,0.0,1.0,ROK,214.4749147821307
2022-07-01,199.62,201.79,194.46,198.71,189.253309841079,670961.0,0.0,1.0,ROK,213.1812458853375
2022-07-05,195.94,199.86,194.86,199.62,190.120002568951,612470.0,0.0,1.0,ROK,211.95212441031435
2022-07-06,200.62,202.695,198.94,200.57,191.024791680465,593175.0,0.0,1.0,ROK,210.7692207216784
2022-07-07,200.79,203.73,200.01,202.93,193.272478315385,663104.0,0.0,1.0,ROK,209.72752643051754
2022-07-08,201.98,202.61,199.06,200.13,190.605731460396,588618.0,0.0,1.0,ROK,208.66084753682182
