date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,67.62,68.72,66.46,67.89,64.9823587886701,8411786.0,0.0,1.0,SCHW,79.49276269528883
2022-05-03,68.15,70.02,67.94,69.46,66.485117711902,9513336.0,0.0,1.0,SCHW,79.17310172940505
2022-05-04,69.58,71.6,68.87,71.36,68.3037431603992,6805438.0,0.0,1.0,SCHW,78.9054188759806
2022-05-05,70.4,70.55,68.34,69.85,66.8584145144882,7036268.0,0.0,1.0,SCHW,78.56805502785924
2022-05-06,69.33,69.55,66.72,67.42,64.5324882829892,8118163.0,0.0,1.0,SCHW,78.17407396128228
2022-05-09,66.44,66.49,63.78,64.13,61.3833947432231,9216476.0,0.0,1.0,SCHW,77.701263847118
2022-05-10,64.75,65.77,63.49,64.58,61.8141218231303,6661790.0,0.0,1.0,SCHW,77.24217917203664
2022-05-11,65.01,67.5,64.54,65.12,62.330994319019,10257585.0,0.0,1.0,SCHW,76.81407659405001
2022-05-12,64.68,65.78,63.34,64.95,62.3597094576795,8308073.0,0.2,1.0,SCHW,76.4441762057139
2022-05-13,65.77,66.18,64.905,65.61,62.9933877985889,6799259.0,0.0,1.0,SCHW,76.10564683361014
2022-05-16,64.75,65.3,63.4,64.04,61.4860014421831,6051679.0,0.0,1.0,SCHW,75.7134721098144
2022-05-17,65.7,66.28,64.33,65.2,62.5997391322664,8095240.0,0.0,1.0,SCHW,75.34404675359244
2022-05-18,64.42,64.455,62.84,63.27,60.7467100444554,7867277.0,0.0,1.0,SCHW,74.99583442765643
2022-05-19,62.21,63.655,61.95,62.66,60.1610376384634,9179052.0,0.0,1.0,SCHW,74.6445054536941
2022-05-20,63.32,63.63,61.53,63.28,60.7563112314389,7793711.0,0.0,1.0,SCHW,74.31883344317058
2022-05-23,64.13,65.315,63.56,65.27,62.6669474411507,6723555.0,0.0,1.0,SCHW,74.05516340382204
2022-05-24,64.91,64.99,62.85,63.94,61.3899895723483,5758675.0,0.0,1.0,SCHW,73.77521997886109
2022-05-25,63.87,66.75,63.355,65.8,63.175810351275,10584864.0,0.0,1.0,SCHW,73.4703550167116
2022-05-26,66.92,69.44,66.85,68.82,66.0753688202848,7846821.0,0.0,1.0,SCHW,73.23217246474614
2022-05-27,69.21,70.63,68.87,70.59,67.7747789163602,7402943.0,0.0,1.0,SCHW,73.12329218054491
2022-05-31,70.12,70.98,69.731,70.1,67.3043207541698,11548991.0,0.0,1.0,SCHW,72.94584278743258
2022-06-01,70.59,70.95,68.88,69.57,66.7954578440456,5065833.0,0.0,1.0,SCHW,72.77716799927877
2022-06-02,70.0,71.73,69.26,71.67,68.8117071105756,5380808.0,0.0,1.0,SCHW,72.66386196554076
2022-06-03,70.49,71.32,69.94,70.07,67.2755171932194,3562020.0,0.0,1.0,SCHW,72.57008644278925
2022-06-06,71.09,71.425,67.88,68.06,65.3456786095406,8687323.0,0.0,1.0,SCHW,72.45552811648514
2022-06-07,67.14,67.65,66.51,67.49,64.7984109514825,14689229.0,0.0,1.0,SCHW,72.27502138008128
2022-06-08,66.5,66.81,65.36,65.73,63.1086020423906,10059072.0,0.0,1.0,SCHW,72.06324571715889
2022-06-09,65.65,65.96,64.21,64.25,61.6876263688361,7698708.0,0.0,1.0,SCHW,71.81944252627073
2022-06-10,63.21,63.21,61.67,62.22,59.7385854111904,8356024.0,0.0,1.0,SCHW,71.49757968619762
2022-06-13,60.21,61.62,59.35,60.24,57.8375503884621,12358973.0,0.0,1.0,SCHW,71.14644443311245
2022-06-14,60.94,62.03,60.11,61.11,58.6728536560245,11800893.0,0.0,1.0,SCHW,70.71970313054122
2022-06-15,61.88,62.92,61.25,61.51,59.0569011353636,11274398.0,0.0,1.0,SCHW,70.28618801501588
2022-06-16,60.28,61.0,59.8001,60.86,58.4328239814376,9046019.0,0.0,1.0,SCHW,69.83921072469317
2022-06-17,61.48,61.62,59.92,59.99,57.5975207138752,16943944.0,0.0,1.0,SCHW,69.39404466514843
2022-06-21,62.29,63.61,62.065,62.38,59.892204402926,10367733.0,0.0,1.0,SCHW,68.93664162621907
2022-06-22,61.39,62.855,61.22,62.44,59.9498115248269,6636550.0,0.0,1.0,SCHW,68.51799143856667
2022-06-23,62.59,62.82,60.79,62.03,59.5561628585043,6216848.0,0.0,1.0,SCHW,68.07477494789867
2022-06-24,62.83,64.68,62.705,64.43,61.8604477345387,16119989.0,0.0,1.0,SCHW,67.6620858962936
2022-06-27,65.4,65.4,63.505,64.15,61.5916144990014,6530943.0,0.0,1.0,SCHW,67.23826799626018
2022-06-28,65.14,65.615,63.965,64.17,61.6108168729683,7358433.0,0.0,1.0,SCHW,66.82371399495905
2022-06-29,64.15,64.45,63.14,63.62,61.0827515888771,5628911.0,0.0,1.0,SCHW,66.43862089827192
2022-06-30,62.52,63.52,60.99,63.18,60.6602993616041,7550101.0,0.0,1.0,SCHW,66.1154142533165
2022-07-01,63.19,63.97,62.44,63.92,61.3707871983814,4653972.0,0.0,1.0,SCHW,65.815554539475
2022-07-05,62.67,63.4,61.39,63.39,60.8619242882571,4477198.0,0.0,1.0,SCHW,65.52663078511482
2022-07-06,62.99,64.09,62.73,63.44,60.9099302231745,6266044.0,0.0,1.0,SCHW,65.24527414852783
2022-07-07,63.92,64.47,63.65,64.24,61.6780251818526,4713520.0,0.0,1.0,SCHW,64.99159000443235
2022-07-08,64.12,64.56,63.175,64.36,61.7932394256544,4558759.0,0.0,1.0,SCHW,64.75273228172874
