date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,54.52,54.98,53.4,54.32,49.7972231030545,2101610.0,0.0,1.0,TAP,47.47278377048888
2022-05-03,54.95,56.45,52.05,52.69,48.3029397146528,3259200.0,0.0,1.0,TAP,47.5399079961371
2022-05-04,52.68,53.42,51.23,53.24,48.807145765954,2338251.0,0.0,1.0,TAP,47.6106148724706
2022-05-05,52.76,53.4,52.36,52.64,48.2571028008982,1395211.0,0.0,1.0,TAP,47.68874096720245
2022-05-06,52.7,53.49,52.44,53.14,48.7154719384447,1008826.0,0.0,1.0,TAP,47.77822275881357
2022-05-09,52.88,54.11,52.37,53.67,49.201343224244,1764110.0,0.0,1.0,TAP,47.86145177509357
2022-05-10,53.82,54.86,53.66,54.84,50.2739270061029,1849433.0,0.0,1.0,TAP,47.95170700241448
2022-05-11,55.21,56.96,55.21,55.82,51.1723305156941,2068752.0,0.0,1.0,TAP,48.05454466812391
2022-05-12,55.87,56.285,54.67,55.57,50.9431459469208,2067243.0,0.0,1.0,TAP,48.14546698662961
2022-05-13,56.07,56.4699,55.55,55.93,51.2731717259543,1312920.0,0.0,1.0,TAP,48.24728935928982
2022-05-16,55.89,56.94,55.7,56.76,52.0340644942815,939778.0,0.0,1.0,TAP,48.35976978451048
2022-05-17,56.25,56.44,54.5782,55.85,51.1998326639469,1771896.0,0.0,1.0,TAP,48.4599689750434
2022-05-18,55.33,55.45,52.33,52.44,48.0737551458795,1859639.0,0.0,1.0,TAP,48.51987432314557
2022-05-19,51.77,51.98,50.32,50.78,46.5519696092251,2149999.0,0.0,1.0,TAP,48.55156562631712
2022-05-20,51.2,52.0,50.04,51.23,46.964501833017,1624683.0,0.0,1.0,TAP,48.595928026782595
2022-05-23,51.96,52.5,51.43,52.12,47.7803988978498,1203234.0,0.0,1.0,TAP,48.62086829907588
