date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,594.99,607.41,586.15,602.88,536.00027236295,423866.0,0.0,1.0,TDG,571.8610471258772
2022-05-03,607.75,613.04,597.29,604.22,537.191621163651,340679.0,0.0,1.0,TDG,571.5190434078138
2022-05-04,602.79,624.185,596.58,621.73,552.759171536984,280757.0,0.0,1.0,TDG,571.5536022740836
2022-05-05,616.76,617.46,591.54,597.64,531.34156511245,312547.0,0.0,1.0,TDG,571.2382705440955
2022-05-06,595.77,598.88,576.515,584.12,519.321389153143,337921.0,0.0,1.0,TDG,570.5339006224488
2022-05-09,575.8,577.17,540.28,545.69,485.154572428574,700448.0,0.0,1.0,TDG,569.0980585977238
2022-05-10,564.0,582.28,550.945,566.24,503.424884260213,630098.0,0.0,1.0,TDG,567.8933738029856
2022-05-11,563.54,589.92,563.54,570.77,507.452354459596,422492.0,0.0,1.0,TDG,566.7681313813322
2022-05-12,569.08,570.54,537.55,549.93,488.924213409895,492889.0,0.0,1.0,TDG,565.5004949588246
2022-05-13,555.31,570.2,555.31,563.81,501.264453226106,263112.0,0.0,1.0,TDG,564.5407335814667
2022-05-16,558.88,565.34,545.78,546.23,485.634668213931,333977.0,0.0,1.0,TDG,562.9636447381705
2022-05-17,557.06,566.71,549.2,556.86,495.085442655309,286778.0,0.0,1.0,TDG,561.3703519451296
2022-05-18,547.07,553.63,533.74,536.51,476.992944077506,549190.0,0.0,1.0,TDG,559.6310802066007
2022-05-19,531.26,550.97,531.23,541.14,481.109320903807,452693.0,0.0,1.0,TDG,558.0849652849405
2022-05-20,548.3,552.53,538.2,550.24,489.19982395334,529345.0,0.0,1.0,TDG,556.7103541145608
2022-05-23,555.74,567.725,552.38,565.16,502.464692689499,421660.0,0.0,1.0,TDG,555.8218614365226
2022-05-24,573.38,582.16,561.5,579.59,515.293918953759,641915.0,0.0,1.0,TDG,554.8239562482612
2022-05-25,578.74,593.83,573.88,593.0,527.216297623457,599997.0,0.0,1.0,TDG,553.8280586289948
