date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,170.55,174.12,168.08,174.0,159.48841584842,5851582.0,0.0,1.0,TXN,159.68045835137468
2022-05-03,173.88,174.79,172.0,172.54,158.150179715439,5438583.0,0.0,1.0,TXN,159.45426510309133
2022-05-04,173.18,176.87,167.33,176.23,161.532434051535,10287365.0,0.0,1.0,TXN,159.46372678145087
2022-05-05,174.4,174.98,168.65,170.28,156.078663509592,7740442.0,0.0,1.0,TXN,159.4468731668729
2022-05-06,167.84,170.08,165.74,167.45,154.538775356573,5724984.0,1.15,1.0,TXN,159.4269149390832
2022-05-09,166.11,168.455,164.1,164.94,152.222308792554,7929929.0,0.0,1.0,TXN,159.32997356922704
2022-05-10,168.38,170.84,166.3,168.24,155.267862442459,7033254.0,0.0,1.0,TXN,159.2218358328916
2022-05-11,166.73,170.34,164.24,164.69,151.991585031197,5892769.0,0.0,1.0,TXN,159.15029734074633
2022-05-12,163.89,166.45,162.67,165.9,153.108288036163,5936179.0,0.0,1.0,TXN,159.18931722884534
2022-05-13,168.41,170.68,167.58,169.74,156.652205010598,5329874.0,0.0,1.0,TXN,159.31402994194795
2022-05-16,168.07,170.14,166.83,168.5,155.50781515427,3648952.0,0.0,1.0,TXN,159.36558442612582
2022-05-17,172.1,175.11,171.32,174.98,161.48817504863,5851345.0,0.0,1.0,TXN,159.48299371201048
2022-05-18,173.4,174.91,169.68,170.3,157.169026236037,5747202.0,0.0,1.0,TXN,159.5838134094176
2022-05-19,169.86,170.74,167.16,167.62,154.695667514295,5399653.0,0.0,1.0,TXN,159.61384193082299
2022-05-20,168.6,170.295,164.21,169.81,156.716807663778,6278490.0,0.0,1.0,TXN,159.67720868051936
2022-05-23,170.27,170.89,168.23,169.93,156.827555069229,5384135.0,0.0,1.0,TXN,159.7578847447494
2022-05-24,168.29,169.48,166.37,167.86,154.917162325197,5121676.0,0.0,1.0,TXN,159.7493517266599
2022-05-25,168.085,170.98,167.01,170.01,156.901386672863,4712101.0,0.0,1.0,TXN,159.75463816398388
2022-05-26,170.32,174.83,169.29,174.13,160.703714260018,4536813.0,0.0,1.0,TXN,159.83352307973934
2022-05-27,175.52,178.3525,175.52,177.97,164.247631234454,5857983.0,0.0,1.0,TXN,160.00948440227486
2022-05-31,176.74,178.29,173.81,176.76,163.130928229488,9408016.0,0.0,1.0,TXN,160.1258917044731
2022-06-01,177.51,177.59,172.7,174.42,160.971353823192,4681603.0,0.0,1.0,TXN,160.19416167621534
2022-06-02,174.0,176.8,172.39,176.72,163.094012427671,6521632.0,0.0,1.0,TXN,160.3117476269477
2022-06-03,174.87,175.495,171.99,172.33,159.042503178251,4485724.0,0.0,1.0,TXN,160.43923656500567
2022-06-06,173.65,174.26,167.38,167.76,154.824872820655,5603762.0,0.0,1.0,TXN,160.4624787195032
2022-06-07,166.12,170.08,165.24,169.85,156.753723465595,4416228.0,0.0,1.0,TXN,160.44113794139744
2022-06-08,169.75,169.75,164.77,165.37,152.619153662087,5112786.0,0.0,1.0,TXN,160.34882323055095
2022-06-09,165.01,166.73,161.46,161.58,149.121381439923,5353309.0,0.0,1.0,TXN,160.23542629382587
2022-06-10,159.16,160.43,157.68,157.78,145.614380267304,6510987.0,0.0,1.0,TXN,160.11927811772858
2022-06-13,154.9,156.93,153.14,153.53,141.692076324244,7765182.0,0.0,1.0,TXN,159.85707728916154
2022-06-14,155.15,155.94,153.035,154.08,142.199668599228,4772644.0,0.0,1.0,TXN,159.54378010429997
2022-06-15,155.72,157.913,153.32,155.92,143.897795482812,5442107.0,0.0,1.0,TXN,159.22623457570725
2022-06-16,151.52,152.56,150.2,151.37,139.698623026124,6843681.0,0.0,1.0,TXN,158.8168627470314
2022-06-17,151.84,153.21,149.1,150.2,138.618835822975,11262458.0,0.0,1.0,TXN,158.3847528016469
2022-06-21,151.82,154.58,151.73,153.46,141.627473671064,6283095.0,0.0,1.0,TXN,157.97322775426144
2022-06-22,151.96,153.94,151.16,152.6,140.833783931998,4242955.0,0.0,1.0,TXN,157.59724452234008
2022-06-23,152.83,153.21,149.25,151.14,139.486357165676,4318203.0,0.0,1.0,TXN,157.12368733503845
2022-06-24,153.01,156.13,152.49,155.95,143.925482334175,6425872.0,0.0,1.0,TXN,156.71152806879573
2022-06-27,156.99,157.62,155.13,155.62,143.620926969184,5762374.0,0.0,1.0,TXN,156.282925198746
2022-06-28,156.74,158.99,154.08,154.16,142.273500202862,4687615.0,0.0,1.0,TXN,155.75379159882863
2022-06-29,152.44,153.29,150.94,152.78,140.999905040174,4348314.0,0.0,1.0,TXN,155.25674672732362
2022-06-30,152.49,155.07,150.885,153.65,141.802823729695,6807948.0,0.0,1.0,TXN,154.83134413083664
2022-07-01,150.35,152.28,147.02,148.54,137.086830047568,8740209.0,0.0,1.0,TXN,154.35057454153338
