date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,122.82,123.46,119.42,122.24,120.254356255983,791460.0,0.0,1.0,UHS,139.35182928045234
2022-05-03,121.79,125.97,121.64,125.11,123.077736511666,610681.0,0.0,1.0,UHS,139.23447867800385
2022-05-04,125.9,130.18,124.83,129.95,127.839116455047,507412.0,0.0,1.0,UHS,139.21357234807482
2022-05-05,129.45,130.0,125.08,126.29,124.238568811912,739372.0,0.0,1.0,UHS,139.1605784979214
2022-05-06,126.0,129.74,124.8,127.8,125.724040653752,784203.0,0.0,1.0,UHS,139.17274091677464
2022-05-09,126.98,126.98,124.45,125.33,123.294162872729,675094.0,0.0,1.0,UHS,139.06474371859596
2022-05-10,126.16,126.84,123.59,125.44,123.40237605326,580473.0,0.0,1.0,UHS,138.88687241476006
2022-05-11,126.02,127.24,121.51,121.87,119.890366466923,676520.0,0.0,1.0,UHS,138.70416900255648
2022-05-12,122.1,125.05,121.59,123.49,121.484051489294,659518.0,0.0,1.0,UHS,138.56269830473255
2022-05-13,123.8,125.0711,122.305,124.66,122.635046227674,666788.0,0.0,1.0,UHS,138.44565469468364
2022-05-16,124.73,125.05,122.73,124.25,122.231706191148,542439.0,0.0,1.0,UHS,138.27615504914436
2022-05-17,125.82,127.49,124.63,127.48,125.409238674024,437800.0,0.0,1.0,UHS,138.1152828301876
2022-05-18,125.51,125.6,118.84,119.08,117.145686706172,975645.0,0.0,1.0,UHS,137.8441027904902
2022-05-19,117.75,120.55,116.725,118.89,116.958773030709,774562.0,0.0,1.0,UHS,137.59478469171853
2022-05-20,119.66,121.05,117.08,120.93,118.965635651473,589661.0,0.0,1.0,UHS,137.38940220774018
2022-05-23,122.68,122.68,118.225,121.74,119.762478162659,586577.0,0.0,1.0,UHS,137.2085973353508
2022-05-24,121.73,121.73,118.28,121.41,119.437838621064,486628.0,0.0,1.0,UHS,136.97391213730126
2022-05-25,121.33,124.34,120.57,122.1,120.116630389852,612609.0,0.0,1.0,UHS,136.61660169524748
2022-05-26,122.97,124.06,122.34,123.25,121.247950004499,809413.0,0.0,1.0,UHS,136.28847140589423
2022-05-27,123.98,125.01,123.3,124.96,122.930173083669,479535.0,0.0,1.0,UHS,135.97240006334502
