date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,235.48,236.34,228.62,232.87,217.349694823279,3665823.0,0.0,1.0,UNP,234.2633464961669
2022-05-03,232.99,233.45,229.61,232.1,216.631013735058,2285029.0,0.0,1.0,UNP,233.99293770886723
2022-05-04,233.27,237.64,231.41,237.09,221.288440527553,2573895.0,0.0,1.0,UNP,233.90117653074293
2022-05-05,235.44,236.34,229.56,231.48,216.052335456231,3005483.0,0.0,1.0,UNP,233.75432738966376
2022-05-06,230.53,230.585,225.77,229.59,214.288300057872,2774851.0,0.0,1.0,UNP,233.59760413992495
2022-05-09,227.0,227.755,224.42,225.25,210.237552106083,3288922.0,0.0,1.0,UNP,233.34857807214695
2022-05-10,227.99,228.2322,218.28,222.6,207.764169140129,3845386.0,0.0,1.0,UNP,233.0066213225355
2022-05-11,222.86,228.12,222.46,223.88,208.958859780288,2457544.0,0.0,1.0,UNP,232.74940650950552
2022-05-12,223.39,227.98,221.8612,225.93,210.872231508667,3230941.0,0.0,1.0,UNP,232.57264400569298
2022-05-13,226.87,232.35,226.71,230.76,215.380321971142,3263834.0,0.0,1.0,UNP,232.41255876644328
2022-05-16,230.11,231.43,227.32,227.89,212.701601551411,3091906.0,0.0,1.0,UNP,232.10783806155152
2022-05-17,231.47,233.085,229.29,232.19,216.715015420694,2916433.0,0.0,1.0,UNP,231.80057922747068
2022-05-18,232.32,232.35,224.08,224.99,209.994880569801,2620724.0,0.0,1.0,UNP,231.42718126032813
2022-05-19,219.43,220.3,212.72,216.5,202.070721558122,5428067.0,0.0,1.0,UNP,230.92297781312868
2022-05-20,216.0,217.45,210.24,213.58,199.345333535259,3796013.0,0.0,1.0,UNP,230.44852950258436
2022-05-23,215.49,217.1,214.33,216.89,202.434728862545,3079493.0,0.0,1.0,UNP,230.0456345110431
2022-05-24,215.75,217.61,213.27,217.09,202.62139927507,2159792.0,0.0,1.0,UNP,229.68665206265115
2022-05-25,217.68,219.55,215.65,217.42,202.929405455736,2006706.0,0.0,1.0,UNP,229.25023470304677
2022-05-26,218.23,222.5785,218.23,221.29,206.541477938091,2045302.0,0.0,1.0,UNP,228.8790014471708
2022-05-27,221.66,224.25,220.83,222.5,208.884191615278,1537564.0,1.3,1.0,UNP,228.59854420641776
2022-05-31,221.73,221.78,219.27,219.78,206.330641048116,4405441.0,0.0,1.0,UNP,228.12726325486403
2022-06-01,221.17,222.59,219.92,221.32,207.7764012957,2796210.0,0.0,1.0,UNP,227.63278395450502
2022-06-02,222.92,225.89,220.61,225.39,211.597339092888,2092104.0,0.0,1.0,UNP,227.0618869022577
