date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,29.96,30.0725,28.16,29.05,25.1463787091351,38991772.0,0.0,1.0,VICI,24.322905831691113
2022-05-03,29.13,30.29,29.13,29.93,25.9081278748507,14946361.0,0.0,1.0,VICI,24.344357790466834
2022-05-04,29.83,30.69,29.45,30.65,26.5313771922544,14079745.0,0.0,1.0,VICI,24.38206269572329
2022-05-05,30.8,30.8,29.38,29.76,25.7609717860193,9928966.0,0.0,1.0,VICI,24.409821922585
2022-05-06,29.63,29.73,28.73,28.92,25.0338475823816,12071821.0,0.0,1.0,VICI,24.425302180765232
2022-05-09,28.58,28.7,27.1,27.26,23.5969116561454,12655373.0,0.0,1.0,VICI,24.417881632511126
2022-05-10,27.47,27.76,26.4194,26.68,23.0948497060146,11636184.0,0.0,1.0,VICI,24.392718029323678
2022-05-11,26.73,27.86,26.55,27.32,23.6488490992623,10322694.0,0.0,1.0,VICI,24.38324159730176
2022-05-12,27.22,27.51,26.94,27.44,23.7527239854963,12490233.0,0.0,1.0,VICI,24.377094043506855
2022-05-13,27.73,28.73,27.49,28.73,24.8693790125112,10260478.0,0.0,1.0,VICI,24.3901971622909
2022-05-16,28.68,29.43,28.66,29.02,25.1204099875766,9206143.0,0.0,1.0,VICI,24.397703886225425
2022-05-17,29.34,29.615,29.11,29.54,25.5705344945904,11779404.0,0.0,1.0,VICI,24.41357300074447
2022-05-18,29.43,29.56,28.975,29.21,25.284878557447,7267842.0,0.0,1.0,VICI,24.436822468500623
2022-05-19,29.15,29.67,29.02,29.29,25.354128481603,9337515.0,0.0,1.0,VICI,24.461051080781004
2022-05-20,29.5,29.55,28.33,28.95,25.0598163039401,9057029.0,0.0,1.0,VICI,24.488937896370953
2022-05-23,29.16,29.41,28.76,29.17,25.250253595369,7353400.0,0.0,1.0,VICI,24.524581132213218
2022-05-24,29.03,29.1,28.335,28.96,25.0684725444596,8945103.0,0.0,1.0,VICI,24.549576190386148
2022-05-25,28.8,29.71,28.8,29.67,25.6830656213438,9314504.0,0.0,1.0,VICI,24.577043394359116
2022-05-26,29.77,30.5175,29.75,30.06,26.0206590016042,10613566.0,0.0,1.0,VICI,24.611471339952203
2022-05-27,30.29,31.005,30.21,30.87,26.7218144836833,7772945.0,0.0,1.0,VICI,24.65789719361539
2022-05-31,30.69,31.03,30.495,30.85,26.7045020026443,14179458.0,0.0,1.0,VICI,24.691642737442404
2022-06-01,31.02,31.0679,30.405,30.81,26.6698770405663,8539909.0,0.0,1.0,VICI,24.728550137020434
2022-06-02,30.85,31.67,30.82,31.42,27.1979077122556,15305481.0,0.0,1.0,VICI,24.783206072670485
