date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,178.77,181.01,173.145,175.0,175.0,1697611.0,0.0,1.0,VRSN,213.0291935483871
2022-05-03,175.5,183.415,174.4,183.14,183.14,1544996.0,0.0,1.0,VRSN,212.3785483870968
2022-05-04,181.95,186.74,178.795,186.48,186.48,987046.0,0.0,1.0,VRSN,211.86129032258063
2022-05-05,184.15,184.15,174.02,175.75,175.75,1114845.0,0.0,1.0,VRSN,211.17290322580646
2022-05-06,173.68,175.3,170.42,172.05,172.05,939816.0,0.0,1.0,VRSN,210.4898387096774
2022-05-09,169.44,170.31,164.41,164.86,164.86,1194244.0,0.0,1.0,VRSN,209.6517741935484
2022-05-10,168.05,169.33,164.85,167.69,167.69,1259566.0,0.0,1.0,VRSN,208.81564516129035
2022-05-11,165.92,170.54,165.92,166.94,166.94,977200.0,0.0,1.0,VRSN,208.07725806451612
2022-05-12,165.91,166.87,162.64,164.41,164.41,1140421.0,0.0,1.0,VRSN,207.27370967741933
2022-05-13,166.98,168.6099,164.48,165.11,165.11,1675381.0,0.0,1.0,VRSN,206.49225806451614
2022-05-16,163.69,166.13,162.65,164.55,164.55,974762.0,0.0,1.0,VRSN,205.65758064516126
2022-05-17,167.47,168.645,164.82,168.52,168.52,914074.0,0.0,1.0,VRSN,204.95225806451612
2022-05-18,166.16,166.99,162.3,162.52,162.52,911988.0,0.0,1.0,VRSN,204.21274193548388
2022-05-19,162.09,166.02,162.0504,163.45,163.45,842454.0,0.0,1.0,VRSN,203.49064516129033
2022-05-20,165.59,166.4285,159.69,165.56,165.56,1649044.0,0.0,1.0,VRSN,202.82758064516128
2022-05-23,166.71,167.61,164.74,166.71,166.71,610226.0,0.0,1.0,VRSN,202.24322580645162
2022-05-24,164.99,167.63,164.1,166.62,166.62,573378.0,0.0,1.0,VRSN,201.54645161290324
2022-05-25,166.37,172.64,165.95,170.98,170.98,697480.0,0.0,1.0,VRSN,200.84951612903225
2022-05-26,171.19,174.6,170.87,172.71,172.71,451087.0,0.0,1.0,VRSN,200.18806451612906
2022-05-27,173.85,176.7,173.85,176.32,176.32,510250.0,0.0,1.0,VRSN,199.54741935483872
2022-05-31,175.2,176.185,172.96,174.55,174.55,1079990.0,0.0,1.0,VRSN,198.8490322580645
2022-06-01,175.46,176.82,172.05,174.37,174.37,815097.0,0.0,1.0,VRSN,198.1335483870968
2022-06-02,174.46,182.27,174.46,180.33,180.33,795061.0,0.0,1.0,VRSN,197.52806451612904
2022-06-03,178.23,179.105,176.47,177.7,177.7,612405.0,0.0,1.0,VRSN,196.92887096774194
2022-06-06,179.14,180.79,177.013,177.76,177.76,541410.0,0.0,1.0,VRSN,196.46
2022-06-07,176.15,179.495,175.87,179.08,179.08,512360.0,0.0,1.0,VRSN,195.96790322580645
2022-06-08,178.5,180.42,176.5225,177.21,177.21,385509.0,0.0,1.0,VRSN,195.4667741935484
2022-06-09,176.92,177.86,173.46,173.61,173.61,571765.0,0.0,1.0,VRSN,194.9740322580645
2022-06-10,172.0,172.06,168.4858,169.1,169.1,504068.0,0.0,1.0,VRSN,194.4848387096774
2022-06-13,165.12,166.29,161.99,162.67,162.67,668592.0,0.0,1.0,VRSN,193.81193548387097
2022-06-14,163.27,164.035,159.94,161.18,161.18,519116.0,0.0,1.0,VRSN,193.0833870967742
2022-06-15,163.79,170.305,161.47,163.88,163.88,647486.0,0.0,1.0,VRSN,192.29661290322582
2022-06-16,160.11,160.8,155.57,156.51,156.51,1155496.0,0.0,1.0,VRSN,191.26048387096773
2022-06-17,156.51,159.2,155.25,157.54,157.54,1554010.0,0.0,1.0,VRSN,190.335
2022-06-21,159.79,163.05,159.79,160.68,160.68,807190.0,0.0,1.0,VRSN,189.40919354838712
2022-06-22,159.57,161.03,157.34,157.77,157.77,1244060.0,0.0,1.0,VRSN,188.53725806451615
2022-06-23,160.18,164.49,159.69,163.89,163.89,653624.0,0.0,1.0,VRSN,187.71112903225807
2022-06-24,164.55,169.66,163.94,169.27,169.27,1048424.0,0.0,1.0,VRSN,186.96145161290323
2022-06-27,169.08,170.155,167.52,168.85,168.85,477469.0,0.0,1.0,VRSN,186.1406451612903
2022-06-28,168.97,170.62,163.67,164.26,164.26,529811.0,0.0,1.0,VRSN,185.22064516129032
2022-06-29,164.5,166.88,163.11,166.26,166.26,563967.0,0.0,1.0,VRSN,184.31967741935483
2022-06-30,165.19,169.83,164.965,167.33,167.33,841203.0,0.0,1.0,VRSN,183.43048387096775
2022-07-01,167.01,171.89,162.85,170.81,170.81,535355.0,0.0,1.0,VRSN,182.55209677419353
2022-07-05,169.18,172.39,166.81,172.3,172.3,625911.0,0.0,1.0,VRSN,181.67709677419353
2022-07-06,173.44,177.525,172.63,176.06,176.06,611059.0,0.0,1.0,VRSN,180.91354838709677
2022-07-07,175.56,179.375,174.1,178.62,178.62,507994.0,0.0,1.0,VRSN,180.24612903225807
2022-07-08,177.34,179.07,175.78,178.63,178.63,516565.0,0.0,1.0,VRSN,179.56758064516129
2022-07-11,176.97,177.58,175.25,175.84,175.84,414683.0,0.0,1.0,VRSN,178.875
2022-07-12,176.68,178.01,173.76,174.43,174.43,574158.0,0.0,1.0,VRSN,178.2391935483871
2022-07-13,171.49,176.315,171.03,175.27,175.27,448432.0,0.0,1.0,VRSN,177.62516129032258
2022-07-14,173.91,174.93,171.18,173.99,173.99,494138.0,0.0,1.0,VRSN,176.9583870967742
