date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,100.41,102.7,98.46,99.73,89.8441160933207,2251984.0,0.0,1.0,WEC,87.11173649866225
2022-05-03,100.4,102.03,99.42,99.56,89.6909675950166,1886148.0,0.0,1.0,WEC,87.17277207533469
2022-05-04,99.26,101.72,99.26,101.56,91.492714633888,1701033.0,0.0,1.0,WEC,87.26906664160482
2022-05-05,101.23,101.85,100.18,101.07,91.0512866093645,1290385.0,0.0,1.0,WEC,87.37337740372828
2022-05-06,100.51,101.14,99.5,100.66,90.6819284663959,1843418.0,0.0,1.0,WEC,87.47057755719567
2022-05-09,100.17,102.57,99.72,101.94,91.8350465712735,1812113.0,0.0,1.0,WEC,87.58998019994075
2022-05-10,101.86,103.13,99.6303,100.66,90.6819284663959,1402743.0,0.0,1.0,WEC,87.69294644967496
2022-05-11,100.82,103.265,100.82,101.75,91.6638806025808,1731516.0,0.0,1.0,WEC,87.84519399543736
2022-05-12,101.16,102.07,99.61,100.82,91.481453714895,1359120.0,0.7275,1.0,WEC,87.99540012458519
2022-05-13,102.21,102.83,100.0438,102.09,92.6338187835115,1582001.0,0.0,1.0,WEC,88.18715053162538
2022-05-16,102.34,103.19,101.56,102.77,93.2508331509597,1306569.0,0.0,1.0,WEC,88.39945984248226
2022-05-17,103.15,103.61,100.96,103.45,93.867847518408,1302026.0,0.0,1.0,WEC,88.61852435000323
2022-05-18,103.92,104.06,101.695,101.95,92.5067864137428,2095973.0,0.0,1.0,WEC,88.81171310018689
2022-05-19,101.74,103.55,100.6,102.87,93.3415705579374,1909205.0,0.0,1.0,WEC,89.009502677747
2022-05-20,103.1,103.71,101.94,103.55,93.9585849253857,1756726.0,0.0,1.0,WEC,89.22029544573498
2022-05-23,105.0,105.59,103.5844,105.02,95.2924248079575,1232714.0,0.0,1.0,WEC,89.47367057639643
2022-05-24,105.47,108.39,104.88,108.28,98.2504642754298,1347377.0,0.0,1.0,WEC,89.76981574691051
2022-05-25,107.96,108.09,105.33,105.81,96.0092503230812,2489853.0,0.0,1.0,WEC,89.9982817321097
2022-05-26,106.29,106.68,105.26,105.4,95.6372269544727,1822834.0,0.0,1.0,WEC,90.22031143385418
2022-05-27,105.08,106.9,104.8,106.53,96.6625596533205,1202404.0,0.0,1.0,WEC,90.48169120212063
2022-05-31,105.44,105.96,104.34,105.07,95.3377935114463,1899050.0,0.0,1.0,WEC,90.70310509543944
