date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,73.5,74.12,71.9,72.67,66.3035035942198,4397207.0,0.0,1.0,XEL,64.19503655929796
2022-05-03,73.26,73.61,71.82,72.13,65.8108120854696,4940280.0,0.0,1.0,XEL,64.2395474691156
2022-05-04,71.94,73.65,71.84,73.4,66.9695495227155,4160845.0,0.0,1.0,XEL,64.30450131301704
2022-05-05,73.07,73.62,72.19,72.79,66.4129905961643,4024513.0,0.0,1.0,XEL,64.37056171837247
2022-05-06,72.72,73.29,72.27,73.08,66.6775841841969,2593970.0,0.0,1.0,XEL,64.44132816738953
2022-05-09,72.84,74.29,72.59,73.65,67.1976474434332,4032991.0,0.0,1.0,XEL,64.51916751805616
2022-05-10,73.9,74.79,72.6,73.49,67.0516647741739,4316036.0,0.0,1.0,XEL,64.58953758285011
2022-05-11,73.18,75.09,73.08,73.97,67.4896127819519,4348763.0,0.0,1.0,XEL,64.69780582038378
2022-05-12,73.96,74.3,72.39,73.55,67.1064082751461,2688916.0,0.0,1.0,XEL,64.80164696064553
2022-05-13,73.55,74.7,73.08,74.49,67.9640564570447,2688308.0,0.0,1.0,XEL,64.92750469880495
2022-05-16,74.36,75.185,74.05,74.83,68.2742696292207,2678237.0,0.0,1.0,XEL,65.06245765657815
2022-05-17,75.02,75.46,73.595,75.3,68.70309372017,2465486.0,0.0,1.0,XEL,65.20695756281701
2022-05-18,75.48,75.71,74.65,74.89,68.329013130193,3151900.0,0.0,1.0,XEL,65.34308575037996
2022-05-19,74.8,75.47,73.84,75.01,68.4385001321375,2954885.0,0.0,1.0,XEL,65.48244120781226
2022-05-20,75.04,75.147,73.62,74.22,67.7177107026696,4574043.0,0.0,1.0,XEL,65.6110478395753
2022-05-23,75.27,75.27,73.96,74.87,68.3107652965356,2722728.0,0.0,1.0,XEL,65.76397950789364
2022-05-24,75.0,76.4,73.435,76.26,69.578989735726,2680690.0,0.0,1.0,XEL,65.93882775958531
