date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,dividend_amount,split coefficient,ticker,rolling62_adjustedclose
2022-05-02,116.9,117.69,113.73,115.76,109.295773371651,2136864.0,0.0,1.0,YUM,113.72138337157378
2022-05-03,116.16,116.6,113.27,115.07,108.644304093606,1844906.0,0.0,1.0,YUM,113.57603229461773
2022-05-04,114.55,118.93,113.02,118.49,111.87332573261,2139593.0,0.0,1.0,YUM,113.48033686979932
2022-05-05,117.345,117.85,114.68,115.62,109.163591199294,1365850.0,0.0,1.0,YUM,113.34214872030218
2022-05-06,114.9,116.47,114.03,115.39,108.946434773279,1247526.0,0.0,1.0,YUM,113.20333814147718
2022-05-09,113.75,113.97,109.98,110.1,103.951836974937,2423065.0,0.0,1.0,YUM,112.98563695629907
2022-05-10,111.34,112.285,109.415,110.74,104.556098334283,1560418.0,0.0,1.0,YUM,112.73629952352255
2022-05-11,109.76,110.69,108.545,108.9,102.818846926164,2100859.0,0.0,1.0,YUM,112.51275418325415
2022-05-12,108.73,112.0,108.57,110.51,104.338941908268,1928818.0,0.0,1.0,YUM,112.34525595050603
2022-05-13,111.92,114.01,111.65,112.83,106.529389335896,1228879.0,0.0,1.0,YUM,112.22324363476974
2022-05-16,112.51,112.95,111.115,112.18,105.915686392811,1524896.0,0.0,1.0,YUM,112.06707946406867
2022-05-17,113.52,113.67,111.77,112.47,106.189492321264,1111902.0,0.0,1.0,YUM,111.9100260823078
2022-05-18,111.4,111.645,108.79,109.46,103.347575615592,2927459.0,0.0,1.0,YUM,111.69652446290189
2022-05-19,109.08,110.85,108.59,109.97,103.82909638632,1613819.0,0.0,1.0,YUM,111.45545951032018
2022-05-20,110.99,112.0,109.61,111.92,105.670205215577,1773565.0,0.0,1.0,YUM,111.27043492574231
2022-05-23,113.0,113.89,110.9657,113.82,107.464106126134,1591326.0,0.0,1.0,YUM,111.15211056177769
2022-05-24,113.27,114.155,112.58,114.07,107.700145719629,1915333.0,0.0,1.0,YUM,111.04109581103098
2022-05-25,113.75,115.88,113.75,115.59,109.135266448075,1793052.0,0.0,1.0,YUM,110.91728923715296
2022-05-26,115.69,118.58,115.55,117.76,111.722260392773,1502321.0,0.57,1.0,YUM,110.85256870345287
2022-05-27,118.38,119.77,118.38,119.77,113.629204545197,1335433.0,0.0,1.0,YUM,110.85758993733033
2022-05-31,118.56,122.05,118.12,121.47,115.242042883069,2511173.0,0.0,1.0,YUM,110.85847253826256
2022-06-01,121.91,122.0,119.36,119.42,113.297149593283,1353597.0,0.0,1.0,YUM,110.86301112258771
2022-06-02,119.47,120.33,118.08,120.3,114.13203061524,1001563.0,0.0,1.0,YUM,110.89578703989217
2022-06-03,119.36,119.9741,118.37,118.62,112.538166846049,957463.0,0.0,1.0,YUM,110.98554547657575
2022-06-06,119.27,120.67,118.685,119.38,113.259200455921,1175516.0,0.0,1.0,YUM,111.05739046752315
2022-06-07,118.21,120.28,118.13,120.21,114.046645056176,1047381.0,0.0,1.0,YUM,111.13005805635042
2022-06-08,119.73,121.0,119.24,120.51,114.331263586388,1164826.0,0.0,1.0,YUM,111.21036193880686
2022-06-09,119.76,119.76,117.23,117.32,111.304819881795,1052711.0,0.0,1.0,YUM,111.23515173434163
2022-06-10,115.31,116.45,114.23,114.41,108.544020138733,1222988.0,0.0,1.0,YUM,111.25866104663503
2022-06-13,111.8,112.59,109.9,111.09,105.394241737714,1657136.0,0.0,1.0,YUM,111.21263659762177
2022-06-14,111.45,112.44,110.09,110.23,104.578335284438,1356021.0,0.0,1.0,YUM,111.07883339883809
